
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending April 28, 2007 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	653	794	1,496	15,176	18,583	-	0	178	-	9	-	1	399	-	2						
NEW ENGLAND	7	21	74	231	496	-	0	3	-	-	-	0	2	-	-						
Conn.	-	0	0	-	-	-	0	3	-	-	-	0	1	-	-						
Maine	-	1	17	-	111	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	1	-	92	-	0	1	-	-	-	0	1	-	-						
N.H.	7	6	43	88	27	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	-	10	66	143	266	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	57	105	193	1,914	2,171	-	0	11	-	-	-	0	4	-	-						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	57	105	193	1,914	2,171	-	0	2	-	-	-	0	1	-	-						
E.N. CENTRAL	177	228	568	4,506	7,196	-	0	43	-	-	-	0	33	-	-						
Ill.	-	1	10	54	44	-	0	23	-	-	-	0	23	-	-						
Ind.	-	0	0	-	-	-	0	7	-	-	-	0	12	-	-						
Mich.	50	89	258	1,746	2,091	-	0	11	-	-	-	0	2	-	-						
Ohio	127	122	449	2,289	4,477	-	0	11	-	-	-	0	3	-	-						
Wis.	-	17	64	417	584	-	0	2	-	-	-	0	2	-	-						
W.N. CENTRAL	31	30	136	869	953	-	0	36	-	-	-	0	79	-	-						
Iowa	N	0	0	N	N	-	0	3	-	-	-	0	4	-	-						
Kans.	-	8	52	335	167	-	0	3	-	-	-	0	3	-	-						
Minn.	-	0	0	-	-	-	0	6	-	-	-	0	7	-	-						
Mo.	18	15	78	409	739	-	0	14	-	-	-	0	2	-	-						
Nebr.	N	0	0	N	N	-	0	9	-	-	-	0	38	-	-						
N. Dak.	-	0	60	84	18	-	0	5	-	-	-	0	28	-	-						
S. Dak.	13	1	15	41	29	-	0	7	-	-	-	0	22	-	-						
S. ATLANTIC	63	85	211	1,752	1,952	-	0	2	-	-	-	0	7	-	-						
Del.	-	1	6	11	38	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	5	-	14	-	0	0	-	-	-	0	1	-	-						
Fla.	43	0	42	484	N	-	0	1	-	-	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S.C.	6	22	72	515	530	-	0	1	-	-	-	0	0	-	-						
Va.	-	25	177	237	620	-	0	0	-	-	-	0	2	-	-						
W. Va.	14	25	56	505	750	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	6	5	43	134	34	-	0	15	-	3	-	0	16	-	-						
Ala.	6	5	43	132	34	-	0	2	-	-	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
Miss.	-	0	2	2	-	-	0	10	-	3	-	0	16	-	-						
Tenn.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
W.S. CENTRAL	295	200	966	4,623	4,398	-	0	58	-	4	-	0	26	-	2						
