
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 28, 2009 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	65	56	102	897	987	11	8	22	127	116	108	248	379	2,530	2,716						
NEW ENGLAND	-	1	48	16	18	-	0	5	-	1	5	5	14	82	63						
Conn.	-	0	48	-	-	-	0	5	-	-	3	1	5	21	3						
Maine	-	0	2	3	6	-	0	1	-	-	-	0	2	1	2						
Mass.	-	0	0	-	-	-	0	0	-	-	2	4	11	49	52						
N.H.	-	0	3	5	-	-	0	0	-	-	-	0	2	7	3						
R.I.	-	0	4	4	7	-	0	1	-	-	-	0	5	4	2						
Vt.	-	0	2	4	5	-	0	1	-	1	-	0	2	-	1						
MID. ATLANTIC	8	4	14	40	96	3	0	2	8	7	26	34	51	415	395						
N.J.	-	0	0	-	-	-	0	0	-	-	1	4	10	49	59						
N.Y. (Upstate)	5	1	6	17	14	2	0	1	4	1	2	2	8	23	23						
N.Y. City	-	1	5	1	41	-	0	0	-	-	23	23	37	284	236						
Pa.	3	1	10	22	41	1	0	2	4	6	-	5	11	59	77						
E.N. CENTRAL	9	9	40	142	200	3	1	6	21	22	10	21	34	194	267						
Ill.	N	0	0	N	N	N	0	0	N	N	-	5	14	31	112						
Ind.	-	2	31	15	54	-	0	5	1	5	1	2	10	31	31						
Mich.	-	0	3	6	6	-	0	1	-	1	9	3	18	57	31						
Ohio	9	7	18	121	140	3	1	4	20	16	-	6	20	65	79						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	10	14						
W.N. CENTRAL	3	2	8	30	78	1	0	2	7	4	3	7	14	61	107						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	3	4						
Kans.	2	1	4	8	35	1	0	1	5	1	-	0	3	3	6						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	12	28						
Mo.	1	1	4	19	41	-	0	1	2	1	3	3	10	41	66						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	2	3						
N. Dak.	-	0	2	3	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	2	-	0	1	-	2	-	0	1	-	-						
S. ATLANTIC	30	22	51	481	415	2	4	14	65	57	34	59	197	618	466						
Del.	1	0	1	6	-	-	0	0	-	-	-	0	4	7	1						
D.C.	N	0	0	N	N	N	0	0	N	N	2	2	9	41	26						
Fla.	23	14	36	313	220	1	3	13	46	28	8	20	37	238	186						
Ga.	5	7	23	132	156	1	1	5	19	24	-	13	169	71	45						
Md.	1	0	1	3	4	-	0	0	-	1	5	8	16	70	65						
N.C.	N	0	0	N	N	N	0	0	N	N	10	6	19	114	64						
S.C.	-	0	0	-	-	-	0	0	-	-	2	2	6	12	18						
Va.	N	0	0	N	N	N	0	0	N	N	7	5	16	64	61						
W. Va.	-	1	7	27	35	-	0	2	-	4	-	0	1	1	-						
E.S. CENTRAL	6	5	25	118	112	-	1	4	15	14	15	21	36	249	247						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	76	114						
Ky.	3	1	6	30	22	-	0	2	3	4	-	1	10	13	14						
Miss.	-	0	2	-	-	-	0	1	-	-	11	3	18	49	24						
Tenn.	3	3	22	88	90	-	0	3	12	10	4	8	19	111	95						
W.S. CENTRAL	5	2	7	28	35	1	0	1	5	6	6	44	76	425	457						
Ark.	5	0	4	16	5	1	0	1	2	2	6	3	35	66	23						
La.	-	1	6	12	30	-	0	1	3	4	-	10	33	48	100						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	7	13	22						
Tex.	-	0	0	-	-	-	0	0	-	-	-	27	41	298	312						
MOUNTAIN	4	2	7	40	32	1	0	3	6	4	2	9	18	55	133						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	13	19	70						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	3	27						
Idaho	N	0	1	N	N	N	0	1	N	N	-	0	2	2	1						
Mont.	-	0	1	-	-	-	0	0	-	-	-	0	7	-	-						
Nev.	4	1	3	17	11	1	0	1	3	1	2	1	7	22	22						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	9	5						
Utah	-	1	6	19	21	-	0	3	3	3	-	0	2	-	8						
Wyo.	-	0	2	4	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	7	46	71	431	581						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	4	42	65	392	523						
Hawaii	-	0	1	2	1	-	0	1	-	1	-	0	3	10	8						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	0	3	8	5						
Wash.	N	0	0	N	N	N	0	0	N	N	2	2	9	21	45						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	2	3	11	42	28						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


