
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 6, 2002 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2002
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2002
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2002
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2001

tab delimited data:
test
UNITED STATES	74	83	4	8	2,205	3,287	1,493	1,902	399	1,337											
NEW ENGLAND	5	4	-	-	98	110	49	34	7	19											
Maine	-	-	-	-	4	1	1	1	-	-											
N.H.	-	-	-	-	6	4	5	5	-	-											
Vt.	-	-	-	-	-	2	2	2	4	5											
Mass.	3	4	-	-	48	40	28	5	3	14											
R.I.	-	-	-	-	4	4	1	6	-	-											
Conn.	2	-	-	-	36	59	12	15	-	-											
MID. ATLANTIC	8	11	-	-	239	374	306	413	109	627											
Upstate N.Y.	4	-	-	-	21	56	19	29	5	9											
N.Y. City	3	4	-	-	114	105	175	172	-	-											
N.J.	1	3	-	-	36	161	59	135	101	599											
Pa.	-	4	-	-	68	52	53	77	3	19											
E.N. CENTRAL	9	15	-	-	275	719	230	176	30	79											
Ohio	4	3	-	-	86	75	29	33	4	4											
Ind.	4	3	-	-	13	24	6	4	-	-											
Ill.	-	7	-	-	83	492	20	14	3	20											
Mich.	-	-	-	-	64	102	175	125	23	55											
Wis.	1	2	-	-	29	26	-	-	-	-											
W.N. CENTRAL	1	1	2	1	99	127	54	56	117	350											
Minn.	1	1	1	-	14	7	2	4	-	-											
Iowa	-	-	-	-	26	10	6	6	1	-											
Mo.	-	-	1	1	19	40	38	34	116	347											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	3	1	-	1	-	-											
Nebr.	-	-	-	-	-	17	-	5	-	1											
Kans.	-	-	-	-	37	52	8	6	-	2											
S. ATLANTIC	19	24	-	4	739	561	420	442	36	29											
Del.	-	-	-	-	2	2	1	4	3	1											
Md.	-	3	-	-	86	67	34	39	6	7											
D.C.	-	-	-	-	29	13	5	3	-	-											
Va.	2	4	-	-	24	38	54	36	-	-											
W. Va.	-	-	-	-	6	1	7	3	-	1											
N.C.	1	1	-	4	91	34	46	79	6	7											
S.C.	1	-	-	-	15	17	17	1	3	2											
Ga.	9	10	-	-	176	242	152	189	2	1											
Fla.	6	6	-	-	310	147	104	88	16	10											
E.S. CENTRAL	4	4	-	1	48	80	44	113	49	24											
Ky.	-	-	-	-	22	10	11	18	1	3											
Tenn.	2	1	-	-	-	35	-	38	10	16											
Ala.	2	2	-	1	8	30	15	29	2	1											
Miss.	-	1	-	-	18	5	18	28	36	4											
W.S. CENTRAL	4	1	-	-	30	548	94	216	3	158											
Ark.	-	-	-	-	11	16	26	25	-	2											
La.	-	-	-	-	6	27	5	29	3	74											
Okla.	4	1	-	-	12	51	1	24	-	1											
Tex.	-	-	-	-	1	454	62	138	-	81											
MOUNTAIN	15	8	1	1	173	228	106	137	20	20											
Mont.	-	-	-	-	5	4	2	1	-	-											
Idaho	-	-	-	-	-	25	-	4	-	1											
Wyo.	-	-	-	-	3	1	6	-	4	3											
Colo.	2	-	-	-	29	24	27	29	11	4											
N. Mex.	4	4	-	1	4	7	11	35	-	8											
Ariz.	5	4	-	-	91	114	40	50	-	1											
Utah	3	-	-	-	19	20	10	5	-	-											
Nev.	1	-	1	-	22	33	10	13	5	3											
PACIFIC	9	15	1	1	504	540	190	315	28	31											
Wash.	-	-	-	1	38	20	11	21	3	9											
Oreg.	4	-	-	-	34	11	34	12	7	2											
Calif.	3	14	1	-	426	498	141	272	18	20											
Alaska	1	-	-	-	6	10	2	3	-	-											
Hawaii	1	1	-	-	-	1	2	7	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	24	28	14	57	-	1											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	4	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


