
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 26, 2003 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	499	662	3	7	76	117	12	7	1,702	3,331											
NEW ENGLAND	41	50	-	-	2	4	2	2	52	130											
Maine	3	1	-	-	-	-	1	-	2	4											
N.H.	6	4	-	-	-	-	-	-	3	6											
Vt.	5	3	-	-	-	-	-	-	1	-											
Mass.	17	24	-	-	2	2	1	2	32	62											
R.I.	1	8	-	-	-	-	-	-	4	17											
Conn.	9	10	-	-	-	2	-	-	10	41											
MID. ATLANTIC	82	132	-	1	12	21	3	-	229	497											
Upstate N.Y.	33	50	-	1	6	7	-	-	34	61											
N.Y. City	14	34	-	-	4	8	-	-	108	224											
N.J.	16	31	-	-	2	4	-	-	36	69											
Pa.	19	17	-	-	-	2	3	-	51	143											
E.N. CENTRAL	58	131	1	1	10	24	-	-	181	414											
Ohio	24	40	-	-	5	5	-	-	34	104											
Ind.	13	16	-	-	1	5	-	-	12	19											
Ill.	14	49	-	-	3	10	-	-	57	144											
Mich.	7	6	1	1	1	-	-	-	65	86											
Wis.	-	20	-	-	-	4	-	-	13	61											
W.N. CENTRAL	38	19	-	-	4	2	4	2	63	126											
Minn.	16	14	-	-	4	2	-	1	14	19											
Iowa	-	1	-	-	-	-	-	-	15	26											
Mo.	15	3	-	-	-	-	4	1	15	25											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	1	-	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	4	6											
Kans.	6	1	-	-	-	-	-	-	15	46											
S. ATLANTIC	118	128	-	-	12	18	-	-	461	905											
Del.	-	-	-	-	-	-	-	-	3	8											
Md.	26	39	-	-	3	1	-	-	52	103											
D.C.	-	-	-	-	-	-	-	-	14	32											
Va.	9	9	-	-	3	2	-	-	21	29											
W. Va.	3	2	-	-	-	-	-	-	5	9											
N.C.	10	13	-	-	-	1	-	-	26	105											
S.C.	3	3	-	-	-	1	-	-	18	18											
Ga.	25	33	-	-	3	7	-	-	181	189											
Fla.	42	29	-	-	3	6	-	-	141	412											
E.S. CENTRAL	41	25	1	1	6	6	-	-	46	107											
Ky.	2	3	-	-	-	-	-	-	10	26											
Tenn.	22	12	-	-	4	3	-	-	23	42											
Ala.	15	5	1	1	1	2	-	-	9	13											
Miss.	2	5	-	-	1	1	-	-	4	26											
W.S. CENTRAL	27	26	-	2	4	5	-	-	116	222											
Ark.	4	1	-	-	1	-	-	-	2	13											
La.	6	2	-	-	1	-	-	-	13	18											
Okla.	17	21	-	-	2	5	-	-	5	12											
Tex.	-	2	-	2	-	-	-	-	96	179											
MOUNTAIN	68	81	1	2	19	17	2	2	124	198											
Mont.	-	-	-	-	-	-	-	-	1	5											
Idaho	-	1	-	-	-	-	-	-	-	18											
Wyo.	-	1	-	-	-	-	-	-	1	2											
Colo.	14	16	-	-	4	2	-	-	12	31											
N. Mex.	8	15	-	-	3	4	-	-	7	6											
Ariz.	36	35	1	1	9	8	-	1	77	99											
Utah	6	10	-	1	3	2	-	-	11	12											
Nev.	4	3	-	-	-	1	2	1	15	25											
PACIFIC	26	70	-	-	7	20	1	1	430	732											
Wash.	3	1	-	-	2	1	1	-	21	51											
Oreg.	16	30	-	-	3	4	-	-	27	37											
Calif.	2	22	-	-	2	12	-	1	375	626											
Alaska	-	1	-	-	-	1	-	-	4	7											
Hawaii	5	16	-	-	-	2	-	-	3	11											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	9	49											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


