
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 10, 1996 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	396	258	3	397	558	130	2,296	2,095	3	185	92										
NEW ENGLAND	12	8	-	-	10	9	470	305	-	24	35										
Maine	-	-	-	-	4	-	18	19	-	-	-										
N.H.	-	-	-	-	1	-	40	23	-	-	1										
Vt.	2	-	-	-	-	-	13	41	-	2	-										
Mass.	9	2	-	-	2	9	394	211	-	20	7										
R.I.	-	5	-	-	-	-	-	1	-	-	-										
Conn.	1	1	-	-	3	-	5	10	-	2	27										
MID. ATLANTIC	24	11	-	57	82	10	169	168	-	7	12										
Upstate N.Y.	-	1	-	18	19	3	89	78	-	4	3										
N.Y. City	12	5	-	13	9	-	21	27	-	1	7										
N.J.	-	5	-	2	13	-	5	11	-	2	2										
Pa.	12	-	-	24	41	7	54	52	-	-	-										
E.N. CENTRAL	9	13	2	74	95	15	225	254	-	3	3										
Ohio	2	1	2	32	29	9	110	79	-	-	-										
Ind.	-	-	-	5	7	-	19	18	-	-	-										
Ill.	3	1	-	18	28	5	69	45	-	1	-										
Mich.	3	5	-	18	31	1	22	35	-	2	3										
Wis.	1	6	-	1	-	-	5	77	-	-	-										
W.N. CENTRAL	19	2	-	9	32	34	127	124	-	1	-										
Minn.	16	-	-	3	2	30	89	42	-	-	-										
Iowa	-	-	-	1	8	-	4	6	-	1	-										
Mo.	2	1	-	2	18	1	20	36	-	-	-										
N. Dak.	-	-	-	2	-	-	1	6	-	-	-										
S. Dak.	-	-	-	-	-	1	3	8	-	-	-										
Nebr.	-	-	-	-	4	2	6	7	-	-	-										
Kans.	1	1	-	1	-	-	4	19	-	-	-										
S. ATLANTIC	11	11	1	65	85	9	290	173	-	89	8										
Del.	1	-	-	-	-	1	11	9	-	-	-										
Md.	3	1	-	19	27	6	105	21	-	-	1										
D.C.	-	-	-	-	-	-	-	4	-	1	-										
Va.	2	-	1	10	16	-	26	10	-	2	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	4	-	-	14	16	-	49	81	-	75	1										
S.C.	-	-	-	5	7	1	22	16	-	1	-										
Ga.	1	2	-	2	6	-	13	13	-	-	-										
Fla.	-	8	-	15	13	1	62	19	-	10	6										
E.S. CENTRAL	-	-	-	18	7	2	62	96	1	3	1										
Ky.	-	-	-	-	-	-	26	11	-	-	-										
Tenn.	-	-	-	1	-	-	17	55	1	1	1										
Ala.	-	-	-	3	4	2	12	30	-	2	-										
Miss.	-	-	-	14	3	-	7	-	N	N	N										
W.S. CENTRAL	25	20	-	16	38	2	59	163	-	2	7										
Ark.	-	2	-	-	5	1	4	27	-	-	-										
La.	-	18	-	11	8	-	6	11	-	1	-										
Okla.	-	-	-	-	-	-	8	17	-	-	-										
Tex.	25	-	-	5	25	1	41	108	-	1	7										
MOUNTAIN	150	68	-	22	25	13	242	401	-	6	4										
Mont.	-	-	-	-	1	1	12	3	-	-	-										
Idaho	1	-	-	-	2	11	85	85	-	2	-										
Wyo.	-	-	-	-	-	-	3	1	-	-	-										
Colo.	7	26	-	2	-	1	64	64	-	2	-										
N. Mex.	10	31	N	N	N	-	34	63	-	-	-										
Ariz.	8	10	-	1	2	-	11	146	-	1	3										
Utah	119	-	-	2	11	-	11	17	-	-	1										
Nev.	5	1	-	17	9	-	22	22	-	1	-										
PACIFIC	146	125	-	136	184	36	652	411	2	50	22										
Wash.	45	19	-	18	10	7	235	96	-	1	-										
Oreg.	4	1	-	-	-	-	29	27	-	1	-										
Calif.	32	103	-	99	158	29	374	250	2	45	18										
Alaska	63	-	-	2	12	-	2	-	-	-	-										
Hawaii	2	2	-	17	4	-	12	38	-	3	4										
Guam	-	-	U	5	3	U	1	2	U	-	1										
P.R.	7	3	-	1	2	-	1	1	-	-	-										
V.I.	-	-	U	-	3	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


