
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 3, 1999 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	667	860	3	94	116	181	1,180	1,093	1	9	126										
NEW ENGLAND	34	48	-	1	-	1	118	218	-	2	21										
Maine	3	4	-	-	-	-	-	4	-	-	-										
N.H.	-	1	-	1	-	1	19	18	-	-	-										
Vt.	2	1	-	-	-	-	10	25	-	-	-										
Mass.	24	20	-	-	-	-	83	166	-	2	1										
R.I.	2	3	-	-	-	-	2	-	-	-	-										
Conn.	3	19	-	-	-	-	4	5	-	-	20										
MID. ATLANTIC	65	91	-	14	10	127	298	147	-	-	70										
Upstate N.Y.	13	24	-	2	2	125	256	78	-	-	65										
N.Y. City	18	10	-	3	5	-	10	6	-	-	1										
N.J.	15	21	-	-	-	-	-	6	-	-	4										
Pa.	19	36	-	9	3	2	32	57	-	-	-										
E.N. CENTRAL	96	139	2	12	18	8	106	128	-	-	-										
Ohio	47	51	-	6	9	6	89	36	-	-	-										
Ind.	7	24	-	-	-	-	2	34	-	-	-										
Ill.	28	34	-	-	-	-	-	5	-	-	-										
Mich.	14	13	2	6	9	2	15	15	-	-	-										
Wis.	-	17	-	-	-	-	-	38	-	-	-										
W.N. CENTRAL	87	70	-	2	10	1	16	78	-	-	2										
Minn.	25	5	-	-	4	-	-	41	-	-	-										
Iowa	18	11	-	2	4	-	7	15	-	-	-										
Mo.	30	31	-	-	1	1	7	11	-	-	1										
N. Dak.	-	-	-	-	1	-	-	-	-	-	-										
S. Dak.	5	5	-	-	-	-	2	2	-	-	-										
Nebr.	2	3	-	-	-	-	-	3	-	-	-										
Kans.	7	15	-	-	-	-	-	6	-	-	1										
S. ATLANTIC	118	126	-	17	14	2	74	82	-	2	1										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	18	15	-	3	-	1	23	16	-	1	-										
D.C.	1	-	-	1	-	-	-	-	-	-	-										
Va.	16	15	-	2	3	-	7	6	-	-	-										
W. Va.	1	4	-	-	-	-	-	1	-	-	-										
N.C.	14	19	-	3	6	-	22	38	-	1	1										
S.C.	15	15	-	2	3	-	6	6	-	-	-										
Ga.	16	34	-	-	-	1	7	-	-	-	-										
Fla.	35	23	-	6	2	-	9	15	-	-	-										
E.S. CENTRAL	48	73	-	1	1	-	17	16	-	-	-										
Ky.	10	13	U	-	-	U	1	2	U	-	-										
Tenn.	20	25	-	-	-	-	12	5	-	-	-										
Ala.	13	25	-	1	1	-	4	9	-	-	-										
Miss.	5	10	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	28	53	1	12	21	1	28	50	-	4	25										
Ark.	11	9	-	-	-	1	5	5	-	-	-										
La.	7	16	-	-	-	-	-	-	-	-	-										
Okla.	8	17	-	1	-	-	2	6	-	-	-										
Tex.	2	11	1	11	21	-	21	39	-	4	25										
MOUNTAIN	56	59	-	7	8	2	158	187	-	-	5										
Mont.	-	2	-	-	-	-	1	1	-	-	-										
Idaho	7	3	-	-	-	-	81	71	-	-	-										
Wyo.	2	3	U	-	1	U	1	-	U	-	-										
Colo.	17	14	-	2	1	2	23	40	-	-	-										
N. Mex.	7	9	N	N	N	-	10	47	-	-	1										
Ariz.	17	21	-	-	2	-	20	18	-	-	1										
Utah	4	6	-	4	-	-	20	6	-	-	2										
Nev.	2	1	-	1	4	-	2	4	-	-	1										
PACIFIC	135	201	-	28	34	39	365	187	1	1	2										
Wash.	17	24	-	-	4	38	211	71	-	-	-										
Oreg.	21	37	N	N	N	1	4	11	-	-	-										
Calif.	90	136	-	24	20	-	149	102	1	1	1										
Alaska	3	1	-	1	2	-	1	-	-	-	-										
Hawaii	4	3	-	3	8	-	-	3	-	-	1										
Guam	-	-	U	-	2	U	-	-	U	-	-										
P.R.	2	2	-	-	1	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


