
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending December 26, 2009 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2009
Giardiasis cummulative for 2008
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2009
Gonorrhea cummulative for 2008
Haemophilus influenzae, invasive, All ages, all serotypes† current week
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2009
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2008

tab delimited data:
test
UNITED STATES	177	323	498	17,245	18,132	1,158	5,308	6,584	260,823	326,296	30	59	124	2,811	2,687						
NEW ENGLAND	6	30	64	1,602	1,617	67	97	301	4,974	5,088	-	3	16	182	172						
Conn.	-	6	15	269	321	38	48	275	2,430	2,487	-	0	12	50	41						
Maine	4	3	13	211	185	-	2	9	135	96	-	0	2	18	19						
Mass.	-	12	36	672	661	27	37	112	1,934	2,066	-	2	5	89	79						
N.H.	-	3	11	176	159	-	2	6	110	100	-	0	2	12	9						
R.I.	-	1	6	59	88	2	6	19	316	302	-	0	2	8	16						
Vt.	2	4	14	215	203	-	1	5	49	37	-	0	1	5	8						
MID. ATLANTIC	62	60	104	3,130	3,397	330	588	1,138	30,631	31,882	4	12	25	592	517						
N.J.	-	4	17	215	507	-	91	124	4,290	5,156	-	2	7	105	97						
N.Y. (Upstate)	48	24	81	1,337	1,201	119	102	664	5,761	5,951	2	3	20	155	151						
N.Y. City	7	15	26	780	833	97	212	366	10,833	10,067	-	2	11	118	87						
Pa.	7	15	34	798	856	114	191	274	9,747	10,708	2	4	10	214	182						
E.N. CENTRAL	15	44	72	2,280	2,680	4	1,083	1,394	51,467	67,547	3	12	28	556	450						
Ill.	-	9	18	446	688	-	338	524	15,569	20,204	-	3	9	143	151						
Ind.	N	0	11	N	N	-	138	223	6,559	8,434	-	1	22	70	71						
Mich.	-	11	24	613	602	-	272	501	14,183	16,633	-	0	3	24	29						
Ohio	15	15	28	798	879	4	230	431	10,708	16,248	3	2	6	100	132						
Wis.	-	9	19	423	511	-	86	143	4,448	6,028	-	3	20	219	67						
W.N. CENTRAL	4	24	141	1,697	1,954	69	276	365	13,902	16,515	10	3	15	164	193						
Iowa	1	6	15	291	320	-	31	47	1,543	1,645	-	0	0	-	2						
Kans.	-	1	11	96	159	1	43	83	2,266	2,211	-	0	2	13	20						
Minn.	-	0	124	539	665	-	40	65	2,030	2,974	8	0	10	62	58						
Mo.	3	9	27	509	454	68	125	173	6,362	7,793	2	1	4	58	71						
Nebr.	-	3	9	170	204	-	23	55	1,334	1,391	-	0	4	25	30						
N. Dak.	-	0	16	27	19	-	2	14	109	137	-	0	4	6	12						
S. Dak.	-	1	5	65	133	-	5	14	258	364	-	0	0	-	-						
S. ATLANTIC	29	69	109	3,587	3,007	318	1,113	1,694	55,396	83,932	2	14	31	690	678						
Del.	-	0	3	27	42	26	18	37	950	1,001	-	0	1	4	8						
D.C.	-	0	5	22	68	-	49	88	2,448	2,580	-	0	1	2	8						
Fla.	24	37	59	1,894	1,334	125	408	476	20,263	22,787	1	4	10	218	186						
Ga.	1	10	67	805	679	-	228	876	10,094	15,183	1	3	9	149	138						
Md.	3	5	13	267	280	26	112	208	5,820	6,425	-	1	6	93	91						
N.C.	N	0	0	N	N	-	0	175	-	15,690	-	0	17	69	76						
S.C.	-	2	8	101	132	-	159	412	7,651	9,349	-	1	5	68	59						
Va.	1	8	31	417	401	139	147	276	7,705	10,181	-	1	6	57	86						
W. Va.	-	1	5	54	71	2	9	20	465	736	-	0	3	30	26						
