
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 30, 2012 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	125	270	426	5,523	5,329	1	3	19	71	77	21	53	350	1,086	487						
NEW ENGLAND	-	3	22	37	109	-	0	1	-	-	-	0	1	5	4						
Conn.	-	0	4	13	22	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	2	15	-	0	0	-	-	-	0	1	2	-						
Mass.	-	2	20	21	65	-	0	0	-	-	-	0	1	-	2						
N.H.	-	0	1	1	1	-	0	1	-	-	-	0	0	-	1						
R.I.	-	0	2	-	4	-	0	0	-	-	-	0	1	3	1						
Vt.	-	0	1	-	2	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	15	43	89	1,169	315	1	0	2	12	1	1	3	11	30	51						
N.J.	-	18	48	561	60	-	0	1	-	1	-	1	8	-	47						
N.Y. (Upstate)	13	9	41	240	90	1	0	1	4	-	1	0	3	5	2						
N.Y. City	1	13	28	307	114	-	0	0	-	-	-	0	2	9	-						
Pa.	1	2	11	61	51	-	0	2	8	-	-	0	3	16	2						
E.N. CENTRAL	8	18	42	482	382	-	0	2	4	6	-	2	9	54	46						
Ill.	-	4	16	55	92	-	0	1	1	-	-	1	4	23	25						
Ind.	-	1	6	23	37	-	0	1	3	3	-	0	3	21	13						
Mich.	-	4	11	84	78	-	0	0	-	-	-	0	1	1	-						
Ohio	8	9	27	320	136	-	0	2	-	1	-	0	2	9	6						
Wis.	-	0	4	-	39	-	0	0	-	2	-	0	2	-	2						
W.N. CENTRAL	5	6	15	111	207	-	0	5	12	2	-	4	25	140	93						
Iowa	-	0	3	11	7	-	0	0	-	-	-	0	1	5	3						
Kans.	-	2	8	28	31	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	6	-	34	-	0	0	-	-	-	0	3	-	2						
Mo.	1	1	7	43	127	-	0	5	12	2	-	4	20	133	87						
Nebr.	4	0	7	28	4	-	0	3	-	-	-	0	1	2	1						
N. Dak.	-	0	2	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	1	1	4	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	53	73	135	1,484	1,818	-	1	12	27	53	5	11	75	279	136						
Del.	-	0	2	1	1	-	0	0	-	-	-	0	4	12	9						
D.C.	-	0	6	14	11	-	0	0	-	1	-	0	1	1	-						
Fla.	48	48	77	996	1,292	-	0	1	1	2	2	0	5	16	2						
Ga.	-	14	24	247	268	-	1	9	20	40	-	0	0	-	-						
Md.	4	3	15	118	44	-	0	1	-	2	-	0	3	14	5						
N.C.	-	2	9	58	131	-	0	4	-	4	-	0	49	79	65						
S.C.	1	1	54	16	26	-	0	2	3	3	-	0	2	4	10						
Va.	-	1	7	33	41	-	0	1	3	1	3	5	25	153	43						
W. Va.	-	0	1	1	4	-	0	0	-	-	-	0	1	-	2						
E.S. CENTRAL	3	21	52	548	394	-	0	2	1	2	11	7	42	313	117						
