
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending February 18, 2006 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	31	291	1,316	290	915	9	23	46	113	154											
NEW ENGLAND	-	43	209	13	75	-	1	12	5	4											
Conn.	-	9	154	9	-	-	0	10	-	-											
Maine	-	2	25	1	4	-	0	1	-	-											
Mass.	-	12	141	-	61	-	0	4	4	4											
N.H.	-	3	17	3	9	-	0	1	-	-											
R.I.	-	0	12	-	-	-	0	1	-	-											
Vt.	-	0	5	-	1	-	0	2	1	-											
MID. ATLANTIC	17	183	918	149	623	2	6	15	20	44											
N.J.	-	35	305	6	219	-	1	7	-	13											
N.Y. (Upstate)	15	48	781	52	85	1	1	6	4	4											
N.Y. City	-	0	0	-	-	-	3	8	10	22											
Pa.	2	59	458	91	319	1	1	2	6	5											
E.N. CENTRAL	1	13	156	9	37	-	2	6	11	15											
Ill.	-	0	6	-	-	-	0	2	3	5											
Ind.	-	0	4	-	1	-	0	1	-	-											
Mich.	-	1	7	2	1	-	0	2	1	6											
Ohio	1	1	5	2	11	-	0	3	4	2											
Wis.	-	10	148	5	24	-	0	2	3	2											
W.N. CENTRAL	2	13	99	10	5	-	0	5	4	7											
Iowa	-	1	8	-	3	-	0	1	-	2											
Kans.	-	0	3	1	2	-	0	1	-	1											
Minn.	2	9	96	8	-	-	0	3	2	1											
Mo.	-	0	2	1	-	-	0	3	1	3											
Nebr.	-	0	1	-	-	-	0	2	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	1	-	-	-	0	1	1	-											
S. ATLANTIC	5	32	125	83	160	2	6	15	35	25											
Del.	-	9	37	28	66	-	0	1	-	1											
D.C.	1	0	2	2	1	-	0	2	-	-											
Fla.	2	1	8	6	7	1	1	6	4	4											
Ga.	-	0	1	-	-	1	0	6	11	6											
Md.	2	16	86	42	74	-	1	9	13	8											
N.C.	-	0	5	5	7	-	0	8	3	2											
S.C.	-	0	3	-	3	-	0	2	1	-											
Va.	-	3	20	-	2	-	0	5	3	3											
W. Va.	-	0	6	-	-	-	0	2	-	1											
E.S. CENTRAL	-	1	4	-	2	-	0	2	1	3											
Ala.	-	0	1	-	-	-	0	1	-	1											
Ky.	-	0	1	-	-	-	0	2	1	1											
Miss.	-	0	0	-	-	-	0	0	-	-											
Tenn.	-	0	4	-	2	-	0	2	-	1											
W.S. CENTRAL	-	1	8	-	3	-	1	9	4	15											
Ark.	-	0	2	-	-	-	0	2	-	1											
La.	-	0	2	-	1	-	0	1	-	1											
Okla.	-	0	0	-	-	-	0	6	1	-											
Tex.	-	0	7	-	2	-	1	9	3	13											
MOUNTAIN	-	0	4	-	-	1	0	6	6	11											
Ariz.	-	0	4	-	-	-	0	4	-	2											
Colo.	-	0	1	-	-	-	0	3	2	5											
Idaho	-	0	1	-	-	-	0	0	-	-											
Mont.	-	0	0	-	-	-	0	0	-	-											
Nev.	-	0	2	-	-	-	0	2	-	-											
N. Mex.	-	0	1	-	-	-	0	1	-	1											
Utah	-	0	1	-	-	1	0	2	4	2											
Wyo.	-	0	1	-	-	-	0	1	-	1											
PACIFIC	6	3	10	26	10	4	4	12	27	30											
Alaska	-	0	1	-	1	-	0	1	1	1											
Calif.	6	2	10	26	8	4	3	9	22	28											
Hawaii	N	0	0	N	N	-	0	4	-	-											
Oreg.	-	0	2	-	1	-	0	2	2	1											
Wash.	-	0	3	-	-	-	0	4	2	-											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


