
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 26, 2005 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	2,989	5,431	112,588	133,330	630	731	219	415													
NEW ENGLAND	133	180	3,962	4,699	-	-	11	25													
Maine	3	5	343	287	N	N	1	5													
N.H.	2	5	275	270	-	-	3	5													
Vt.	-	7	151	187	-	-	2	3													
Mass.	47	49	2,166	2,142	-	-	2	10													
R.I.	14	22	517	646	-	-	-	-													
Conn.	67	92	510	1,167	N	N	3	2													
MID. ATLANTIC	447	626	13,610	15,962	-	-	38	69													
Upstate N.Y.	39	78	2,486	2,604	N	N	12	10													
N.Y. City	221	300	3,950	5,103	-	-	8	21													
N.J.	87	186	1,602	2,684	N	N	1	5													
Pa.	100	62	5,572	5,571	N	N	17	33													
E.N. CENTRAL	275	614	14,260	25,564	-	-	33	96													
Ohio	59	155	2,120	6,948	N	N	17	24													
Ind.	37	83	3,039	2,856	N	N	2	10													
Ill.	147	278	4,841	7,062	-	-	-	19													
Mich.	26	61	2,561	6,040	-	-	5	18													
Wis.	6	37	1,699	2,658	N	N	9	25													
W.N. CENTRAL	85	176	6,133	8,713	-	1	30	36													
Minn.	35	33	963	1,806	N	N	6	10													
Iowa	16	9	643	1,103	N	N	7	5													
Mo.	17	82	2,669	3,285	-	-	12	11													
N. Dak.	-	8	165	231	N	N	-	-													
S. Dak.	3	-	441	327	-	-	2	4													
Nebr.	-	8	404	752	-	1	-	-													
Kans.	14	36	848	1,209	N	N	3	6													
S. ATLANTIC	1,108	1,966	23,946	23,878	-	-	52	81													
Del.	-	29	474	447	N	N	-	-													
Md.	82	193	2,391	2,856	-	-	5	6													
D.C.	28	96	509	543	-	-	-	2													
Va.	58	76	3,629	3,001	-	-	5	6													
W. Va.	12	23	375	437	N	N	4	-													
N.C.	127	173	5,892	3,294	N	N	8	14													
S.C.	42	135	3,013	2,429	-	-	-	2													
Ga.	231	324	1,398	5,137	-	-	14	35													
Fla.	528	917	6,265	5,734	N	N	16	16													
E.S. CENTRAL	141	266	7,882	8,051	-	1	6	23													
Ky.	25	39	1,964	911	N	N	1	5													
Tenn.	59	109	2,920	3,353	N	N	1	10													
Ala.	54	75	350	2,110	-	-	3	6													
Miss.	3	43	2,648	1,677	-	1	1	2													
W.S. CENTRAL	331	788	15,809	16,683	-	-	6	20													
Ark.	35	42	1,257	1,156	-	-	-	7													
La.	39	147	1,034	3,922	-	-	-	-													
Okla.	43	27	1,622	1,294	N	N	4	5													
Tex.	214	572	11,896	10,311	N	N	2	8													
MOUNTAIN	112	191	7,419	7,866	433	502	13	17													
Mont.	-	-	325	26	N	N	-	-													
Idaho	1	2	224	498	N	N	-	-													
Wyo.	-	-	180	156	-	-	-	2													
Colo.	12	28	1,545	1,761	N	N	4	10													
N. Mex.	17	19	537	1,202	1	6	2	1													
Ariz.	57	104	3,339	2,869	419	479	3	3													
Utah	8	9	553	477	1	4	1	-													
Nev.	17	29	716	877	12	13	3	1													
PACIFIC	357	624	19,567	21,914	197	227	30	48													
Wash.	28	63	2,830	2,558	N	N	-	-													
Oreg.	32	17	1,293	1,181	-	-	1	5													
Calif.	291	514	14,408	16,761	197	227	29	42													
Alaska	5	5	504	475	-	-	-	-													
Hawaii	1	25	532	939	-	-	-	1													
Guam	1	-	-	160	-	-	-	-													
P.R.	1	141	527	313	N	N	N	N													
V.I.	3	2	-	78	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


