
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2002 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2002
Meningococcal Disease cummulative for 2001
Mumps cummulative for 2002
Mumps cummulative for 2001
Pertussis cummulative for 2002
Pertussis cummulative for 2001
Rabies, Animal cummulative for 2002
Rabies, Animal cummulative for 2001

tab delimited data:
test
UNITED STATES	160	401	16	16	340	543	286	601													
NEW ENGLAND	10	24	1	-	93	96	54	51													
Maine	2	-	-	-	3	-	3	10													
N.H.	1	1	1	-	-	4	1	-													
Vt.	2	-	-	-	15	17	13	9													
Mass.	4	17	-	-	75	73	18	13													
R.I.	-	-	-	-	-	-	2	7													
Conn.	1	6	-	-	-	2	17	12													
MID. ATLANTIC	18	56	1	1	14	22	64	81													
Upstate N.Y.	4	11	-	-	14	18	49	52													
N.Y. City	3	11	-	1	-	3	3	-													
N.J.	1	28	-	-	-	-	-	13													
Pa.	10	6	1	-	-	1	12	16													
E.N. CENTRAL	27	40	1	1	55	76	2	6													
Ohio	14	12	-	1	38	55	1	-													
Ind.	6	-	-	-	2	1	1	1													
Ill.	-	9	-	-	7	1	-	-													
Mich.	5	12	1	-	7	5	-	2													
Wis.	2	7	-	-	1	14	-	3													
W.N. CENTRAL	6	21	1	1	36	25	15	37													
Minn.	-	-	-	-	1	-	2	11													
Iowa	-	6	-	-	10	3	4	9													
Mo.	3	11	-	-	16	14	-	2													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	2	-	-	-	1	2	-	7													
Nebr.	-	1	-	-	-	-	-	-													
Kans.	1	3	1	1	8	6	9	8													
S. ATLANTIC	29	57	3	1	32	24	99	142													
Del.	1	-	-	-	1	-	3	-													
Md.	1	11	1	1	7	6	2	31													
D.C.	-	-	-	-	-	-	-	-													
Va.	1	5	1	-	8	-	39	33													
W. Va.	-	-	-	-	-	-	10	8													
N.C.	3	10	-	-	7	9	39	35													
S.C.	1	4	1	-	8	4	6	7													
Ga.	7	11	-	-	-	5	-	15													
Fla.	15	16	-	-	1	-	-	13													
E.S. CENTRAL	8	22	2	-	13	10	11	108													
Ky.	-	3	-	-	4	1	1	-													
Tenn.	1	7	-	-	7	4	6	106													
Ala.	6	8	1	-	2	2	4	2													
Miss.	1	4	1	-	-	3	-	-													
W.S. CENTRAL	9	99	-	-	17	3	11	108													
Ark.	5	6	-	-	5	2	-	-													
La.	1	15	-	-	-	-	-	1													
Okla.	2	6	-	-	1	1	11	9													
Tex.	1	72	-	-	11	-	-	98													
MOUNTAIN	19	21	-	1	63	239	13	31													
Mont.	-	-	-	-	2	-	-	4													
Idaho	-	3	-	-	5	19	-	-													
Wyo.	-	-	-	-	1	-	1	9													
Colo.	5	7	-	-	35	84	-	-													
N. Mex.	-	4	-	1	10	4	-	-													
Ariz.	7	3	-	-	4	129	12	18													
Utah	3	2	-	-	5	3	-	-													
Nev.	4	2	-	-	1	-	-	-													
PACIFIC	34	61	7	11	17	48	17	37													
Wash.	7	5	-	-	4	5	-	-													
Oreg.	7	1	N	N	11	2	-	-													
Calif.	18	51	7	7	-	34	6	17													
Alaska	1	-	-	-	2	-	11	20													
Hawaii	1	4	-	4	-	7	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	11	12													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


