
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 9, 1999 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	10	17	106	280	43	139	-	-	-	-	-	-									
NEW ENGLAND	-	-	1	8	-	-	-	-	-	-	-	-									
Maine	-	-	1	3	-	-	-	-	-	-	-	-									
N.H.	-	-	-	-	-	-	-	-	-	-	-	-									
Vt.	-	-	-	-	-	-	-	-	-	-	-	-									
Mass.	-	-	-	1	-	-	U	-	U	-	-	-									
R.I.	-	-	-	-	-	-	-	-	-	-	-	-									
Conn.	-	-	-	4	-	-	-	-	-	-	-	-									
MID. ATLANTIC	-	2	1	13	2	20	-	-	-	-	-	-									
Upstate N.Y.	-	-	1	2	-	4	-	-	-	-	-	-									
N.Y. City	-	1	-	6	-	2	U	-	U	-	-	-									
N.J.	-	1	-	4	-	10	-	-	-	-	-	-									
Pa.	-	-	-	1	2	4	-	-	-	-	-	-									
E.N. CENTRAL	2	1	10	93	4	65	-	-	-	-	-	-									
Ohio	2	1	10	15	4	3	-	-	-	-	-	-									
Ind.	-	-	-	8	-	42	-	-	-	-	-	-									
Ill.	-	-	-	27	-	6	-	-	-	-	-	-									
Mich.	-	-	-	38	-	11	U	-	U	-	-	-									
Wis.	-	-	-	5	-	3	-	-	-	-	-	-									
W.N. CENTRAL	-	-	-	14	1	3	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	-	-	-	5	-	-	-	-	-	-	-	-									
Mo.	-	-	-	6	-	3	U	-	U	-	-	-									
N. Dak.	-	-	-	-	-	-	U	-	U	-	-	-									
S. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
Nebr.	-	-	-	1	1	-	-	-	-	-	-	-									
Kans.	-	-	-	2	-	-	-	-	-	-	-	-									
S. ATLANTIC	7	5	14	7	18	5	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	6	5	4	5	2	5	-	-	-	-	-	-									
D.C.	1	-	2	-	-	-	-	-	-	-	-	-									
Va.	-	-	-	-	-	-	-	-	-	-	-	-									
W. Va.	-	-	-	-	-	-	U	-	U	-	-	-									
N.C.	-	-	-	1	16	-	-	-	-	-	-	-									
S.C.	-	-	-	-	-	-	-	-	-	-	-	-									
Ga.	-	-	7	1	-	-	-	-	-	-	-	-									
Fla.	-	-	1	-	-	-	-	-	-	-	-	-									
E.S. CENTRAL	-	-	1	9	1	4	-	-	-	-	-	-									
Ky.	-	-	-	1	-	-	U	-	U	-	-	-									
Tenn.	-	-	-	5	-	3	-	-	-	-	-	-									
Ala.	-	-	1	-	1	1	-	-	-	-	-	-									
Miss.	-	-	-	3	-	-	U	-	U	-	-	-									
W.S. CENTRAL	1	-	2	6	1	3	-	-	-	-	-	-									
Ark.	-	-	-	-	1	1	-	-	-	-	-	-									
La.	-	-	-	-	-	-	-	-	-	-	-	-									
Okla.	1	-	2	-	-	-	-	-	-	-	-	-									
Tex.	-	-	-	6	-	2	U	-	U	-	-	-									
MOUNTAIN	-	6	17	55	4	17	-	-	-	-	-	-									
Mont.	-	-	-	2	-	-	-	-	-	-	-	-									
Idaho	-	-	-	2	3	1	-	-	-	-	-	-									
Wyo.	-	-	-	-	-	-	U	-	U	-	-	-									
Colo.	-	1	7	6	-	-	-	-	-	-	-	-									
N. Mex.	-	-	2	6	1	8	-	-	-	-	-	-									
Ariz.	-	3	8	26	-	4	-	-	-	-	-	-									
Utah	-	-	-	-	-	-	U	-	U	-	-	-									
Nev.	-	2	-	13	-	4	U	-	U	-	-	-									
PACIFIC	-	3	60	75	12	22	-	-	-	-	-	-									
Wash.	-	-	-	-	-	-	U	-	U	-	-	-									
Oreg.	-	2	-	3	-	1	U	-	U	-	-	-									
Calif.	-	1	60	71	11	21	-	-	-	-	-	-									
Alaska	-	-	-	-	1	-	-	-	-	-	-	-									
Hawaii	-	-	-	1	-	-	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	-	-	-	-	2	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	-	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


