
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 11, 2003 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral, Acute), Type B cummulative for 2003
Hepatitis (Viral, Acute), Type B cummulative for 2002
Hepatitis (Viral, Acute), Type C cummulative for 2003
Hepatitis (Viral, Acute), Type c cummulative for 2002
Legionellosis cummulative for 2003
Legionellosis cummulative for 2002
Listeriosis cummulative for 2003
Listeriosis cummulative for 2002
Lyme Disease cummulative for 2003
Lyme Disease cummulative for 2002

tab delimited data:
test
UNITED STATES	113	128	17	120	17	15	6	9	19	112											
NEW ENGLAND	-	9	-	1	1	-	-	-	1	15											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	1	-	1	-	-	-	-	1	-											
Mass.	-	6	-	-	-	-	-	-	-	15											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	2	-	-	1	-	-	-	-	-											
MID. ATLANTIC	-	28	-	72	-	1	-	2	1	62											
Upstate N.Y.	-	1	-	-	-	-	-	-	1	28											
N.Y. City	-	14	-	-	-	-	-	1	-	-											
N.J.	-	9	-	72	-	-	-	-	-	22											
Pa.	-	4	-	-	-	1	-	1	-	12											
E.N. CENTRAL	12	22	2	1	4	8	1	2	-	1											
Ohio	6	4	-	-	1	3	1	-	-	1											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	2	-	-	-	-	-	-	-	-											
Mich.	6	12	2	1	3	4	-	-	-	-											
Wis.	-	4	-	-	-	1	-	2	U	U											
W.N. CENTRAL	3	5	6	19	1	2	-	-	-	2											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	1	-	-	-	-	-	-	-	-											
Mo.	3	2	6	19	-	1	-	-	-	2											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	1	-	-	-	1	-	-	-	-											
Kans.	-	1	-	-	1	-	-	-	-	-											
S. ATLANTIC	84	31	7	3	11	2	3	-	15	29											
Del.	-	1	-	1	-	1	-	-	-	-											
Md.	1	5	-	1	2	1	-	-	8	29											
D.C.	-	1	-	-	-	-	-	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	N	N	-	-	-	-											
N.C.	2	3	1	-	1	-	1	-	3	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	66	11	1	-	1	-	-	-	-	-											
Fla.	15	10	5	1	7	-	2	-	4	-											
E.S. CENTRAL	1	6	-	3	-	-	2	-	-	-											
Ky.	-	1	-	-	-	-	-	-	-	-											
Tenn.	1	-	-	-	-	-	-	-	-	-											
Ala.	-	-	-	-	-	-	2	-	-	-											
Miss.	-	5	-	3	-	-	-	-	-	-											
W.S. CENTRAL	-	2	-	16	-	1	-	1	-	2											
Ark.	-	1	-	-	-	-	-	-	-	-											
La.	-	1	-	-	-	-	-	-	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	16	-	1	-	1	-	2											
MOUNTAIN	13	5	2	2	-	-	-	1	-	-											
Mont.	1	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	1	1	-	1	-	-	-	-	-	-											
Colo.	4	-	2	1	-	-	-	1	-	-											
N. Mex.	-	1	-	-	-	-	-	-	-	-											
Ariz.	7	-	-	-	-	-	-	-	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	3	-	-	-	-	-	-	-	-											
PACIFIC	-	20	-	3	-	1	-	3	2	1											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	-	10	-	2	N	N	-	-	-	-											
Calif.	-	9	-	1	-	1	-	3	2	1											
Alaska	-	1	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	-	-	-	-	N	N											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	1	-	-	-	-	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


