
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 17, 2001 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	305	388	1	13	68	37	430	684	-	2	5										
NEW ENGLAND	25	21	-	-	-	2	107	188	-	-	3										
Maine	-	2	-	-	-	-	-	7	-	-	-										
N.H.	2	2	-	-	-	2	6	29	-	-	1										
Vt.	-	1	-	-	-	-	16	38	-	-	-										
Mass.	15	11	-	-	-	-	83	111	-	-	2										
R.I.	-	1	-	-	-	-	-	2	-	-	-										
Conn.	8	4	-	-	-	-	2	1	-	-	-										
MID. ATLANTIC	32	27	-	-	4	-	12	52	-	-	1										
Upstate N.Y.	11	6	-	-	1	-	12	23	-	-	-										
N.Y. City	6	8	-	-	1	-	-	19	-	-	1										
N.J.	14	6	-	-	-	-	-	-	-	-	-										
Pa.	1	7	-	-	2	-	-	10	-	-	-										
E.N. CENTRAL	21	67	-	1	7	7	70	136	-	2	-										
Ohio	13	9	-	1	3	2	58	97	-	-	-										
Ind.	-	6	-	-	-	-	1	3	-	-	-										
Ill.	-	23	-	-	1	-	-	5	-	1	-										
Mich.	8	19	-	-	3	5	10	5	-	1	-										
Wis.	-	10	-	-	-	-	1	26	-	-	-										
W.N. CENTRAL	25	28	-	2	6	2	20	19	-	-	-										
Minn.	-	1	-	-	-	-	-	6	-	-	-										
Iowa	10	6	-	-	3	-	2	6	-	-	-										
Mo.	8	17	-	-	1	-	7	2	-	-	-										
N. Dak.	-	1	-	-	-	-	-	-	-	-	-										
S. Dak.	-	1	-	-	-	-	2	1	-	-	-										
Nebr.	3	1	-	-	2	-	-	-	-	-	-										
Kans.	4	1	-	2	-	2	9	4	-	-	-										
S. ATLANTIC	66	55	-	1	6	3	21	38	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	13	4	-	1	1	2	7	13	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	7	10	-	-	-	-	-	1	-	-	-										
W. Va.	-	1	-	-	-	-	-	-	-	-	-										
N.C.	17	11	-	-	1	1	10	14	-	-	-										
S.C.	4	6	-	-	3	-	4	9	-	-	-										
Ga.	9	11	-	-	-	-	-	-	-	-	-										
Fla.	16	12	-	-	1	-	-	1	-	-	-										
E.S. CENTRAL	25	20	-	-	1	5	14	25	-	-	-										
Ky.	3	3	-	-	-	-	1	18	-	-	-										
Tenn.	9	9	-	-	-	5	11	2	-	-	-										
Ala.	10	7	-	-	1	-	2	4	-	-	-										
Miss.	3	1	-	-	-	-	-	1	-	-	-										
W.S. CENTRAL	33	52	-	-	9	-	3	6	-	-	1										
Ark.	6	1	-	-	-	-	2	3	-	-	-										
La.	8	17	-	-	2	-	-	1	-	-	-										
Okla.	6	5	U	-	-	U	1	-	U	-	-										
Tex.	13	29	-	-	7	-	-	2	-	-	1										
MOUNTAIN	15	18	1	2	3	16	173	122	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	3	2	-	-	-	-	18	16	-	-	-										
Wyo.	-	-	1	1	-	-	-	-	-	-	-										
Colo.	1	4	-	-	-	8	8	80	-	-	-										
N. Mex.	4	2	-	1	N	4	8	16	-	-	-										
Ariz.	3	6	-	-	-	3	135	5	-	-	-										
Utah	2	3	-	-	-	1	4	3	-	-	-										
Nev.	2	1	-	-	2	-	-	2	-	-	-										
PACIFIC	63	100	-	7	32	2	10	98	-	-	-										
Wash.	6	5	-	-	-	2	7	4	-	-	-										
Oreg.	12	13	N	N	N	-	3	12	-	-	-										
Calif.	45	79	-	7	30	-	-	75	-	-	-										
Alaska	-	-	-	-	-	-	-	2	-	-	-										
Hawaii	-	3	-	-	2	-	-	5	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	2	U	-	-	U	-	-	U	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


