
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 17, 2004 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Congenital) cummulative for 2004
Syphilis (Congenital) cummulative for 2003
Tuberculosis cummulative for 2004
Tuberculosis cummulative for 2003
Typhoid Fever cummulative for 2004
Typhoid Fever cummulative for 2003
Varicella (Chicken Pox) cummulative for 2004
Varicella (Chicken Pox) cummulative for 2003

tab delimited data:
test
UNITED STATES	123	228	2	19	87	141	2	2	327	448											
NEW ENGLAND	2	3	-	-	3	2	-	-	42	52											
Maine	-	-	-	-	-	-	-	-	-	36											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	42	2											
Mass.	2	1	-	-	2	-	-	-	-	14											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	2	-	-	1	2	-	-	-	-											
MID. ATLANTIC	9	17	1	4	-	36	-	1	3	-											
Upstate N.Y.	1	-	1	1	-	-	-	-	-	-											
N.Y. City	3	9	-	1	-	35	-	1	-	-											
N.J.	4	4	-	2	-	-	-	-	-	-											
Pa.	1	4	-	-	-	1	-	-	3	-											
E.N. CENTRAL	20	35	1	4	33	4	1	-	180	258											
Ohio	6	7	-	1	-	2	1	-	34	77											
Ind.	6	1	-	1	2	2	-	-	-	-											
Ill.	1	19	-	2	31	-	-	-	-	-											
Mich.	7	7	1	-	-	-	-	-	146	143											
Wis.	-	1	-	-	-	-	-	-	-	38											
W.N. CENTRAL	-	14	-	-	-	5	-	-	7	-											
Minn.	-	3	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	N	N											
Mo.	-	6	-	-	-	-	-	-	-	-											
N. Dak.	-	-	-	-	-	-	-	-	6	-											
S. Dak.	-	-	-	-	-	1	-	-	1	-											
Nebr.	-	-	-	-	-	-	-	-	-	-											
Kans.	-	5	-	-	-	4	-	-	-	-											
S. ATLANTIC	52	53	-	6	1	12	-	1	61	81											
Del.	1	-	-	-	-	-	-	-	-	-											
Md.	11	4	-	2	-	-	-	1	-	-											
D.C.	8	2	-	-	-	-	-	-	-	-											
Va.	1	4	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	1	-	-	-	61	81											
N.C.	1	4	-	-	-	-	-	-	-	-											
S.C.	2	3	-	2	-	-	-	-	-	-											
Ga.	-	4	-	1	-	12	-	-	-	-											
Fla.	28	32	-	1	-	-	-	-	-	-											
E.S. CENTRAL	8	14	-	-	4	4	-	-	-	-											
Ky.	4	3	-	-	-	-	-	-	-	-											
Tenn.	3	7	-	-	-	-	-	-	-	-											
Ala.	1	4	-	-	4	4	-	-	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	24	19	-	2	3	60	-	-	-	57											
Ark.	-	-	-	-	1	-	-	-	-	-											
La.	3	-	-	-	-	-	-	-	-	1											
Okla.	1	1	-	-	2	-	-	-	-	-											
Tex.	20	18	-	2	-	60	-	-	-	56											
MOUNTAIN	4	14	-	1	1	2	-	-	34	-											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	3	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	1	-	-	7	-											
Colo.	-	1	-	-	-	1	-	-	-	-											
N. Mex.	-	5	-	1	-	-	-	-	-	-											
Ariz.	1	7	-	-	-	-	-	-	-	-											
Utah	-	1	-	-	1	-	-	-	27	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	4	59	-	2	42	16	1	-	-	-											
Wash.	-	-	-	-	6	4	-	-	-	-											
Oreg.	-	1	-	-	2	1	-	-	-	-											
Calif.	4	58	-	2	32	10	1	-	-	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	2	1	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	2	1	-	-	-	-	-	-	-	3											
V.I.	-	1	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


