
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 27, 1998 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1998*
AIDS § cummulative for 1997
Chlamydia† cummulative for 1998
Chlamydia† cummulative for 1997
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1998
Gonorrhea cummulative for 1998
Gonorrhea cummulative for 1997
Hepatitis C/NA,NB cummulative for 1998
Hepatitis C/NA,NB cummulative for 1997

tab delimited data:
test
UNITED STATES	20,034	27,944	244,571	235,320	685	357	143,519	137,638	1,891	1,636											
NEW ENGLAND	640	1,151	9,161	8,239	103	69	2,430	2,803	23	33											
Maine	13	25	457	452	5	-	30	28	-	-											
N.H.	21	17	441	370	18	16	45	57	-	-											
Vt.	10	24	187	188	4	4	13	24	-	1											
Mass.	275	462	4,062	3,388	57	38	975	1,050	22	29											
R.I.	58	80	1,199	981	3	1	175	231	1	3											
Conn.	263	543	2,815	2,860	16	10	1,192	1,413	-	-											
MID. ATLANTIC	5,695	8,425	29,581	27,575	72	18	16,406	16,698	200	145											
Upstate N.Y.	710	1,338	N	N	50	-	2,878	2,848	154	107											
N.Y. City	3,153	4,138	16,364	14,269	3	6	7,046	6,324	-	-											
N.J.	993	1,861	4,626	4,742	19	11	2,631	3,457	-	-											
Pa.	839	1,088	8,591	8,564	N	1	3,851	4,069	46	38											
E.N. CENTRAL	1,518	1,977	41,074	34,691	134	67	27,683	20,611	248	320											
Ohio	281	408	11,921	10,434	32	12	7,157	6,439	6	7											
Ind.	293	359	2,706	4,204	46	20	1,769	2,820	3	9											
Ill.	610	608	11,994	6,231	29	-	9,589	3,030	11	52											
Mich.	252	473	10,232	8,678	27	17	7,480	6,197	228	234											
Wis.	82	129	4,221	5,144	N	18	1,688	2,125	-	18											
W.N. CENTRAL	351	536	14,555	15,081	80	46	7,017	6,566	110	33											
Minn.	56	99	2,305	3,143	30	24	814	1,091	5	2											
Iowa	20	66	2,010	2,222	21	-	638	598	11	16											
Mo.	176	254	5,634	5,565	10	17	4,034	3,493	90	4											
N. Dak.	4	4	290	408	1	2	29	26	-	2											
S. Dak.	9	2	788	595	2	1	125	62	-	-											
Nebr.	36	48	1,023	931	7	-	346	341	2	2											
Kans.	50	63	2,505	2,217	9	2	1,031	955	2	7											
S. ATLANTIC	5,037	7,208	52,583	44,769	48	29	42,159	43,145	96	108											
Del.	57	111	1,210	612	-	1	649	542	-	-											
Md.	571	948	4,001	3,446	12	4	4,576	5,570	5	3											
D.C.	413	533	N	N	1	-	1,656	1,959	-	-											
Va.	368	599	5,135	5,289	N	7	2,849	3,762	5	10											
W. Va.	47	57	1,309	1,427	N	2	371	455	4	9											
N.C.	335	364	10,801	7,935	11	10	9,034	7,724	12	28											
S.C.	318	371	9,002	5,919	1	-	5,823	5,350	1	25											
Ga.	608	859	11,989	7,928	8	-	9,896	9,284	9	-											
Fla.	2,320	3,366	9,136	12,213	12	5	7,305	8,499	60	33											
E.S. CENTRAL	788	828	17,268	16,319	39	11	16,347	16,170	74	180											
Ky.	101	114	2,984	3,149	10	-	1,702	2,015	14	7											
Tenn.	272	373	5,945	6,038	20	10	5,051	5,038	57	113											
Ala.	233	196	4,679	3,847	9	-	5,906	5,458	3	6											
Miss.	182	145	3,660	3,285	U	1	3,688	3,659	U	54											
W.S. CENTRAL	2,473	3,120	35,864	22,547	44	5	20,492	16,690	512	191											
Ark.	81	119	1,553	1,369	3	1	1,145	2,213	5	5											
La.	415	538	6,429	3,941	-	1	5,274	3,711	10	101											
Okla.	134	138	4,784	3,496	5	3	2,605	2,232	2	4											
Tex.	1,843	2,325	23,098	13,741	36	-	11,468	8,534	495	81											
MOUNTAIN	725	841	8,435	13,296	61	43	3,144	3,561	233	151											
Mont.	13	22	595	477	4	-	23	20	4	10											
Idaho	14	28	917	691	7	1	83	50	87	23											
Wyo.	2	13	301	255	2	-	15	25	43	37											
Colo.	127	224	-	2,884	19	11	1,083	947	13	21											
N. Mex.	111	67	1,830	1,865	9	6	355	418	51	32											
Ariz.	286	189	3,735	4,882	N	9	1,373	1,547	3	18											
Utah	57	65	748	815	13	10	74	119	19	3											
Nev.	115	233	309	1,427	7	6	138	435	13	7											
PACIFIC	2,807	3,858	36,050	52,803	104	69	7,841	11,394	395	475											
Wash.	203	287	5,286	4,348	25	22	899	927	10	14											
Oreg.	88	144	2,682	2,245	29	26	360	329	2	2											
Calif.	2,463	3,377	26,201	44,733	48	18	6,232	9,711	328	375											
Alaska	12	22	913	668	2	-	155	190	1	-											
Hawaii	41	28	968	809	N	3	195	237	54	84											
Guam	-	2	8	193	N	-	2	27	-	-											
P.R.	834	760	U	U	-	U	187	319	-	-											
V.I.	17	49	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	1	N	N	N	U	14	16	-	2											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


