
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 6, 2013 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012

tab delimited data:
test
UNITED STATES	-	10	67	17	33	-	21	67	23	158	-	3	19	-	10						
NEW ENGLAND	-	0	4	1	2	-	4	23	2	56	-	0	0	-	-						
Conn.	-	0	0	-	-	-	1	11	-	36	-	0	0	-	-						
Maine	-	0	1	-	-	-	0	4	-	4	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	1	-	-	1	5	1	5	-	0	0	-	-						
R.I.	-	0	3	-	2	-	1	11	1	10	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	2	-	1	-	0	0	-	-						
MID. ATLANTIC	-	0	5	2	3	-	5	17	4	21	-	0	2	-	2						
N.J.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N.Y. (Upstate)	-	0	3	1	2	-	4	17	3	15	-	0	2	-	2						
N.Y. City	-	0	3	1	1	-	0	4	1	6	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
E.N. CENTRAL	-	1	5	1	5	-	8	42	9	71	-	2	14	-	6						
Ill.	-	0	4	-	1	-	0	1	1	4	-	0	1	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	-	1						
Mich.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Ohio	-	0	1	1	-	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	3	-	4	-	8	42	8	67	-	1	6	-	5						
W.N. CENTRAL	-	2	32	1	7	-	0	4	-	1	-	0	4	-	-						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	1	2	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	2	31	-	5	-	0	4	-	1	-	0	4	-	-						
Nebr.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	-	4	32	9	14	-	1	8	8	5	-	0	2	-	-						
