
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending December 3, 2011 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	180	239	742	10,670	13,232	1	3	15	193	133	3	28	245	1,887	1,538						
NEW ENGLAND	-	4	20	253	311	-	0	1	1	-	-	0	1	8	5						
Conn.	-	0	4	38	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	32	8	-	0	0	-	-	-	0	1	1	2						
Mass.	-	3	19	166	207	-	0	0	-	-	-	0	1	4	-						
N.H.	-	0	1	3	14	-	0	1	1	-	-	0	1	1	1						
R.I.	-	0	4	8	12	-	0	0	-	-	-	0	1	2	2						
Vt.	-	0	1	6	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	16	16	74	911	1,526	-	0	2	17	2	1	1	4	56	100						
N.J.	-	3	16	172	356	-	0	0	-	1	-	0	1	-	59						
N.Y. (Upstate)	13	4	20	295	214	-	0	1	3	1	1	0	1	8	16						
N.Y. City	-	5	24	329	290	-	0	0	-	-	-	0	3	29	11						
Pa.	3	2	56	115	666	-	0	2	14	-	-	0	3	19	14						
E.N. CENTRAL	5	15	40	701	1,474	-	0	2	8	3	-	2	9	112	77						
Ill.	-	5	16	204	810	-	0	1	2	2	-	1	4	47	34						
Ind.	-	1	4	45	61	-	0	1	2	1	-	0	4	46	20						
Mich.	2	3	10	164	241	-	0	1	1	-	-	0	1	2	1						
Ohio	3	4	27	288	289	-	0	2	3	-	-	0	2	17	15						
Wis.	-	0	1	-	73	-	0	0	-	-	-	0	0	-	7						
W.N. CENTRAL	1	6	22	284	2,012	-	0	4	27	13	-	4	29	340	273						
Iowa	-	0	4	20	49	-	0	0	-	-	-	0	2	5	5						
Kans.	1	1	7	59	282	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	2	-	63	-	0	0	-	-	-	0	2	-	-						
Mo.	-	4	17	186	1,556	-	0	3	19	10	-	4	29	330	265						
Nebr.	-	0	2	14	55	-	0	3	5	3	-	0	1	5	2						
N. Dak.	-	0	0	-	-	-	0	1	2	-	-	0	0	-	1						
S. Dak.	-	0	2	5	7	-	0	1	1	-	-	0	0	-	-						
S. ATLANTIC	72	70	134	3,522	2,533	1	1	8	103	80	-	6	55	521	488						
Del.	-	0	2	6	39	-	0	1	1	1	-	0	4	18	21						
D.C.	3	0	2	15	32	-	0	1	1	1	-	0	1	3	-						
Fla.	50	49	98	2,466	1,062	-	0	1	3	3	-	0	2	12	11						
Ga.	10	11	24	543	753	-	1	6	65	57	-	0	0	-	-						
Md.	4	2	7	96	125	1	0	1	4	-	-	0	2	30	49						
N.C.	5	3	19	197	219	-	0	4	14	13	-	0	49	250	255						
S.C.	-	1	51	102	68	-	0	2	11	1	-	0	2	21	19						
Va.	-	2	8	93	132	-	0	1	4	4	-	3	14	183	133						
W. Va.	-	0	5	4	103	-	0	0	-	-	-	0	1	4	-						
E.S. CENTRAL	21	15	44	707	734	-	0	2	12	20	2	4	25	328	400						
Ala.	8	5	21	266	211	-	0	1	4	5	1	1	8	71	78						
Ky.	5	1	6	51	219	-	0	1	3	6	-	0	0	-	-						
Miss.	6	4	23	214	55	-	0	0	-	1	-	0	2	12	24						
Tenn.	2	4	11	176	249	-	0	2	5	8	1	3	20	245	298						
W.S. CENTRAL	60	51	503	2,549	2,695	-	0	8	11	6	-	2	235	472	181						
Ark.	2	2	7	76	72	-	0	3	6	2	-	0	50	403	126						
La.	-	4	21	250	276	-	0	0	-	-	-	0	2	7	3						
Okla.	15	2	161	193	251	-	0	5	3	3	-	0	202	43	26						
Tex.	43	40	338	2,030	2,096	-	0	1	2	1	-	0	5	19	26						
MOUNTAIN	3	15	42	766	797	-	0	5	13	3	-	1	8	50	13						
Ariz.	1	5	27	355	436	-	0	4	12	1	-	0	7	35	1						
Colo.	1	1	8	93	92	-	0	1	-	-	-	0	1	2	1						
Idaho	-	0	3	16	23	-	0	1	1	-	-	0	1	1	5						
Mont.	1	1	15	122	8	-	0	0	-	2	-	0	1	1	1						
Nev.	-	0	4	31	48	-	0	0	-	-	-	0	1	2	-						
N. Mex.	-	2	7	101	144	-	0	0	-	-	-	0	0	-	1						
Utah	-	1	4	46	46	-	0	0	-	-	-	0	1	1	3						
Wyo.	-	0	1	2	-	-	0	0	-	-	-	0	2	8	1						
PACIFIC	2	20	63	977	1,150	-	0	2	1	6	-	0	0	-	1						
Alaska	-	0	2	5	2	N	0	0	N	N	N	0	0	N	N						
Calif.	-	16	59	806	939	-	0	1	1	6	-	0	0	-	-						
Hawaii	-	1	3	42	45	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	41	58	-	0	0	-	-	-	0	0	-	1						
Wash.	2	1	6	83	106	-	0	1	-	-	-	0	0	-	-						
Amer. Samoa	-	0	1	1	4	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	1	5	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	6	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


