
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 16, 2013 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2013
Hepatitis (Viral Acute), Type A cummulative for 2012
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2013
Hepatitis (Viral Acute), Type B cummulative for 2012
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2013
Hepatitis (Viral Acute), Type C cummulative for 2012

tab delimited data:
test
UNITED STATES	6	26	49	203	310	8	60	84	365	706	3	32	51	196	337						
NEW ENGLAND	-	1	7	6	13	-	1	6	3	19	-	1	6	2	20						
Conn.	-	0	2	2	4	-	0	2	-	4	-	0	4	-	9						
Maine	-	0	2	2	2	-	0	2	3	3	-	0	2	1	1						
Mass.	-	0	4	1	5	-	1	5	-	11	-	0	2	-	10						
N.H.	-	0	1	-	2	-	0	2	-	1	N	0	0	N	N						
R.I.	-	0	1	-	-	U	0	0	U	U	U	0	0	U	U						
Vt.	-	0	1	1	-	-	0	1	-	-	-	0	2	1	-						
MID. ATLANTIC	1	4	10	33	54	-	3	10	27	58	2	2	12	25	44						
N.J.	-	0	4	2	14	-	0	4	-	21	-	0	3	2	16						
N.Y. (Upstate)	-	1	4	9	15	-	1	8	6	9	1	1	11	15	9						
N.Y. City	-	0	4	10	13	-	1	5	13	14	-	0	1	-	4						
Pa.	1	1	4	12	12	-	1	4	8	14	1	1	4	8	15						
E.N. CENTRAL	1	4	14	46	52	3	7	15	52	91	-	4	10	22	52						
Ill.	-	1	4	10	20	-	1	5	-	16	-	0	3	4	5						
Ind.	-	0	2	1	7	-	1	6	4	19	-	2	7	1	26						
Mich.	-	2	7	13	19	1	1	7	13	17	-	1	6	15	14						
Ohio	1	1	5	18	1	2	3	9	34	34	-	0	2	2	2						
Wis.	-	0	2	4	5	-	0	3	1	5	-	0	2	-	5						
W.N. CENTRAL	-	1	6	6	12	1	1	4	11	24	-	0	3	4	3						
Iowa	-	0	2	1	-	-	0	2	2	2	-	0	0	-	-						
Kans.	-	0	2	1	1	-	0	1	1	-	-	0	2	-	2						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	0	3	1	7	1	1	2	8	20	-	0	1	4	1						
Nebr.	-	0	3	2	4	-	0	1	-	2	-	0	1	-	-						
N. Dak.	-	0	1	1	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	3	-	-						
S. ATLANTIC	3	5	15	51	47	3	14	25	128	170	1	7	17	54	76						
Del.	-	0	2	1	1	-	0	2	2	3	U	0	0	U	U						
D.C.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
