
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 22, 2005 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,684	1,587	4	10	91	91	146	150													
NEW ENGLAND	137	142	-	1	10	8	3	1													
Maine	6	12	-	-	-	-	1	-													
N.H.	7	16	-	-	-	2	-	-													
Vt.	8	6	-	-	-	-	-	1													
Mass.	65	66	-	1	3	3	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	44	39	-	-	5	3	1	-													
MID. ATLANTIC	343	331	-	1	-	4	37	36													
Upstate N.Y.	101	106	-	1	-	4	8	5													
N.Y. City	59	74	-	-	-	-	10	15													
N.J.	72	63	-	-	-	-	9	3													
Pa.	111	88	-	-	-	-	10	13													
E.N. CENTRAL	226	299	1	-	4	8	12	43													
Ohio	95	83	-	-	-	2	6	15													
Ind.	55	41	-	-	4	4	-	1													
Ill.	35	106	-	-	-	-	3	20													
Mich.	18	18	1	-	-	2	2	4													
Wis.	23	51	-	-	-	-	1	3													
W.N. CENTRAL	94	89	-	2	3	3	8	11													
Minn.	38	40	-	1	3	3	2	1													
Iowa	1	1	-	1	-	-	-	-													
Mo.	32	34	-	-	-	-	5	7													
N. Dak.	2	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	9	5	-	-	-	-	-	2													
Kans.	12	6	-	-	-	-	-	1													
S. ATLANTIC	396	357	1	-	25	24	21	25													
Del.	-	-	-	-	-	-	-	-													
Md.	57	55	-	-	5	5	-	-													
D.C.	-	3	-	-	-	-	-	1													
Va.	39	35	-	-	-	-	-	5													
W. Va.	24	16	-	-	1	4	5	-													
N.C.	68	47	1	-	8	6	-	1													
S.C.	23	11	-	-	-	-	-	1													
Ga.	79	92	-	-	-	-	11	16													
Fla.	106	98	-	-	11	9	5	1													
E.S. CENTRAL	95	63	-	1	1	1	6	8													
Ky.	8	7	-	-	1	1	2	-													
Tenn.	69	41	-	-	-	-	-	6													
Ala.	18	13	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	91	63	1	1	8	8	7	1													
Ark.	5	2	-	-	1	1	-	-													
La.	30	13	1	-	2	-	7	1													
Okla.	54	47	-	-	5	7	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	190	164	-	4	13	25	38	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	6	1	-	-	-	1	1	-													
Colo.	37	41	-	-	-	-	9	5													
N. Mex.	17	37	-	1	4	8	2	6													
Ariz.	97	56	-	-	7	11	15	2													
Utah	16	12	-	2	-	2	7	2													
Nev.	14	12	-	1	2	3	3	1													
PACIFIC	112	79	1	-	27	10	14	7													
Wash.	3	1	-	-	-	-	2	1													
Oreg.	29	40	-	-	-	-	5	3													
Calif.	47	25	1	-	27	10	2	1													
Alaska	25	5	-	-	-	-	5	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


