
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 2, 1999 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	879	837	11,506	16,975	4,830	7,333	8	50	1	22	72	72									
NEW ENGLAND	67	57	188	228	73	158	-	6	-	4	10	3									
Maine	5	2	8	16	1	2	-	-	-	-	-	-									
N.H.	16	9	13	10	13	14	-	-	-	1	1	-									
Vt.	5	6	16	14	2	7	-	-	-	-	-	1									
Mass.	25	34	62	99	30	57	-	5	-	2	7	2									
R.I.	1	5	14	14	27	52	-	-	-	-	-	-									
Conn.	15	1	75	75	-	26	-	1	-	1	2	-									
MID. ATLANTIC	136	135	713	1,322	502	953	-	-	-	2	2	14									
Upstate N.Y.	67	44	208	271	146	182	-	-	-	2	2	2									
N.Y. City	29	37	199	460	154	336	-	-	-	-	-	-									
N.J.	39	47	57	271	40	168	-	-	-	-	-	8									
Pa.	1	7	249	320	162	267	-	-	-	-	-	4									
E.N. CENTRAL	136	144	2,099	2,695	479	1,097	-	1	-	1	2	15									
Ohio	47	43	473	253	70	59	-	-	-	-	-	1									
Ind.	20	36	87	119	35	81	-	1	-	-	1	3									
Ill.	58	50	452	617	1	192	-	-	-	-	-	-									
Mich.	11	8	1,061	1,542	372	355	-	-	-	1	1	10									
Wis.	-	7	26	164	1	410	-	-	-	-	-	1									
W.N. CENTRAL	76	75	617	1,149	239	310	-	-	-	-	-	-									
Minn.	36	58	59	101	41	35	-	-	-	-	-	-									
Iowa	8	2	117	377	30	47	-	-	-	-	-	-									
Mo.	23	8	341	538	126	186	-	-	-	-	-	-									
N. Dak.	1	-	2	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	8	21	1	2	-	-	-	-	-	-									
Nebr.	3	1	50	24	14	16	-	-	-	-	-	-									
Kans.	4	6	40	85	27	20	U	-	U	-	-	-									
S. ATLANTIC	201	153	1,525	1,455	933	779	8	9	1	6	15	8									
Del.	-	-	2	3	1	2	-	-	-	-	-	1									
Md.	52	49	283	317	135	109	-	-	-	-	-	1									
D.C.	4	-	54	48	21	10	-	-	-	-	-	-									
Va.	15	15	122	170	70	81	8	9	1	3	12	2									
W. Va.	6	5	30	4	22	5	-	-	-	-	-	-									
N.C.	28	23	125	90	185	173	-	-	-	1	1	-									
S.C.	5	3	39	31	61	30	-	-	-	-	-	-									
Ga.	54	33	367	438	132	127	-	-	-	-	-	2									
Fla.	37	25	503	354	306	242	-	-	-	2	2	2									
E.S. CENTRAL	52	44	320	312	340	380	-	2	-	-	2	2									
Ky.	6	7	54	25	33	37	-	2	-	-	2	-									
Tenn.	28	25	142	181	170	208	-	-	-	-	-	1									
Ala.	15	10	45	56	68	62	-	-	-	-	-	1									
Miss.	3	2	79	50	69	73	-	-	-	-	-	-									
W.S. CENTRAL	43	43	2,249	3,034	682	1,642	-	5	-	4	9	-									
Ark.	2	-	43	71	36	85	-	-	-	-	-	-									
La.	7	19	73	61	77	97	-	-	-	-	-	-									
Okla.	30	22	372	455	102	71	-	-	-	-	-	-									
Tex.	4	2	1,761	2,447	467	1,389	-	5	-	4	9	-									
MOUNTAIN	80	93	1,032	2,544	464	645	-	3	-	-	3	-									
Mont.	2	-	17	84	17	5	-	-	-	-	-	-									
Idaho	1	-	35	207	23	27	-	-	-	-	-	-									
Wyo.	1	1	6	33	12	6	-	-	-	-	-	-									
Colo.	10	19	181	235	75	83	-	-	-	-	-	-									
N. Mex.	18	5	40	115	148	256	-	-	-	-	-	-									
Ariz.	38	46	604	1,527	122	141	-	1	-	-	1	-									
Utah	7	3	38	160	27	59	-	2	-	-	2	-									
Nev.	3	19	111	183	40	68	-	-	-	-	-	-									
PACIFIC	88	93	2,763	4,236	1,118	1,369	-	24	-	5	29	30									
Wash.	3	6	263	836	55	85	-	-	-	-	-	1									
Oreg.	35	37	203	329	69	145	-	9	-	-	9	-									
Calif.	38	40	2,278	3,010	970	1,115	-	15	-	4	19	7									
Alaska	5	3	7	16	12	11	-	-	-	-	-	22									
Hawaii	7	7	12	45	12	13	-	-	-	1	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	112	51	102	190	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


