
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending August 13, 2011 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2011
Rabies, animal cummulative for 2010
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2011
Salmonellosis cummulative for 2010
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2011
Shiga toxin-producing E. coli(STEC)† cummulative for 2010

tab delimited data:
test
UNITED STATES	29	51	172	1,379	2,733	731	923	1,812	23,648	28,259	82	97	264	2,538	2,965						
NEW ENGLAND	5	3	12	78	189	1	30	322	1,181	1,661	-	2	33	122	155						
Conn.	-	0	8	-	88	-	0	301	301	491	-	0	33	33	60						
Maine	1	1	3	36	39	1	2	8	79	73	-	0	3	16	11						
Mass.	-	0	0	-	-	-	18	52	554	807	-	1	10	44	57						
N.H.	1	0	2	12	11	-	3	7	100	124	-	0	3	17	17						
R.I.	3	0	3	14	17	-	1	62	111	126	-	0	2	4	2						
Vt.	-	1	3	16	34	-	1	5	36	40	-	0	3	8	8						
MID. ATLANTIC	20	13	31	385	705	75	93	207	2,703	3,443	15	9	21	301	327						
N.J.	-	0	0	-	-	-	13	43	319	724	-	1	6	36	74						
N.Y. (Upstate)	20	7	18	209	333	37	25	65	747	792	6	4	12	113	107						
N.Y. City	-	0	4	7	133	3	20	53	625	768	-	2	6	51	41						
Pa.	-	7	17	169	239	35	32	73	1,012	1,159	9	3	9	101	105						
E.N. CENTRAL	2	2	27	81	150	53	83	184	2,403	3,719	10	11	36	326	520						
Ill.	1	1	11	24	78	-	27	57	753	1,272	-	2	7	46	106						
Ind.	-	0	3	6	-	-	9	23	252	492	-	2	7	57	85						
Mich.	-	1	5	27	48	5	13	49	421	568	4	2	7	76	96						
Ohio	1	0	12	24	24	48	21	45	712	844	6	2	10	96	91						
Wis.	N	0	0	N	N	-	11	50	265	543	-	2	16	51	142						
W.N. CENTRAL	1	2	40	49	174	49	47	121	1,273	1,748	10	13	36	403	555						
Iowa	-	0	3	-	16	7	9	22	264	329	-	2	11	101	113						
Kans.	1	1	4	21	44	6	7	18	215	254	-	1	8	57	45						
Minn.	-	0	34	-	19	-	0	30	-	466	-	0	14	-	181						
Mo.	-	0	4	-	50	29	16	42	537	451	6	4	14	144	152						
Nebr.	-	0	3	20	35	7	4	13	135	144	4	2	7	71	45						
N. Dak.	-	0	6	8	10	-	0	15	22	16	-	0	10	6	3						
S. Dak.	-	0	0	-	-	-	3	17	100	88	-	1	4	24	16						
S. ATLANTIC	-	18	69	635	733	294	273	664	7,058	7,168	12	14	29	381	397						
Del.	-	0	0	-	-	4	3	11	90	88	-	0	2	8	4						
D.C.	-	0	0	-	-	1	1	7	35	65	-	0	1	3	8						
Fla.	-	0	60	60	121	165	107	226	2,836	2,966	5	3	15	77	121						
