
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2008 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2008
Chlamydia† cummulative for 2007
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2008
Coccidioidomycosis cummulative for 2007
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2008
Cryptosporidiosis cummulative for 2007

tab delimited data:
test
UNITED STATES	9,928	20,958	25,179	65,726	91,381	60	139	277	544	746	37	83	979	195	302						
NEW ENGLAND	604	697	1,435	2,805	2,604	-	0	1	-	-	3	4	16	8	56						
Conn.	59	223	1,007	252	256	N	0	0	N	N	-	0	1	1	41						
Maine	-	48	74	137	248	-	0	0	-	-	-	1	5	-	4						
Mass.	440	310	661	1,923	1,484	-	0	0	-	-	-	2	11	-	4						
N.H.	44	38	73	224	188	-	0	1	-	-	-	1	5	3	5						
R.I.	61	62	98	263	320	-	0	0	-	-	-	0	3	-	-						
Vt.	-	17	32	6	108	N	0	0	N	N	3	1	3	4	2						
MID. ATLANTIC	1,922	2,893	4,200	8,848	14,044	-	0	0	-	-	11	10	118	32	34						
N.J.	225	405	524	972	2,169	N	0	0	N	N	-	0	8	-	1						
N.Y. (Upstate)	520	536	1,917	1,414	1,333	N	0	0	N	N	2	3	20	6	3						
N.Y. City	845	975	2,210	3,349	5,191	N	0	0	N	N	-	1	10	4	14						
Pa.	332	809	1,764	3,113	5,351	N	0	0	N	N	9	5	103	22	16						
E.N. CENTRAL	762	3,227	6,197	7,082	16,004	-	1	3	1	4	2	20	134	45	59						
Ill.	-	1,008	2,021	794	4,864	-	0	0	-	-	-	2	13	1	12						
Ind.	368	395	632	1,720	2,319	-	0	0	-	-	-	2	32	6	-						
