
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending October 25, 2003 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	33,883	36,014	17,953	16,981	4,441	3,902	1,730	2,049	354	286											
NEW ENGLAND	1,772	1,908	262	288	341	283	40	94	8	3											
Maine	113	126	6	8	23	20	-	-	-	-											
N.H.	100	119	5	11	21	33	-	-	N	N											
Vt.	62	68	7	1	19	9	6	5	4	2											
Mass.	1,043	1,082	170	180	165	96	N	N	N	N											
R.I.	112	135	14	16	11	15	10	12	4	1											
Conn.	342	378	60	72	102	110	24	77	U	U											
MID. ATLANTIC	3,775	4,846	1,866	1,477	788	614	104	92	82	65											
Upstate N.Y.	967	1,263	389	243	315	245	56	77	64	54											
N.Y. City	1,066	1,201	324	415	106	138	U	U	U	U											
N.J.	426	919	228	522	131	133	N	N	N	N											
Pa.	1,316	1,463	925	297	236	98	48	15	18	11											
E.N. CENTRAL	4,509	4,796	1,448	1,829	923	831	366	186	141	112											
Ohio	1,182	1,168	265	537	264	182	236	49	79	13											
Ind.	486	473	132	93	95	46	130	135	39	51											
Ill.	1,442	1,594	729	879	182	238	-	2	-	-											
Mich.	668	774	217	154	315	261	N	N	N	N											
Wis.	731	787	105	166	67	104	N	N	23	48											
W.N. CENTRAL	2,175	2,212	696	899	290	212	138	413	48	50											
Minn.	473	476	89	185	143	108	-	292	41	46											
Iowa	325	426	65	111	N	N	N	N	N	N											
Mo.	871	722	333	157	65	41	11	5	2	1											
N. Dak.	31	24	3	16	13	-	3	1	5	3											
S. Dak.	100	105	16	151	20	12	1	1	-	-											
Nebr.	131	150	100	199	23	19	-	25	N	N											
Kans.	244	309	90	80	26	32	123	89	N	N											
S. ATLANTIC	8,924	9,213	6,163	5,527	774	645	885	937	18	30											
Del.	85	79	154	227	6	2	1	3	N	N											
Md.	723	793	531	957	230	102	-	-	-	21											
D.C.	38	66	64	51	13	7	2	-	7	3											
Va.	915	1,011	384	809	91	68	N	N	N	N											
W. Va.	113	124	-	9	31	19	59	37	11	6											
N.C.	1,126	1,252	837	368	93	111	N	N	U	U											
S.C.	646	683	412	102	35	35	124	165	N	N											
Ga.	1,722	1,683	1,435	1,350	104	118	209	234	N	N											
Fla.	3,556	3,522	2,346	1,654	171	183	490	498	N	N											
E.S. CENTRAL	2,216	2,743	732	1,218	175	100	119	117	-	-											
Ky.	343	317	114	144	40	19	16	15	N	N											
Tenn.	638	677	268	96	135	81	103	102	N	N											
Ala.	406	713	198	661	-	-	-	-	N	N											
Miss.	829	1,036	152	317	-	-	-	-	-	-											
W.S. CENTRAL	4,368	3,978	3,695	2,615	256	255	53	165	52	22											
Ark.	682	915	91	164	5	6	8	6	-	-											
La.	420	674	226	409	1	1	45	159	8	7											
Okla.	413	432	716	497	75	39	N	N	29	3											
Tex.	2,853	1,957	2,662	1,545	175	209	N	N	15	12											
MOUNTAIN	1,860	1,836	1,002	741	379	467	22	45	5	4											
Mont.	93	77	2	3	2	-	-	-	-	-											
Idaho	155	118	28	12	18	9	N	N	N	N											
Wyo.	71	60	6	8	2	7	5	13	-	-											
Colo.	416	513	252	166	115	104	-	-	-	-											
N. Mex.	217	259	197	183	95	94	17	32	-	-											
Ariz.	560	469	416	300	136	223	-	-	N	N											
Utah	192	154	43	24	9	30	-	-	5	4											
Nev.	156	186	58	45	2	-	-	-	-	-											
PACIFIC	4,284	4,482	2,089	2,387	515	495	3	-	-	-											
Wash.	466	441	135	140	53	56	-	-	N	N											
Oreg.	354	303	199	89	N	N	N	N	N	N											
Calif.	3,223	3,438	1,709	2,099	366	360	N	N	N	N											
Alaska	61	71	8	5	-	-	-	-	N	N											
Hawaii	180	229	38	54	96	79	3	-	-	-											
Guam	-	38	-	30	-	-	-	4	-	-											
P.R.	183	447	3	29	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


