
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2007 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	27	230	1,000	58	145	3	25	39	11	34	5	20	45	17	46						
NEW ENGLAND	2	18	260	2	7	-	0	6	-	2	-	1	3	-	2						
Conn.	1	8	227	1	-	-	0	3	-	-	-	0	2	-	-						
Maine	-	1	34	-	3	-	0	1	-	-	-	0	2	-	2						
Mass.	-	0	3	-	4	-	0	3	-	2	-	0	2	-	-						
N.H.	-	3	95	-	-	-	0	3	-	-	-	0	2	-	-						
R.I.	-	0	93	-	-	-	0	1	-	-	-	0	1	-	-						
Vt.	1	1	15	1	-	-	0	1	-	-	-	0	1	-	-						
MID. ATLANTIC	5	139	556	21	93	-	5	13	1	8	-	3	11	-	8						
N.J.	1	27	185	1	35	-	0	3	-	4	-	0	2	-	-						
N.Y. (Upstate)	4	59	250	20	4	-	1	7	1	-	-	0	4	-	-						
N.Y. City	-	0	18	-	-	-	3	9	-	3	-	1	4	-	5						
Pa.	-	36	231	-	54	-	1	4	-	1	-	0	4	-	3						
E.N. CENTRAL	-	11	153	1	10	-	2	7	2	6	-	2	12	2	10						
Ill.	-	0	0	-	-	-	1	5	1	4	-	0	3	-	5						
Ind.	-	0	3	-	-	-	0	3	-	-	-	0	5	-	-						
Mich.	-	1	5	1	1	-	0	2	-	-	-	0	3	-	1						
Ohio	-	1	5	-	2	-	0	3	1	-	-	1	4	2	2						
Wis.	-	10	149	-	7	-	0	2	-	2	-	0	2	-	2						
W.N. CENTRAL	-	5	169	1	-	-	0	14	-	2	1	1	4	3	1						
Iowa	-	1	8	-	-	-	0	1	-	-	-	0	2	-	-						
Kans.	-	0	2	1	-	-	0	2	-	-	-	0	1	-	-						
Minn.	-	2	167	-	-	-	0	12	-	-	-	0	3	-	-						
Mo.	-	0	2	-	-	-	0	1	-	1	1	0	2	3	-						
Nebr.	-	0	2	-	-	-	0	1	-	-	-	0	2	-	1						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	0	-	1	-	0	1	-	-						
S. ATLANTIC	20	31	121	31	34	3	6	14	6	8	2	4	14	5	2						
Del.	2	7	28	10	7	-	0	1	-	-	-	0	1	-	1						
D.C.	-	0	7	-	1	-	0	2	-	-	-	0	1	-	-						
Fla.	2	1	5	2	-	-	1	4	2	2	2	2	7	3	1						
Ga.	-	0	1	-	1	1	2	6	2	5	-	0	3	2	-						
Md.	16	15	78	19	23	2	1	5	2	1	-	0	2	-	-						
N.C.	-	0	4	-	2	-	0	4	-	-	-	0	11	-	-						
S.C.	-	0	2	-	-	-	0	2	-	-	-	0	2	-	-						
Va.	-	4	29	-	-	-	1	4	-	-	-	0	4	-	-						
W. Va.	-	0	6	-	-	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	0	3	-	-	-	0	3	-	1	-	1	3	1	-						
Ala.	-	0	3	-	-	-	0	2	-	1	-	0	2	-	-						
Ky.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Miss.	-	0	1	-	-	-	0	1	-	-	-	0	1	1	-						
Tenn.	-	0	2	-	-	-	0	2	-	-	-	0	2	-	-						
W.S. CENTRAL	-	0	3	-	-	-	1	7	-	1	1	1	4	1	1						
Ark.	-	0	0	-	-	-	0	2	-	-	-	0	1	-	1						
La.	-	0	0	-	-	-	0	1	-	-	-	0	2	-	-						
Okla.	-	0	0	-	-	-	0	2	-	-	-	0	3	-	-						
Tex.	-	0	3	-	-	-	1	6	-	1	1	0	3	1	-						
MOUNTAIN	-	0	3	-	-	-	1	6	-	2	-	1	5	-	6						
Ariz.	-	0	2	-	-	-	0	3	-	1	-	0	3	-	1						
Colo.	-	0	1	-	-	-	0	2	-	1	-	0	2	-	3						
Idaho	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Mont.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
Nev.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
N. Mex.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Utah	-	0	1	-	-	-	0	2	-	-	-	0	1	-	2						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	-						
PACIFIC	-	3	10	2	1	-	4	13	2	4	1	5	16	5	16						
Alaska	-	0	1	-	-	-	0	4	-	1	-	0	1	-	-						
Calif.	-	2	8	2	1	-	3	8	-	3	-	3	10	4	5						
Hawaii	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
Oreg.	-	0	2	-	-	-	0	2	2	-	-	0	4	-	11						
Wash.	-	0	1	-	-	-	0	4	-	-	1	0	5	1	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for meningococcal disease, invasive caused by serogroups A, C, Y, & W-135; serogroup B; other serogroup; and 
unknown serogroup are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


