
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 4, 2012 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	147	247	464	1,270	1,822	12	20	41	84	103	60	265	317	600	1,148						
NEW ENGLAND	2	14	31	50	118	-	1	4	-	2	2	7	23	13	33						
Conn.	1	6	20	27	58	-	0	3	-	-	-	0	12	-	2						
Maine	-	2	8	12	20	-	0	1	-	-	-	0	2	-	2						
Mass.	-	0	3	-	4	-	0	2	-	2	2	5	10	12	21						
N.H.	1	1	8	3	13	-	0	1	-	-	-	0	3	-	3						
R.I.	-	1	6	-	19	-	0	1	-	-	-	0	7	1	5						
Vt.	-	1	6	8	4	-	0	2	-	-	-	0	2	-	-						
MID. ATLANTIC	22	16	52	168	119	1	1	10	7	4	5	30	53	71	165						
N.J.	-	0	16	42	-	-	0	2	4	-	-	4	13	-	18						
N.Y. (Upstate)	19	1	27	76	11	1	1	10	3	4	2	4	9	11	13						
N.Y. City	3	12	24	50	108	-	0	9	-	-	-	14	24	27	101						
Pa.	N	0	0	N	N	N	0	0	N	N	3	7	17	33	33						
E.N. CENTRAL	30	64	122	293	372	-	3	10	14	22	6	30	48	35	154						
Ill.	N	0	0	N	N	-	0	0	-	-	6	11	24	24	63						
Ind.	1	15	36	31	81	-	1	4	1	2	-	3	8	6	19						
Mich.	5	13	26	63	74	-	0	2	3	7	-	4	12	1	26						
Ohio	22	28	43	158	167	-	1	7	7	10	-	8	17	4	40						
Wis.	2	8	23	41	50	-	0	2	3	3	-	1	5	-	6						
W.N. CENTRAL	4	2	28	21	17	-	0	2	1	1	-	6	13	2	35						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	2	-						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	1						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	8	-	16						
