
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending August 4, 2012 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	62	275	803	8,146	10,952	5	21	58	551	750	87	268	323	7,526	8,121						
NEW ENGLAND	-	12	27	389	542	-	1	4	27	31	2	8	23	257	227						
Conn.	-	6	13	197	237	-	0	2	8	6	-	0	13	21	30						
Maine	-	2	7	69	86	-	0	1	1	3	-	0	6	13	10						
Mass.	-	1	4	24	21	-	0	3	13	10	2	5	13	173	143						
N.H.	-	1	6	47	74	-	0	1	4	5	-	0	2	15	13						
R.I.	-	0	5	20	72	-	0	1	1	2	-	1	6	32	26						
Vt.	-	1	4	32	52	-	0	1	-	5	-	0	2	3	5						
MID. ATLANTIC	12	43	157	1,281	1,681	1	2	11	60	84	7	32	47	837	1,009						
N.J.	-	9	26	248	459	-	0	2	11	31	-	4	8	90	145						
N.Y. (Upstate)	9	17	108	600	741	1	1	10	34	31	1	4	12	118	101						
N.Y. City	3	13	24	433	481	-	0	3	15	22	1	15	22	356	548						
Pa.	N	0	0	N	N	N	0	0	N	N	5	9	17	273	215						
E.N. CENTRAL	7	61	101	1,741	2,144	-	3	10	111	122	2	29	62	745	1,124						
Ill.	N	0	0	N	N	-	0	0	-	-	1	11	54	292	508						
Ind.	-	13	33	358	519	-	1	2	16	24	-	3	10	111	110						
Mich.	1	13	25	334	470	-	0	3	23	26	-	4	13	110	189						
Ohio	6	23	46	772	833	-	1	6	53	58	1	7	15	197	274						
Wis.	-	9	27	277	322	-	0	2	19	14	-	1	5	35	43						
W.N. CENTRAL	2	12	58	306	416	1	1	3	22	34	-	3	11	64	199						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	26	12						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	7	13						
Minn.	-	8	26	193	322	-	0	3	13	28	-	1	6	26	91						
Mo.	N	0	0	N	N	-	0	0	-	-	-	0	8	-	77						
Nebr.	2	2	8	98	76	1	0	2	8	6	-	0	2	3	6						
N. Dak.	-	0	38	15	18	-	0	2	1	-	-	0	1	2	-						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	24	60	193	1,881	2,693	2	4	21	132	194	29	66	98	1,893	1,996						
Del.	1	1	5	23	35	-	0	0	-	-	-	0	6	24	13						
D.C.	3	1	5	38	31	-	0	1	1	5	1	3	9	108	116						
Fla.	13	20	48	632	925	1	1	8	49	85	2	25	36	762	726						
Ga.	-	17	48	460	772	-	1	6	36	44	2	11	59	331	353						
Md.	3	8	22	218	410	1	1	5	20	29	5	8	15	210	267						
N.C.	N	0	0	N	N	N	0	0	N	N	4	6	21	197	263						
S.C.	2	7	16	244	321	-	0	3	13	20	-	4	11	124	128						
Va.	N	0	0	N	N	-	0	0	-	-	15	3	13	134	128						
W. Va.	2	5	83	266	199	-	0	8	13	11	-	0	2	3	2						
E.S. CENTRAL	5	19	50	583	774	-	2	5	34	54	2	14	32	404	455						
Ala.	-	0	0	-	-	-	0	0	-	-	-	3	8	75	136						
Ky.	-	4	9	122	151	-	0	1	4	15	2	3	9	77	68						
Miss.	-	0	0	-	-	-	0	0	-	-	-	3	21	105	87						
Tenn.	5	15	47	461	623	-	1	4	30	39	-	5	14	147	164						
W.S. CENTRAL	10	30	188	972	1,292	1	3	12	83	119	27	42	53	1,282	1,057						
Ark.	3	4	14	109	148	-	0	3	10	11	1	3	15	107	118						
La.	1	3	18	118	148	1	0	2	8	13	2	7	16	168	245						
Okla.	N	0	0	N	N	-	0	0	-	-	2	1	7	35	40						
Tex.	6	22	156	745	996	-	2	11	65	95	22	27	44	972	654						
MOUNTAIN	2	27	48	918	1,306	-	2	6	69	105	1	10	21	274	379						
Ariz.	-	11	27	458	570	-	1	3	33	42	-	4	11	97	160						
Colo.	-	7	17	225	351	-	0	3	14	25	-	2	6	56	73						
Idaho	N	0	0	N	N	-	0	0	-	-	1	0	3	16	3						
Mont.	-	0	0	-	-	N	0	0	N	N	-	0	1	-	5						
Nev.	-	0	0	-	-	-	0	0	-	-	-	2	7	58	83						
N. Mex.	2	5	14	172	230	-	0	4	12	18	-	1	5	39	47						
Utah	-	2	9	45	136	-	0	2	9	20	-	0	2	8	8						
Wyo.	-	0	3	18	19	-	0	1	1	-	-	0	0	-	-						
PACIFIC	-	2	8	75	104	-	0	2	13	7	17	59	83	1,770	1,675						
