
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 30, 2012 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	12	11	95	249	258	18	26	169	222	1,105	3	2	9	43	65						
NEW ENGLAND	-	0	2	9	3	4	5	36	79	206	-	0	1	-	1						
Conn.	-	0	0	-	-	-	0	13	-	70	-	0	0	-	-						
Maine	-	0	1	2	1	3	1	3	25	7	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	18	-	95	-	0	0	-	-						
N.H.	-	0	0	-	1	-	0	5	14	9	-	0	0	-	1						
R.I.	-	0	1	7	1	-	0	15	33	24	-	0	1	-	-						
Vt.	-	0	0	-	-	1	0	2	7	1	-	0	0	-	-						
MID. ATLANTIC	-	1	13	15	42	12	9	44	106	98	2	0	4	5	7						
N.J.	-	0	9	-	30	-	1	8	-	42	-	0	2	-	3						
N.Y. (Upstate)	-	0	4	8	12	12	6	41	96	43	2	0	2	5	2						
N.Y. City	-	0	2	7	-	-	0	4	10	13	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	2	-	-	-	0	2	-	2						
E.N. CENTRAL	-	0	5	11	20	-	1	60	4	357	1	1	5	24	28						
Ill.	-	0	4	8	13	-	0	2	4	3	-	0	0	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	3	22	9						
Mich.	-	0	2	-	1	-	0	0	-	-	-	0	2	2	1						
Ohio	-	0	1	3	2	-	0	1	-	2	-	0	1	-	1						
Wis.	-	0	1	-	4	-	1	59	-	352	-	0	4	-	17						
W.N. CENTRAL	-	2	18	59	71	-	2	66	4	414	-	0	3	5	19						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	-	5	-	0	1	-	2	-	0	0	-	1						
Minn.	-	0	1	-	2	-	0	65	-	398	-	0	2	-	7						
Mo.	-	2	17	59	63	-	0	2	4	12	-	0	2	5	11						
Nebr.	-	0	1	-	-	-	0	0	-	1	-	0	1	-	-						
N. Dak.	N	0	0	N	N	N	0	3	N	N	N	0	0	N	N						
S. Dak.	-	0	0	-	1	-	0	1	-	1	-	0	0	-	-						
S. ATLANTIC	4	4	35	82	86	1	1	6	15	23	-	0	2	5	3						
Del.	-	0	2	7	10	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	2	9	10	1	0	2	2	4	-	0	0	-	-						
Ga.	-	0	2	7	12	-	0	1	2	8	-	0	1	1	2						
Md.	1	0	4	9	12	-	0	2	-	2	-	0	1	1	-						
N.C.	-	0	18	12	14	-	0	6	3	6	-	0	1	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
Va.	3	1	13	38	28	-	0	3	7	2	-	0	2	3	1						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	4	1	7	30	32	1	0	2	9	5	-	0	3	3	2						
Ala.	-	0	2	4	-	1	0	1	4	2	N	0	1	N	N						
Ky.	-	0	2	3	9	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	1	-	1	-	0	1	-	-	-	0	1	1	-						
Tenn.	4	0	5	23	22	-	0	1	5	3	-	0	3	2	2						
W.S. CENTRAL	4	1	52	43	4	-	0	11	5	-	-	0	1	-	-						
