
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 29, 2012 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	8	10	66	757	695	1	22	64	581	2,126	-	2	11	105	122						
NEW ENGLAND	-	0	2	20	3	-	5	19	209	380	-	0	1	1	1						
Conn.	-	0	0	-	-	-	1	9	63	131	-	0	0	-	-						
Maine	-	0	2	4	1	-	1	4	41	14	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	157	-	0	0	-	-						
N.H.	-	0	1	2	1	-	1	5	41	17	-	0	0	-	1						
R.I.	-	0	2	14	1	-	0	11	55	58	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	9	3	-	0	0	-	-						
MID. ATLANTIC	-	1	5	33	90	1	7	44	267	302	-	0	2	6	18						
N.J.	-	0	2	-	50	-	0	8	-	81	-	0	1	-	6						
N.Y. (Upstate)	-	0	3	17	36	1	5	41	238	185	-	0	2	6	7						
N.Y. City	-	0	3	16	4	-	0	4	29	30	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	1	-	6	-	0	1	-	5						
E.N. CENTRAL	-	0	4	23	38	-	0	13	9	631	-	1	7	68	50						
Ill.	-	0	4	20	22	-	0	1	7	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	61	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	7	-	0	1	1	1						
Wis.	-	0	1	-	6	-	0	13	1	613	-	0	2	-	26						
W.N. CENTRAL	-	2	32	253	165	-	1	12	32	735	-	0	4	13	24						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	29	15	-	0	1	7	5	-	0	0	-	1						
Minn.	-	0	0	-	7	-	0	12	-	701	-	0	1	-	10						
Mo.	-	2	32	224	141	-	0	4	23	25	-	0	4	12	13						
Nebr.	-	0	0	-	1	-	0	1	2	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	7	4	30	255	224	-	1	7	41	50	-	0	2	6	9						
Del.	-	0	2	15	15	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	17	13	-	0	1	3	7	-	0	0	-	-						
Ga.	-	0	3	9	22	-	0	1	2	10	-	0	0	-	3						
Md.	-	0	4	29	30	-	0	2	3	5	-	0	0	-	-						
N.C.	7	0	19	79	55	-	0	6	19	16	-	0	1	-	-						
S.C.	-	0	1	1	1	-	0	0	-	-	-	0	1	-	-						
Va.	-	1	16	105	87	-	0	3	13	11	-	0	2	6	5						
W. Va.	-	0	0	-	1	-	0	0	-	-	-	0	1	-	1						
E.S. CENTRAL	1	1	9	81	69	-	0	2	15	15	-	0	2	8	12						
Ala.	-	0	1	9	4	-	0	1	6	4	-	0	1	4	-						
Ky.	-	0	4	21	13	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	0	-	3	-	0	0	-	1	-	0	1	1	-						
Tenn.	1	0	6	51	49	-	0	1	9	10	-	0	2	3	12						
W.S. CENTRAL	-	1	52	92	106	-	0	11	8	7	-	0	1	1	1						
Ark.	-	1	11	73	46	-	0	3	5	5	-	0	0	-	-						
La.	-	0	1	1	-	-	0	0	-	1	-	0	1	1	1						
Okla.	-	0	51	15	57	-	0	7	2	1	-	0	0	-	-						
Tex.	-	0	1	3	3	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	1	-	0	1	1	5						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	4						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
Wyo.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
PACIFIC	-	0	1	-	-	-	0	1	-	5	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	-	5	-	0	0	-	-						
Wash.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


