
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 4, 1997 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	12	64	1	1	9	68	68	19	-	-	-										
NEW ENGLAND	-	8	-	-	-	2	2	-	-	-	-										
Maine	-	3	U	-	-	U	-	-	U	-	-										
N.H.	-	-	-	-	-	2	2	-	-	-	-										
Vt.	-	1	U	-	-	U	-	-	U	-	-										
Mass.	-	-	-	-	-	-	-	-	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	-	4	U	-	-	U	-	-	U	-	-										
MID. ATLANTIC	-	4	-	-	2	-	-	1	-	-	-										
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-	-										
N.Y. City	-	2	U	-	-	U	-	-	U	-	-										
N.J.	-	1	U	-	2	U	-	1	U	-	-										
Pa.	-	1	U	-	-	U	-	-	U	-	-										
E.N. CENTRAL	3	10	1	1	5	-	-	2	-	-	-										
Ohio	3	2	-	-	4	-	-	1	-	-	-										
Ind.	-	1	-	-	-	-	-	-	-	-	-										
Ill.	-	5	-	-	-	-	-	-	-	-	-										
Mich.	-	1	1	1	1	-	-	-	-	-	-										
Wis.	-	1	U	-	-	U	-	1	U	-	-										
W.N. CENTRAL	1	7	-	-	-	-	-	1	-	-	-										
Minn.	-	-	U	-	-	U	-	-	U	-	-										
Iowa	1	1	-	-	-	-	-	-	-	-	-										
Mo.	-	5	-	-	-	-	-	1	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	1	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	5	5	-	-	1	-	-	-	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	-	1	U	-	-	U	-	-	U	-	-										
D.C.	1	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	-	U	-	-	U	-	-	U	-	-										
N.C.	-	-	-	-	-	-	-	-	-	-	-										
S.C.	4	-	-	-	1	-	-	-	-	-	-										
Ga.	-	4	-	-	-	-	-	-	-	-	-										
Fla.	-	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	-	5	-	-	-	-	-	3	-	-	-										
Ky.	-	2	-	-	-	-	-	3	-	-	-										
Tenn.	-	2	-	-	-	-	-	-	-	-	-										
Ala.	-	1	-	-	-	-	-	-	-	-	-										
Miss.	-	-	U	-	-	U	-	-	N	N	N										
W.S. CENTRAL	-	2	-	-	-	-	-	-	-	-	-										
Ark.	-	2	-	-	-	-	-	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	-	-	-	-	-	-	-										
MOUNTAIN	-	4	-	-	1	65	65	7	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	-	-	-	-	-	62	62	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	2	-	-	-	-	-	-	-	-	-										
N. Mex.	-	2	N	N	N	-	-	1	-	-	-										
Ariz.	-	-	-	-	-	3	3	-	-	-	-										
Utah	-	-	-	-	-	-	-	-	-	-	-										
Nev.	-	-	U	-	1	U	-	6	U	-	-										
PACIFIC	3	19	-	-	-	1	1	5	-	-	-										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	3	4	-	-	-	1	1	5	-	-	-										
Calif.	-	15	-	-	-	-	-	-	-	-	-										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	-	-	-	-	-	-	-	-	-										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


