
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 24, 2003 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	623	796	5	13	94	142	15	9	2,144	4,033											
NEW ENGLAND	49	55	-	-	4	7	3	1	84	156											
Maine	2	1	-	-	-	-	1	-	2	6											
N.H.	6	4	-	-	-	-	-	-	5	9											
Vt.	6	3	-	-	-	-	-	-	4	-											
Mass.	22	25	-	-	4	3	1	1	46	72											
R.I.	3	8	-	-	-	-	1	-	10	19											
Conn.	10	14	-	-	-	4	-	-	17	50											
MID. ATLANTIC	101	150	-	1	13	24	4	-	311	506											
Upstate N.Y.	44	57	-	1	7	8	-	-	42	78											
N.Y. City	18	34	-	-	4	7	-	-	134	181											
N.J.	16	36	-	-	2	5	-	-	36	77											
Pa.	23	23	-	-	-	4	4	-	99	170											
E.N. CENTRAL	83	166	1	2	15	29	-	-	227	483											
Ohio	34	45	-	-	7	5	-	-	40	128											
Ind.	21	20	-	1	2	5	-	-	18	22											
Ill.	20	65	-	-	5	12	-	-	71	157											
Mich.	8	7	1	1	1	-	-	-	77	104											
Wis.	-	29	-	-	-	7	-	-	21	72											
W.N. CENTRAL	46	23	-	-	6	2	5	3	70	144											
Minn.	21	15	-	-	6	2	1	1	20	23											
Iowa	-	1	-	-	-	-	-	-	15	28											
Mo.	15	5	-	-	-	-	4	2	18	35											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	1	1	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	4	6											
Kans.	9	1	-	-	-	-	-	-	13	48											
S. ATLANTIC	142	172	-	2	13	23	-	1	536	1,137											
Del.	-	-	-	-	-	-	-	-	4	7											
Md.	34	42	-	-	4	1	-	-	59	128											
D.C.	-	-	-	-	-	-	-	-	14	38											
Va.	15	12	-	-	3	2	-	-	35	35											
W. Va.	3	2	-	-	-	-	-	-	8	10											
N.C.	10	18	-	-	-	3	-	-	26	117											
S.C.	3	4	-	-	-	1	-	-	19	33											
Ga.	28	41	-	-	3	8	-	-	197	237											
Fla.	49	53	-	2	3	8	-	1	174	532											
E.S. CENTRAL	45	28	1	1	6	8	-	-	61	127											
Ky.	2	3	-	-	-	-	-	-	11	26											
Tenn.	25	14	-	-	4	5	-	-	32	50											
Ala.	16	5	1	1	1	2	-	-	10	22											
Miss.	2	6	-	-	1	1	-	-	8	29											
W.S. CENTRAL	31	29	-	2	5	6	-	-	216	380											
Ark.	5	1	-	-	1	-	-	-	2	19											
La.	6	3	-	-	1	1	-	-	20	35											
Okla.	20	23	-	-	3	5	-	-	7	15											
Tex.	-	2	-	2	-	-	-	-	187	311											
MOUNTAIN	92	96	3	3	25	22	2	2	156	243											
Mont.	-	-	-	-	-	-	-	-	2	7											
Idaho	2	1	-	-	1	-	-	-	-	19											
Wyo.	-	1	-	-	-	-	-	-	1	2											
Colo.	16	17	-	-	4	2	-	-	23	36											
N. Mex.	13	15	-	-	4	4	1	-	7	7											
Ariz.	50	45	3	1	11	12	-	1	91	128											
Utah	7	11	-	1	4	3	-	-	15	17											
Nev.	4	6	-	1	1	1	1	1	17	27											
PACIFIC	34	77	-	2	7	21	1	2	483	857											
Wash.	3	2	-	1	2	1	1	-	25	65											
Oreg.	25	28	-	-	3	3	-	-	28	34											
Calif.	2	28	-	1	2	14	-	2	424	737											
Alaska	-	1	-	-	-	1	-	-	5	7											
Hawaii	4	18	-	-	-	2	-	-	1	14											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	9	88											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


