
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 12, 1997 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1997*
AIDS § cummulative for 1996
Chlamydia† cummulative for 1997
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1997
Escherichia coli O157:H7 PHLIS cummulative for 1997
Gonorrhea cummulative for 1997
Gonorrhea cummulative for 1996
Hepatitis C/NA,NB cummulative for 1997
Hepatitis C/NA,NB cummulative for 1996

tab delimited data:
test
UNITED STATES	30,463	34,369	217,409	213,016	765	338	136,957	157,349	1,615	1,913											
NEW ENGLAND	1,277	1,475	8,796	8,612	71	29	2,958	3,340	32	51											
Maine	28	22	501	U	8	-	29	24	-	-											
N.H.	17	42	397	385	5	3	58	77	6	5											
Vt.	23	10	207	235	4	1	26	33	-	15											
Mass.	467	739	3,783	3,467	45	25	1,183	1,126	22	28											
R.I.	85	94	1,069	1,079	1	-	243	278	4	3											
Conn.	657	568	2,839	3,446	8	-	1,419	1,802	-	-											
MID. ATLANTIC	9,745	9,522	29,982	35,597	46	13	17,640	21,975	178	160											
Upstate N.Y.	1,645	1,163	N	N	29	4	2,799	3,823	138	127											
N.Y. City	4,978	5,302	15,751	19,371	8	-	7,050	8,525	-	3											
N.J.	1,973	1,869	4,573	6,864	9	7	3,214	4,285	-	-											
Pa.	1,149	1,188	9,658	9,362	N	2	4,577	5,342	40	30											
E.N. CENTRAL	2,041	2,762	30,983	45,989	134	41	19,254	29,969	301	276											
Ohio	396	618	6,377	10,876	33	15	4,185	7,611	8	10											
Ind.	361	389	4,673	5,007	27	10	3,129	3,336	9	7											
Ill.	765	1,203	5,798	12,975	34	-	2,822	8,750	38	53											
Mich.	386	401	9,672	11,421	40	6	7,202	7,726	246	206											
Wis.	133	151	4,463	5,710	N	10	1,916	2,546	-	-											
W.N. CENTRAL	565	811	12,044	16,375	136	65	5,737	7,610	85	52											
Minn.	101	157	U	2,702	66	27	U	1,099	3	-											
Iowa	70	57	2,406	1,980	20	9	663	504	19	25											
Mo.	237	398	5,995	7,003	17	22	3,984	4,547	52	13											
N. Dak.	7	9	434	508	5	3	32	14	2	-											
S. Dak.	4	8	669	688	8	-	71	97	-	-											
Nebr.	61	55	508	1,079	13	-	129	226	2	5											
Kans.	85	127	2,032	2,415	7	4	858	1,123	7	9											
S. ATLANTIC	7,504	8,521	46,873	27,500	86	39	45,466	50,858	161	98											
Del.	144	165	U	1,148	3	3	616	762	-	-											
Md.	950	1,022	3,790	U	7	3	6,981	5,224	10	1											
D.C.	538	599	N	N	-	-	1,576	2,374	-	-											
Va.	651	542	5,857	5,802	N	18	4,188	5,104	17	8											
W. Va.	57	65	1,613	1,131	N	-	500	383	9	7											
N.C.	428	466	9,891	U	22	12	9,457	9,888	30	29											
S.C.	410	439	6,739	U	1	-	6,020	5,992	26	15											
Ga.	965	1,279	6,323	6,923	25	-	7,106	11,652	U	-											
Fla.	3,361	3,944	12,660	12,496	27	3	9,022	9,479	69	38											
E.S. CENTRAL	1,022	1,132	17,381	15,926	50	7	17,370	16,808	189	351											
Ky.	177	173	3,545	3,648	16	-	2,234	2,150	9	20											
Tenn.	418	444	6,500	6,896	25	7	5,415	5,931	124	273											
Ala.	237	323	4,345	4,387	6	-	6,163	6,911	6	2											
Miss.	190	192	2,991	995	3	-	3,558	1,816	50	56											
W.S. CENTRAL	3,187	3,354	28,882	11,115	28	5	18,067	10,515	195	187											
Ark.	120	144	676	945	4	1	1,410	2,227	-	4											
La.	545	834	4,627	3,725	4	3	4,301	3,973	118	110											
Okla.	166	139	4,006	4,012	2	1	2,489	2,487	4	1											
Tex.	2,356	2,237	19,573	2,433	18	-	9,867	1,828	73	72											
MOUNTAIN	881	1,014	12,695	13,382	89	45	3,925	4,148	214	337											
Mont.	22	14	477	659	5	-	20	14	12	10											
Idaho	28	23	790	832	13	8	59	56	28	85											
Wyo.	13	3	294	346	5	-	27	17	88	106											
Colo.	210	298	1,896	1,023	33	16	1,091	954	24	31											
N. Mex.	79	56	1,870	2,191	5	4	652	450	33	40											
Ariz.	227	281	5,158	5,966	N	13	1,558	2,029	22	37											
Utah	68	102	847	822	25	-	124	160	3	12											
Nev.	234	237	1,363	1,543	3	4	394	468	4	16											
PACIFIC	4,241	5,778	29,773	38,520	125	91	6,540	12,126	260	401											
Wash.	380	380	4,748	5,308	25	22	1,001	1,151	17	35											
Oreg.	162	279	2,086	2,976	38	40	323	448	4	6											
Calif.	3,643	5,016	21,315	28,729	58	26	4,755	10,020	156	246											
Alaska	22	14	769	563	4	-	214	240	-	2											
Hawaii	34	89	855	944	N	3	247	267	83	112											
Guam	2	4	31	225	N	-	3	39	-	6											
P.R.	1,021	1,047	U	U	23	U	343	347	63	97											
V.I.	52	14	N	N	N	U	-	-	-	-											
Amer. Samoa	-	-	-	-	N	U	-	-	-	-											
C.N.M.I.	1	-	N	N	N	U	16	11	2	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


