
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 2, 2009 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	60	232	1,953	3,274	2,350	24	90	152	815	1,329	8	40	149	233	110						
NEW ENGLAND	-	18	36	160	315	7	8	21	93	107	-	0	2	2	1						
Conn.	-	1	4	5	22	5	3	17	41	53	-	0	0	-	-						
Maine	-	1	7	26	12	-	1	5	15	19	-	0	1	2	-						
Mass.	-	12	30	105	247	-	0	0	-	-	-	0	1	-	1						
N.H.	-	1	4	15	10	2	1	8	9	10	-	0	1	-	-						
R.I.	-	1	6	3	19	-	0	3	7	9	-	0	2	-	-						
Vt.	-	0	2	6	5	-	1	6	21	16	-	0	0	-	-						
MID. ATLANTIC	18	23	64	266	287	8	29	67	123	387	-	2	30	5	23						
N.J.	-	3	12	20	45	-	0	0	-	-	-	1	6	-	11						
N.Y. (Upstate)	3	7	41	60	77	8	9	20	103	112	-	0	29	1	-						
N.Y. City	-	0	20	23	34	-	0	2	-	7	-	0	2	4	8						
Pa.	15	10	34	163	131	-	19	52	20	268	-	0	2	-	4						
E.N. CENTRAL	9	37	174	720	549	-	3	29	15	12	-	2	15	9	6						
Ill.	-	13	45	161	50	-	1	21	5	4	-	1	11	5	6						
Ind.	-	2	96	63	15	-	0	2	-	1	-	0	3	-	-						
Mich.	2	8	21	165	63	-	1	9	10	5	-	0	1	1	-						
Ohio	7	11	57	311	401	-	1	7	-	2	-	0	4	3	-						
Wis.	-	2	7	20	20	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	7	30	839	714	193	1	5	17	64	60	1	4	33	13	7						
Iowa	-	4	21	39	29	-	0	5	6	3	-	0	2	-	-						
Kans.	-	2	12	50	24	-	1	6	34	28	-	0	0	-	-						
Minn.	3	1	781	155	31	-	0	10	7	13	-	0	0	-	-						
Mo.	2	12	51	398	90	1	1	8	9	1	1	4	32	13	7						
Nebr.	2	4	32	64	15	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	18	2	-	-	0	9	3	8	-	0	0	-	-						
S. Dak.	-	0	10	6	4	-	0	2	5	7	-	0	1	-	-						
S. ATLANTIC	3	24	71	444	232	-	28	66	378	621	6	16	72	167	42						
Del.	-	0	3	4	2	-	0	0	-	-	-	0	5	1	2						
D.C.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	1						
Fla.	-	7	20	129	51	-	0	18	45	138	-	0	3	1	2						
Ga.	-	3	7	50	14	-	6	47	88	124	-	1	9	6	7						
Md.	1	3	10	31	36	-	7	17	93	147	-	1	7	11	10						
N.C.	2	0	65	134	59	N	2	4	N	N	5	9	55	129	11						
S.C.	-	2	10	50	28	-	0	0	-	-	-	1	9	7	2						
Va.	-	3	24	41	36	-	10	24	122	182	1	2	15	11	5						
W. Va.	-	0	2	5	5	-	1	6	30	30	-	0	1	1	2						
E.S. CENTRAL	4	10	33	188	77	-	3	7	33	52	1	4	23	22	16						
Ala.	-	2	7	45	17	-	0	0	-	-	-	1	8	7	7						
Ky.	2	4	15	85	11	-	1	4	21	8	-	0	1	-	-						
Miss.	-	2	5	17	33	-	0	1	-	1	-	0	3	1	2						
Tenn.	2	2	14	41	16	-	2	6	12	43	1	3	19	14	7						
W.S. CENTRAL	5	34	347	311	173	1	1	9	16	25	-	2	41	11	10						
Ark.	5	2	20	27	21	1	0	6	12	13	-	0	14	3	1						
La.	-	2	7	29	4	-	0	0	-	-	-	0	1	-	2						
Okla.	-	0	29	9	2	-	0	9	4	11	-	0	26	2	2						
Tex.	-	29	303	246	146	-	0	1	-	1	-	1	6	6	5						
MOUNTAIN	11	15	31	271	340	-	2	9	32	18	-	1	3	4	4						
Ariz.	2	3	10	50	89	N	0	0	N	N	-	0	2	1	2						
Colo.	8	3	12	84	59	-	0	0	-	-	-	0	1	-	-						
Idaho	1	1	5	24	14	-	0	2	-	-	-	0	1	-	-						
Mont.	-	0	4	9	56	-	0	4	10	-	-	0	1	1	-						
Nev.	-	0	3	6	12	-	0	5	-	-	-	0	2	-	-						
N. Mex.	-	1	10	26	21	-	0	2	12	14	-	0	1	1	1						
Utah	-	4	19	71	85	-	0	6	-	-	-	0	1	1	1						
Wyo.	-	0	2	1	4	-	0	4	10	4	-	0	2	-	-						
PACIFIC	3	18	463	200	184	7	4	13	61	47	-	0	1	-	1						
Alaska	1	3	21	27	27	-	0	2	8	10	N	0	0	N	N						
Calif.	-	4	23	13	106	7	3	12	53	36	-	0	1	-	-						
Hawaii	-	0	3	8	4	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	3	18	58	47	-	0	2	-	1	-	0	1	-	1						
Wash.	2	0	459	94	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	1	-	3	1	5	15	18	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


