
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2013 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	194	247	455	194	407	8	21	33	8	23	30	280	353	30	204						
NEW ENGLAND	1	11	24	1	24	-	1	4	-	-	1	8	18	1	10						
Conn.	-	5	13	-	9	-	0	2	-	-	-	0	5	-	2						
Maine	1	2	7	1	7	-	0	1	-	-	-	0	5	-	-						
Mass.	-	1	3	-	-	-	0	2	-	-	1	5	13	1	6						
N.H.	-	1	5	-	5	-	0	1	-	-	-	1	4	-	2						
R.I.	-	0	5	-	-	-	0	1	-	-	-	0	6	-	-						
Vt.	-	1	4	-	3	-	0	0	-	-	-	0	1	-	-						
MID. ATLANTIC	16	35	70	16	47	-	2	5	-	4	1	34	49	1	28						
N.J.	-	7	24	-	17	-	0	3	-	2	-	4	8	-	4						
N.Y. (Upstate)	-	16	35	-	7	-	1	3	-	-	1	4	9	1	1						
N.Y. City	16	13	24	16	23	-	0	3	-	2	-	18	28	-	19						
Pa.	N	0	0	N	N	N	0	0	N	N	-	8	17	-	4						
E.N. CENTRAL	61	55	111	61	111	2	3	10	2	5	1	29	49	1	21						
Ill.	N	0	0	N	N	-	0	0	-	-	-	10	26	-	7						
Ind.	-	13	28	-	23	-	1	2	-	-	-	4	10	-	1						
Mich.	9	11	25	9	25	-	0	3	-	-	-	4	13	-	8						
Ohio	38	21	46	38	41	1	2	6	1	3	-	8	15	-	4						
Wis.	14	9	29	14	22	1	0	2	1	2	1	2	5	1	1						
W.N. CENTRAL	2	14	23	2	23	-	1	4	-	2	1	6	14	1	14						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	4	-	1						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	1						
Minn.	-	9	22	-	13	-	0	3	-	-	-	1	5	-	3						
Mo.	N	0	0	N	N	-	0	0	-	-	1	2	9	1	9						
Nebr.	-	2	8	-	6	-	0	2	-	-	-	0	1	-	-						
N. Dak.	-	0	4	-	1	-	0	1	-	-	-	0	1	-	-						
S. Dak.	2	1	5	2	3	-	0	2	-	2	-	0	2	-	-						
S. ATLANTIC	83	52	105	83	83	6	4	11	6	4	14	64	103	14	47						
Del.	1	0	3	1	1	-	0	1	-	-	-	0	6	-	-						
D.C.	-	0	4	-	2	-	0	1	-	1	1	3	9	1	2						
Fla.	32	18	47	32	24	2	1	6	2	2	2	25	36	2	22						
Ga.	21	15	42	21	30	2	1	4	2	1	4	13	31	4	5						
Md.	12	6	22	12	9	1	0	5	1	-	4	7	15	4	3						
N.C.	N	0	0	N	N	N	0	0	N	N	-	6	21	-	9						
S.C.	16	6	16	16	14	-	0	3	-	-	3	4	10	3	4						
Va.	N	0	0	N	N	-	0	0	-	-	-	3	40	-	2						
W. Va.	1	5	31	1	3	1	0	2	1	-	-	0	2	-	-						
E.S. CENTRAL	21	21	55	21	44	-	2	5	-	4	-	14	25	-	7						
Ala.	4	2	7	4	2	-	0	3	-	-	-	3	10	-	3						
