
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending August 27, 2011 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	15	7	109	501	499	18	16	42	356	1,342	1	1	13	63	72						
NEW ENGLAND	-	0	2	3	3	9	2	15	103	65	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	6	-	25	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	11	13	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	10	49	-	-	0	0	-	-						
N.H.	-	0	1	1	1	-	0	4	10	10	-	0	1	1	2						
R.I.	-	0	1	1	-	9	0	10	30	16	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	3	1	-	0	0	-	-						
MID. ATLANTIC	-	1	7	41	69	7	4	27	174	178	-	0	2	7	8						
N.J.	-	0	1	-	45	-	0	3	-	55	-	0	0	-	1						
N.Y. (Upstate)	-	0	7	37	18	7	3	25	153	113	-	0	2	7	5						
N.Y. City	-	0	1	4	5	-	0	5	19	10	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	2	-	-	0	1	-	2						
E.N. CENTRAL	-	0	3	19	34	-	1	9	9	420	-	0	4	26	39						
Ill.	-	0	2	9	11	-	0	1	2	4	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	20	14						
Mich.	-	0	2	4	2	-	0	1	-	2	-	0	1	2	-						
Ohio	-	0	1	6	5	-	0	1	4	2	-	0	1	1	-						
Wis.	-	0	1	-	16	-	0	9	3	412	-	0	1	1	22						
W.N. CENTRAL	-	1	17	128	110	-	1	20	23	613	-	0	11	15	8						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	2	6	-	0	0	-	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	602	-	0	11	-	-						
Mo.	-	0	17	125	103	-	0	6	21	10	-	0	7	14	8						
