
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 1996 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	7	47	10	85	105	29	218	394	2	19	11										
NEW ENGLAND	3	3	-	-	-	8	35	41	-	2	2										
Maine	-	-	-	-	-	-	2	5	-	-	-										
N.H.	-	-	-	-	-	2	6	5	-	-	1										
Vt.	-	-	-	-	-	-	5	2	-	-	-										
Mass.	3	1	-	-	-	6	22	26	-	-	1										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	-	-	U	-	-	U	-	3	U	2	-										
MID. ATLANTIC	1	-	3	12	13	2	30	33	-	-	-										
Upstate N.Y.	-	-	3	5	3	1	23	19	-	-	-										
N.Y. City	1	-	-	2	2	1	5	9	-	-	-										
N.J.	-	-	-	-	-	-	-	3	-	-	-										
Pa.	-	-	-	5	8	-	2	2	-	-	-										
E.N. CENTRAL	-	-	4	24	16	7	40	49	-	-	-										
Ohio	-	-	3	13	7	7	31	23	-	-	-										
Ind.	-	-	-	1	2	-	2	3	-	-	-										
Ill.	-	-	-	-	-	-	-	-	-	-	-										
Mich.	-	-	1	10	7	-	5	21	-	-	-										
Wis.	-	-	-	-	-	-	2	2	-	-	-										
W.N. CENTRAL	-	1	-	2	9	-	1	18	-	-	-										
Minn.	-	-	-	-	-	-	1	-	-	-	-										
Iowa	-	-	-	-	1	-	-	1	-	-	-										
Mo.	-	1	-	-	8	-	-	7	-	-	-										
N. Dak.	-	-	-	2	-	-	-	1	-	-	-										
S. Dak.	-	-	-	-	-	-	-	2	-	-	-										
Nebr.	-	-	-	-	-	-	-	1	-	-	-										
Kans.	-	-	-	-	-	-	-	6	-	-	-										
S. ATLANTIC	1	-	2	8	15	2	18	41	-	-	1										
Del.	-	-	U	-	-	U	-	1	U	-	-										
Md.	1	-	1	2	4	2	13	-	-	-	-										
D.C.	-	-	-	-	-	-	-	1	-	-	-										
Va.	-	-	U	2	4	U	-	-	U	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	3	-	-	30	-	-	-										
S.C.	-	-	1	3	1	-	2	7	-	-	-										
Ga.	-	-	-	1	-	-	1	-	-	-	-										
Fla.	-	-	-	-	3	-	2	2	-	-	1										
E.S. CENTRAL	-	-	-	3	4	1	6	9	-	-	-										
Ky.	-	-	-	-	-	-	4	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	-	3	2	-	1	9	-	-	-										
Miss.	-	-	-	-	2	1	1	-	N	N	N										
W.S. CENTRAL	-	-	-	3	7	-	3	8	-	-	-										
Ark.	-	-	-	-	2	-	2	-	-	-	-										
La.	-	-	-	3	1	-	1	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	--	4	-	-8	--	-													
MOUNTAIN	-	43	-	8	4	1	22	135	-	-	2										
Mont.	-	-	-	-	-	-	2	2	-	-	-										
Idaho	-	-	-	-	-	-	2	47	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	17	-	-	-	-	-	30	-	-	-										
N. Mex.	-	21	N	N	N	-	9	4	-	-	-										
Ariz.	-	5	-	-	-	-	2	51	-	-	2										
Utah	-	-	-	-	1	1	1	-	-	-	-										
Nev.	-	-	-	8	3	-	6	1	-	-	-										
PACIFIC	2	-	1	25	37	8	63	60	2	17	6										
Wash.	1	-	-	2	1	1	6	9	-	-	-										
Oreg.	-	-	N	N	N	-	13	1	-	-	-										
Calif.	-	-	-	15	33	6	42	48	2	17	6										
Alaska	-	-	-	1	2	-	-	-	-	-	-										
Hawaii	1	-	1	7	1	1	2	2	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	1	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


