
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 24, 2008 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	86	97	240	2,631	2,614	27	35	153	783	835											
NEW ENGLAND	28	5	24	182	212	-	1	6	39	62											
Conn.	28	0	22	59	49	-	0	5	-	11											
Maine	-	0	3	12	13	-	0	1	1	1											
Mass.	-	2	7	82	111	-	1	4	30	44											
N.H.	-	0	2	16	24	-	0	1	7	-											
R.I.	-	0	6	5	2	-	0	1	-	4											
Vt.	-	0	2	8	13	-	0	1	1	2											
MID. ATLANTIC	17	17	42	547	545	2	4	38	87	125											
N.J.	-	3	9	79	109	-	1	6	18	33											
N.Y. (Upstate)	10	6	20	194	149	2	2	14	44	52											
N.Y. City	-	4	10	93	137	-	1	35	25	40											
Pa.	7	5	16	181	150	N	0	0	N	N											
E.N. CENTRAL	13	16	59	533	498	2	5	22	160	122											
Ill.	-	4	15	137	157	-	2	6	38	28											
Ind.	-	2	11	70	56	-	0	14	20	7											
Mich.	4	3	8	84	120	-	1	5	38	45											
Ohio	8	4	15	153	139	2	1	5	30	34											
Wis.	1	0	38	89	26	-	0	9	34	8											
W.N. CENTRAL	2	5	39	225	187	2	2	15	67	49											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	32	24	-	0	3	13	1											
Minn.	-	0	35	101	86	-	0	13	24	30											
Mo.	2	2	10	55	49	2	1	2	20	13											
Nebr.	-	0	3	18	14	-	0	3	4	4											
N. Dak.	-	0	3	8	10	-	0	1	1	1											
S. Dak.	-	0	2	11	4	-	0	1	5	-											
S. ATLANTIC	10	23	51	517	576	7	7	16	121	194											
Del.	-	0	2	6	4	-	0	0	-	-											
D.C.	-	0	2	10	16	-	0	1	1	2											
Fla.	4	6	16	128	125	2	1	4	32	30											
Ga.	-	4	10	99	128	3	1	9	6	87											
Md.	3	4	9	92	101	-	1	5	34	37											
N.C.	-	2	22	70	55	N	0	0	N	N											
S.C.	1	1	6	32	56	1	1	4	21	12											
Va.	2	3	12	66	78	1	0	6	23	24											
W. Va.	-	0	3	14	13	-	0	1	4	2											
E.S. CENTRAL	4	4	13	84	96	2	2	11	51	49											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	16	24	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	13	3											
Tenn.	4	3	13	68	72	2	2	9	38	46											
W.S. CENTRAL	6	7	83	205	149	9	5	61	127	116											
Ark.	-	0	2	4	13	-	0	2	5	7											
La.	-	0	1	3	14	-	0	2	1	23											
Okla.	2	1	17	60	39	2	1	5	43	24											
Tex.	4	5	65	138	83	7	3	56	78	62											
MOUNTAIN	6	11	22	289	285	3	5	12	124	110											
Ariz.	3	4	9	102	103	2	2	8	65	56											
Colo.	3	2	8	78	75	1	1	4	37	26											
Idaho	-	0	2	9	6	-	0	1	2	2											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	2	6	2	N	0	0	N	N											
N. Mex.	-	2	7	54	48	-	0	3	11	22											
Utah	-	1	5	35	47	-	0	4	8	4											
Wyo.	-	0	2	5	4	-	0	1	1	-											
PACIFIC	-	3	6	49	66	-	0	2	7	8											
Alaska	-	0	3	13	12	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	6	36	54	-	0	2	7	8											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	19	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


