
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending February 2, 2008 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2008
5-year weekly average†
Total cases reported for year 2007
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	-	-	1	-	-	-		
Botulism:										
foodborne	-	1	0	20	20	19	16	20		
infant	-	3	2	83	97	85	87	76		
other(wound & unspecified)	-	-	1	24	48	31	30	33		
Brucellosis	-	2	2	127	121	120	114	104		
Chancroid	-	3	1	33	33	17	30	54		
Cholera	-	-	0	7	9	8	6	2		
Cyclosporiasis §	-	2	1	98	137	543	160	75		
Diphtheria	-	-	-	-	-	-	-	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	-	44	67	80	112	108		
eastern equine	-	-	-	4	8	21	6	14		
Powassan	-	-	-	1	1	1	1	-		
St. Louis	-	-	0	7	10	13	12	41		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis/Anaplasmosis §,**:										
Ehrlichia chaffeensis	-	-	-	N	N	N	N	N		
Ehrlichia ewingii	-	-	-	N	N	N	N	N		
Anaplasma phagocytophilum	-	-	-	N	N	N	N	N		
undetermined	-	-	-	N	N	N	N	N		
Haemophilus influenzae ††, invasive disease (age &lt;5 yrs):										
serotype B	1	1	1	21	29	9	19	32	NY (1 )	
nonserotype B	1	9	3	165	175	135	135	117	OH (1 )	
unknown serotype	5	21	4	187	179	217	177	227	NYC (1 ), PA (1 ), OH (1 ), MD (1 ), GA (1 )	
Hansen disease §	2	5	1	64	66	87	105	95	FL (1 ), CA (1 )	
Hantavirus pulmonary syndrome §	-	-	0	32	40	26	24	26		
Hemolytic uremic syndrome, post-diarrheal §	-	3	2	252	288	221	200	178		
Hepatitis C viral, acute	7	33	15	759	766	652	720	1,102	NY (2 ), PA (2 ), MD (2 ), AL (1 )	
HIV infection, pediatric (age &lt;13 yrs) §§	-	-	3	-	-	380	436	504		
Influenza-associated pediatric mortality §, ¶¶	-	-	1	76	43	45	-	N		
