
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 9, 2007 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	49	87	253	2,503	2,907	11	28	105	713	687											
NEW ENGLAND	1	5	29	175	192	-	2	11	56	64											
Conn.	-	0	17	35	55	-	0	6	-	21											
Maine	1	0	2	13	9	-	0	1	1	-											
Mass.	-	3	10	95	97	-	1	6	42	37											
N.H.	-	0	5	21	20	-	0	2	6	6											
R.I.	-	0	12	-	4	-	0	3	5	-											
Vt.	-	0	2	11	7	-	0	1	2	-											
MID. ATLANTIC	12	15	41	495	559	2	3	20	69	99											
N.J.	1	2	8	69	100	-	1	4	14	39											
N.Y. (Upstate)	6	5	27	162	164	2	2	15	55	51											
N.Y. City	-	3	11	108	103	-	0	3	-	9											
Pa.	5	6	11	156	192	N	0	0	N	N											
E.N. CENTRAL	5	15	30	456	619	-	5	14	100	182											
Ill.	-	5	12	118	191	-	1	6	9	49											
Ind.	3	2	12	65	67	-	0	10	10	22											
Mich.	-	3	10	108	128	-	1	4	41	46											
Ohio	2	4	14	146	160	-	1	7	35	37											
Wis.	-	1	6	19	73	-	0	2	5	28											
W.N. CENTRAL	1	5	32	191	189	1	2	8	61	51											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	3	24	37	-	0	1	1	9											
Minn.	-	0	29	90	83	-	1	6	41	26											
Mo.	-	2	6	50	37	-	0	2	13	10											
Nebr.	1	0	3	14	19	1	0	2	5	4											
N. Dak.	-	0	2	9	6	-	0	2	1	2											
S. Dak.	-	0	2	4	7	-	0	0	-	-											
S. ATLANTIC	17	20	48	557	567	2	3	13	138	35											
Del.	-	0	2	4	6	-	0	0	-	-											
D.C.	-	0	3	8	7	-	0	1	-	-											
Fla.	7	6	16	138	130	1	0	5	33	-											
Ga.	-	5	11	107	148	-	0	5	42	-											
Md.	4	4	8	102	78	-	1	6	37	27											
N.C.	-	0	26	56	67	-	0	0	-	-											
S.C.	6	1	7	56	42	1	0	3	16	-											
Va.	-	2	11	72	75	-	0	3	8	-											
W. Va.	-	0	3	14	14	-	0	4	2	8											
E.S. CENTRAL	2	4	11	101	129	1	0	6	45	11											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	4	25	33	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	11											
Tenn.	2	3	7	76	96	1	0	6	43	-											
W.S. CENTRAL	6	6	82	154	218	2	4	40	113	110											
Ark.	1	0	2	13	18	-	0	2	7	14											
La.	-	0	2	4	8	-	0	4	25	16											
Okla.	-	2	23	42	59	-	1	13	24	22											
Tex.	5	3	56	95	133	2	1	24	57	58											
MOUNTAIN	5	10	23	311	389	2	4	12	112	122											
Ariz.	2	5	11	123	208	1	2	7	63	72											
Colo.	-	3	9	94	64	-	1	4	33	29											
Idaho	-	0	1	6	6	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	1	-	0	1	1	-											
N. Mex.	1	1	6	27	72	1	0	4	13	20											
Utah	2	1	7	56	36	-	0	0	-	-											
Wyo.	-	0	1	3	2	-	0	0	-	-											
PACIFIC	-	3	9	63	45	1	0	4	19	13											
Alaska	-	0	2	15	N	1	0	2	17	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	48	45	-	0	2	2	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


