
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2002 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2002
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2002
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2002
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2001

tab delimited data:
test
UNITED STATES	2	16	-	1	235	602	96	242	24	301											
NEW ENGLAND	-	1	-	-	7	27	2	4	-	4											
Maine	-	-	-	-	1	-	-	-	-	-											
N.H.	-	-	-	-	-	1	-	-	-	-											
Vt.	-	-	-	-	-	-	1	1	-	1											
Mass.	-	1	-	-	1	14	-	-	-	3											
R.I.	-	-	-	-	-	-	1	-	-	-											
Conn.	-	-	-	-	5	12	-	3	-	-											
MID. ATLANTIC	-	1	-	-	18	65	7	61	2	119											
Upstate N.Y.	-	-	-	-	1	5	1	-	1	-											
N.Y. City	-	1	-	-	2	25	1	26	-	-											
N.J.	-	-	-	-	-	32	-	30	-	118											
Pa.	-	-	-	-	15	3	5	5	1	1											
E.N. CENTRAL	-	3	-	-	17	142	23	30	2	19											
Ohio	-	-	-	-	7	9	5	6	1	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	2	-	-	3	99	-	-	-	8											
Mich.	-	-	-	-	7	30	18	24	1	11											
Wis.	-	1	-	-	-	4	-	-	-	-											
W.N. CENTRAL	-	-	-	-	15	37	3	10	13	64											
Minn.	-	-	-	-	-	-	1	-	-	-											
Iowa	-	-	-	-	5	1	1	-	-	-											
Mo.	-	-	-	-	2	11	-	8	13	63											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	1	-	-	1	-	-											
Nebr.	-	-	-	-	-	13	-	1	-	-											
Kans.	-	-	-	-	7	12	1	-	-	1											
S. ATLANTIC	-	2	-	-	84	55	31	37	2	-											
Del.	-	-	-	-	-	-	-	-	1	-											
Md.	-	-	-	-	25	15	6	4	-	-											
D.C.	-	-	-	-	7	1	1	1	-	-											
Va.	-	-	-	-	-	3	-	2	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	20	4	11	8	1	-											
S.C.	-	-	-	-	1	-	2	-	-	-											
Ga.	-	2	-	-	31	28	11	20	-	-											
Fla.	-	-	-	-	-	4	-	2	-	-											
E.S. CENTRAL	-	-	-	-	5	14	2	12	1	14											
Ky.	-	-	-	-	-	1	-	3	-	-											
Tenn.	-	-	-	-	-	4	-	1	-	1											
Ala.	-	-	-	-	3	9	2	2	-	-											
Miss.	-	-	-	-	2	-	-	6	1	13											
W.S. CENTRAL	-	-	-	-	5	138	7	12	-	77											
Ark.	-	-	-	-	4	3	6	2	-	-											
La.	-	-	-	-	-	7	-	10	-	19											
Okla.	-	-	-	-	-	3	-	-	-	-											
Tex.	-	-	-	-	1	125	1	-	-	58											
MOUNTAIN	1	2	-	1	13	29	6	18	2	2											
Mont.	-	-	-	-	1	2	-	-	-	-											
Idaho	-	-	-	-	-	2	-	1	-	-											
Wyo.	-	-	-	-	-	1	-	-	-	2											
Colo.	-	-	-	-	6	11	3	8	2	-											
N. Mex.	1	2	-	1	3	1	1	6	-	-											
Ariz.	-	-	-	-	1	6	-	1	-	-											
Utah	-	-	-	-	2	1	2	-	-	-											
Nev.	-	-	-	-	-	5	-	2	-	-											
PACIFIC	1	7	-	-	71	95	15	58	2	2											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	1	-	-	-	10	-	8	2	2	-											
Calif.	-	6	-	-	61	86	7	53	-	2											
Alaska	-	-	-	-	-	8	-	1	-	-											
Hawaii	-	1	-	-	-	1	-	2	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	1	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	4	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


