
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 6, 1996 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	48	168	6	155	222	68	639	711	2	41	19										
NEW ENGLAND	6	3	-	-	3	3	118	112	-	3	2										
Maine	-	-	-	-	2	2	7	11	-	-	-										
N.H.	-	-	-	-	-	1	15	5	-	-	1										
Vt.	1	-	-	-	-	-	6	2	-	-	-										
Mass.	4	1	-	-	-	-	87	88	-	1	1										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	1	-	3	6	-	2	-										
MID. ATLANTIC	2	2	1	20	33	4	67	63	-	3	2										
Upstate N.Y.	-	-	-	6	9	-	38	34	-	2	-										
N.Y. City	2	-	-	4	4	1	11	12	-	1	1										
N.J.	-	2	U	-	6	U	-	6	U	-	1										
Pa.	-	-	1	10	14	3	18	11	-	-	-										
E.N. CENTRAL	2	-	1	42	30	5	114	73	-	1	-										
Ohio	2	-	1	17	15	5	51	31	-	-	-										
Ind.	-	-	-	5	5	-	9	7	-	-	-										
Ill.	-	-	-	9	-	-	43	-	-	1	-										
Mich.	-	-	-	11	10	-	9	26	-	-	-										
Wis.	-	-	-	-	-	-	2	9	-	-	-										
W.N. CENTRAL	2	1	-	2	14	22	25	34	1	1	-										
Minn.	2	-	-	-	2	21	22	5	-	-	-										
Iowa	-	-	-	-	3	-	2	1	1	1	-										
Mo.	-	1	-	-	7	-	-	7	-	-	-										
N. Dak.	-	-	-	2	-	-	-	5	-	-	-										
S. Dak.	-	-	-	-	-	1	1	6	-	-	-										
Nebr.	-	-	-	-	2	-	-	3	-	-	-										
Kans.	-	-	-	-	-	-	-	7	-	-	-										
S. ATLANTIC	2	-	-	14	39	8	53	71	-	-	1										
Del.	1	-	-	-	-	-	7	4	-	-	-										
Md.	1	-	-	7	8	3	25	-	-	-	-										
D.C.	-	-	-	-	-	-	-	1	-	-	-										
Va.	-	-	-	3	9	3	3	7	-	-	-										
W. Va.	-	-	-	-	-	2	2	-	-	-	-										
N.C.	-	-	-	-	16	-	-	49	-	-	-										
S.C.	-	-	-	3	3	-	3	8	-	-	-										
Ga.	-	-	-	1	-	-	2	-	-	-	-										
Fla.	-	-	-	-	3	-	11	2	-	-	1										
E.S. CENTRAL	-	-	-	6	6	-	10	20	-	2	-										
Ky.	-	-	-	-	-	-	5	1	-	-	-										
Tenn.	-	-	-	-	-	-	1	4	-	-	-										
Ala.	-	-	-	3	2	-	1	15	-	-	-										
Miss.	-	-	-	3	4	-	3	-	N	N	N										
W.S. CENTRAL	1	2	1	7	12	2	8	29	-	-	1										
Ark.	-	2	-	-	3	-	2	3	-	-	-										
La.	-	-	1	7	2	-	2	1	-	-	-										
Okla.	-	-	-	-	-	-	1	1	-	-	-										
Tex.	1	-	-	-	7	2	3	24	-	-	1										
MOUNTAIN	3	56	1	13	10	10	94	191	1	1	2										
Mont.	-	-	-	-	-	-	3	3	-	-	-										
Idaho	-	-	-	-	2	1	40	57	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	17	-	-	-	6	14	32	-	-	-										
N. Mex.	-	28	N	N	N	-	18	14	-	-	-										
Ariz.	-	10	-	1	1	2	4	82	1	1	2										
Utah	-	-	1	1	1	1	2	2	-	-	-										
Nev.	3	1	-	11	6	-	13	1	-	-	-										
PACIFIC	30	104	2	51	75	14	150	118	-	30	11										
Wash.	4	14	-	5	4	1	35	20	-	1	-										
Oreg.	-	1	N	N	N	4	20	5	-	-	1										
Calif.	1	88	1	37	62	6	87	90	-	27	9										
Alaska	24	-	-	1	8	-	-	-	-	-	-										
Hawaii	1	1	1	8	1	3	8	3	-	2	1										
Guam	-	-	U	-	2	U	-	-	U	-	-										
P.R.	-	3	-	1	1	-	-	4	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


