
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 17, 2003 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	15,551	12,786	300,916	310,789	1,288	1,550	657	788	-	-											
NEW ENGLAND	501	448	10,155	10,225	-	-	37	38	-	-											
Maine	23	8	743	536	N	N	3	1	-	-											
N.H.	12	12	561	614	-	-	3	9	-	-											
Vt.	6	5	388	286	-	-	7	8	-	-											
Mass.	227	236	4,069	4,136	-	-	17	11	-	-											
R.I.	39	40	1,235	1,009	-	-	5	5	-	-											
Conn.	194	147	3,159	3,644	N	N	2	4	-	-											
MID. ATLANTIC	3,357	2,473	31,183	33,804	-	-	79	115	-	-											
Upstate N.Y.	180	187	7,186	5,905	N	N	27	24	-	-											
N.Y. City	1,625	1,477	11,304	11,625	-	-	24	43	-	-											
N.J.	602	542	4,060	4,831	-	-	3	8	-	-											
Pa.	950	267	8,633	11,443	N	N	25	40	-	-											
E.N. CENTRAL	1,394	1,325	55,680	57,415	3	9	132	225	-	-											
Ohio	230	262	15,493	14,624	-	-	23	51	-	-											
Ind.	227	155	6,163	6,429	N	N	16	18	-	-											
Ill.	595	558	15,801	18,371	-	2	15	44	-	-											
Mich.	275	282	12,398	11,608	3	7	29	43	-	-											
Wis.	67	68	5,825	6,383	-	-	49	69	-	-											
W.N. CENTRAL	288	193	17,146	17,268	-	-	68	75	-	-											
Minn.	57	44	3,114	4,073	N	N	36	25	-	-											
Iowa	34	39	1,602	1,929	N	N	10	6	-	-											
Mo.	137	64	6,590	5,422	-	-	6	12	-	-											
N. Dak.	-	-	483	493	N	N	3	5	-	-											
S. Dak.	7	2	947	836	-	-	11	5	-	-											
Nebr.	22	21	1,711	1,762	-	-	2	16	-	-											
Kans.	31	23	2,699	2,753	N	N	-	6	-	-											
S. ATLANTIC	4,565	4,278	57,818	58,336	1	1	105	114	-	-											
Del.	81	81	1,196	1,053	N	N	1	1	-	-											
Md.	415	638	6,347	5,886	1	1	9	5	-	-											
D.C.	478	202	950	1,278	-	-	-	3	-	-											
Va.	427	276	6,705	6,285	-	-	11	1	-	-											
W. Va.	33	23	975	947	N	N	-	1	-	-											
N.C.	519	338	9,092	9,039	N	N	12	17	-	-											
S.C.	316	321	5,581	5,782	-	-	2	2	-	-											
Ga.	613	786	11,866	12,093	-	-	46	41	-	-											
Fla.	1,683	1,613	15,106	15,973	N	N	24	43	-	-											
E.S. CENTRAL	623	600	19,933	20,523	N	N	41	50	-	-											
Ky.	67	109	3,197	3,417	N	N	9	1	-	-											
Tenn.	270	252	7,082	6,441	N	N	9	26	-	-											
Ala.	143	117	5,282	6,437	-	-	20	19	-	-											
Miss.	143	122	4,372	4,228	N	N	3	4	-	-											
W.S. CENTRAL	1,661	1,452	37,403	41,556	-	-	28	18	-	-											
Ark.	48	97	2,507	2,659	-	-	1	4	-	-											
La.	195	363	5,529	7,100	N	N	1	7	-	-											
Okla.	75	77	3,976	4,008	N	N	3	3	-	-											
Tex.	1,343	915	25,391	27,789	-	-	23	4	-	-											
MOUNTAIN	586	434	17,852	19,344	926	1,036	36	46	-	-											
Mont.	8	6	410	681	N	N	7	3	-	-											
Idaho	10	8	955	870	N	N	6	15	-	-											
Wyo.	3	3	401	339	-	-	1	5	-	-											
Colo.	128	95	3,809	5,413	N	N	7	8	-	-											
N. Mex.	44	28	2,497	3,002	-	4	-	6	-	-											
Ariz.	272	176	5,972	5,778	907	1,011	3	5	-	-											
Utah	27	22	1,652	865	4	5	9	1	-	-											
Nev.	94	96	2,156	2,396	15	16	3	3	-	-											
PACIFIC	2,576	1,583	53,746	52,318	357	504	131	107	-	-											
Wash.	180	171	6,046	5,611	N	N	12	9	-	-											
Oreg.	108	152	2,973	2,530	-	-	16	13	-	-											
Calif.	2,246	1,235	42,873	41,157	357	504	103	84	-	-											
Alaska	9	2	1,384	1,407	-	-	-	-	-	-											
Hawaii	33	23	470	1,613	-	-	-	1	-	-											
Guam	2	1	-	-	-	-	-	-	-	-											
P.R.	437	377	483	1,156	N	N	N	N	-	-											
V.I.	13	50	-	65	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


