
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 5, 2003 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	670	1,004	81	56	58	13	7,347	8,861	153,769	175,720											
NEW ENGLAND	39	78	14	13	7	2	508	803	3,251	3,952											
Maine	4	4	1	-	-	-	60	80	105	54											
N.H.	6	9	1	-	-	-	17	25	54	63											
Vt.	2	3	-	-	-	-	43	60	40	53											
Mass.	15	38	2	9	7	2	235	419	1,292	1,704											
R.I.	1	5	-	-	-	-	55	61	424	460											
Conn.	11	19	10	4	-	-	98	158	1,336	1,618											
MID. ATLANTIC	79	113	3	-	19	2	1,484	1,907	17,234	21,056											
Upstate N.Y.	33	46	1	-	10	-	421	513	3,747	4,238											
N.Y. City	3	7	-	-	-	-	533	724	6,288	6,323											
N.J.	5	20	-	-	-	-	112	228	3,552	3,746											
Pa.	38	40	2	-	9	2	418	442	3,647	6,749											
E.N. CENTRAL	167	245	10	12	9	2	1,204	1,491	32,229	36,685											
Ohio	43	45	10	5	9	2	407	390	10,752	10,882											
Ind.	29	20	-	-	-	-	-	-	3,218	3,662											
Ill.	26	82	-	5	-	-	280	449	9,092	12,249											
Mich.	30	36	-	2	-	-	312	398	6,545	6,900											
Wis.	39	62	-	-	-	-	205	254	2,622	2,992											
W.N. CENTRAL	107	127	13	7	13	1	772	830	7,892	8,924											
Minn.	38	37	8	4	-	-	297	289	1,240	1,554											
Iowa	16	29	-	-	-	-	109	113	607	602											
Mo.	29	22	N	N	1	-	211	232	4,006	4,364											
N. Dak.	4	4	-	-	5	-	16	13	30	33											
S. Dak.	6	13	3	1	-	-	22	32	102	134											
Nebr.	6	15	1	2	-	-	56	71	678	785											
Kans.	8	7	-	-	7	1	61	80	1,229	1,452											
S. ATLANTIC	58	98	28	12	-	-	1,234	1,312	39,166	44,980											
Del.	-	5	N	N	N	N	18	25	600	830											
Md.	2	7	-	-	-	-	55	48	3,987	4,388											
D.C.	1	-	-	-	-	-	18	20	1,103	1,378											
Va.	17	24	4	1	-	-	163	105	4,338	5,126											
W. Va.	2	2	-	-	-	-	14	20	433	509											
N.C.	5	17	8	-	-	-	N	N	7,478	8,413											
S.C.	-	1	-	-	-	-	57	34	3,953	4,451											
Ga.	12	28	1	6	-	-	470	413	8,449	8,647											
Fla.	19	14	15	5	-	-	439	647	8,825	11,238											
E.S. CENTRAL	30	42	-	-	4	2	164	157	13,212	15,208											
Ky.	10	13	-	-	4	2	N	N	1,793	1,751											
Tenn.	12	20	-	-	-	-	71	70	3,928	4,620											
Ala.	6	4	-	-	-	-	93	87	4,351	5,406											
Miss.	2	5	-	-	-	-	-	-	3,140	3,431											
W.S. CENTRAL	17	46	1	-	2	2	132	77	21,602	24,471											
Ark.	4	2	-	-	-	-	72	63	2,052	2,322											
La.	1	1	-	-	-	-	4	1	5,470	5,921											
Okla.	8	8	-	-	-	-	56	12	2,116	2,273											
Tex.	4	35	1	-	2	2	-	1	11,964	13,955											
MOUNTAIN	79	93	10	8	4	2	633	644	5,059	5,518											
Mont.	2	9	-	-	-	-	35	35	55	54											
Idaho	18	6	5	2	-	-	75	42	39	38											
Wyo.	2	3	-	1	-	-	9	11	24	30											
Colo.	24	34	1	4	4	2	182	219	1,315	1,736											
N. Mex.	1	4	3	1	-	-	21	75	615	753											
Ariz.	16	10	N	N	N	N	114	82	1,920	1,813											
Utah	13	17	1	-	-	-	139	113	214	110											
Nev.	3	10	-	-	-	-	58	67	877	984											
PACIFIC	94	162	2	4	-	-	1,216	1,640	14,124	14,926											
Wash.	25	17	1	-	-	-	108	196	1,456	1,497											
Oreg.	20	40	1	4	-	-	158	180	511	413											
Calif.	48	80	-	-	-	-	889	1,169	11,673	12,374											
Alaska	1	4	-	-	-	-	40	45	274	323											
Hawaii	-	21	-	-	-	-	21	50	210	319											
Guam	N	N	-	-	-	-	-	6	-	32											
P.R.	-	1	-	-	-	-	28	19	99	222											
V.I.	-	-	-	-	-	-	-	-	-	26											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


