
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2002 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	-	1	-	-	-	-	-	338													
NEW ENGLAND	-	-	-	-	-	-	-	22													
Maine	-	-	-	-	-	-	-	2													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	-	-	-	-	-	-	-	20													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	-	-	-													
MID. ATLANTIC	-	-	-	-	-	-	-	53													
Upstate N.Y.	-	-	-	-	-	-	-	3													
N.Y. City	-	-	-	-	-	-	-	9													
N.J.	-	-	-	-	-	-	-	30													
Pa.	-	-	-	-	-	-	-	11													
E.N. CENTRAL	-	1	-	-	-	-	-	53													
Ohio	-	-	-	-	-	-	-	11													
Ind.	-	-	-	-	-	-	-	-													
Ill.	-	1	-	-	-	-	-	24													
Mich.	-	-	-	-	-	-	-	4													
Wis.	-	-	-	-	-	-	-	14													
W.N. CENTRAL	-	-	-	-	-	-	-	14													
Minn.	-	-	-	-	-	-	-	4													
Iowa	-	-	-	-	-	-	-	-													
Mo.	-	-	-	-	-	-	-	5													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	3													
Nebr.	-	-	-	-	-	-	-	1													
Kans.	-	-	-	-	-	-	-	1													
S. ATLANTIC	-	-	-	-	-	-	-	76													
Del.	-	-	-	-	-	-	-	-													
Md.	-	-	-	-	-	-	-	5													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	-	-	-	-	-	-	-	8													
S.C.	-	-	-	-	-	-	-	-													
Ga.	-	-	-	-	-	-	-	62													
Fla.	-	-	-	-	-	-	-	1													
E.S. CENTRAL	-	-	-	-	-	-	-	17													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	-	-	-	-	-	-	-	1													
Ala.	-	-	-	-	-	-	-	8													
Miss.	-	-	-	-	-	-	-	8													
W.S. CENTRAL	-	-	-	-	-	-	-	40													
Ark.	-	-	-	-	-	-	-	-													
La.	-	-	-	-	-	-	-	6													
Okla.	-	-	-	-	-	-	-	-													
Tex.	-	-	-	-	-	-	-	34													
MOUNTAIN	-	-	-	-	-	-	-	14													
Mont.	-	-	-	-	-	-	-	1													
Idaho	-	-	-	-	-	-	-	2													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	-	-	-	-	-	-	6													
N. Mex.	-	-	-	-	-	-	-	5													
Ariz.	-	-	-	-	-	-	-	-													
Utah	-	-	-	-	-	-	-	-													
Nev.	-	-	-	-	-	-	-	-													
PACIFIC	-	-	-	-	-	-	-	49													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	-	-	-	-	-	-	-	-													
Calif.	-	-	-	-	-	-	-	47													
Alaska	-	-	-	-	-	-	-	-													
Hawaii	-	-	-	-	-	-	-	2													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


