
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 22, 2011 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	4	6	109	608	587	11	16	53	592	1,549	2	1	13	94	80						
NEW ENGLAND	-	0	2	4	5	-	2	24	196	94	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	5	-	32	-	0	0	-	-						
Maine	-	0	1	1	3	-	0	2	14	15	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	17	135	-	-	0	0	-	-						
N.H.	-	0	1	2	2	-	0	4	14	16	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	10	30	29	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	3	2	-	0	0	-	-						
MID. ATLANTIC	1	1	7	54	80	9	4	29	272	227	-	0	2	11	10						
N.J.	-	0	1	-	48	-	0	3	-	63	-	0	0	-	1						
N.Y. (Upstate)	1	0	7	46	25	9	3	25	233	152	-	0	2	11	6						
N.Y. City	-	0	1	8	5	-	0	5	35	11	-	0	0	-	-						
Pa.	-	0	0	-	2	-	0	1	4	1	-	0	0	-	3						
E.N. CENTRAL	-	0	3	24	41	-	0	9	15	472	2	0	4	40	42						
Ill.	-	0	2	14	15	-	0	2	6	8	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	2	0	3	32	15						
Mich.	-	0	2	4	2	-	0	1	-	3	-	0	2	4	-						
Ohio	-	0	1	6	6	-	0	1	6	2	-	0	1	1	-						
Wis.	-	0	1	-	18	-	0	9	3	459	-	0	1	1	24						
W.N. CENTRAL	-	1	19	151	117	-	0	20	33	679	-	0	11	15	9						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	3	6	-	0	1	2	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	666	-	0	11	-	-						
Mo.	-	1	19	146	109	-	0	7	27	12	-	0	7	14	9						
Nebr.	-	0	1	1	2	-	0	1	1	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	2	-	-	0	0	-	-						
S. ATLANTIC	2	2	33	208	235	1	1	8	52	55	-	0	1	10	6						
Del.	-	0	2	15	17	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	13	8	1	0	3	9	3	-	0	0	-	-						
Ga.	-	0	3	16	20	-	0	2	7	1	-	0	1	1	1						
Md.	1	0	3	24	21	-	0	2	7	13	-	0	0	-	2						
N.C.	-	0	17	55	92	-	0	6	17	22	-	0	0	-	-						
S.C.	-	0	1	1	4	-	0	0	-	1	-	0	1	1	-						
Va.	1	1	13	84	71	-	0	3	11	11	-	0	1	7	3						
W. Va.	-	0	1	-	2	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	1	0	8	68	86	-	0	2	15	19	-	0	3	11	8						
Ala.	-	0	2	4	10	-	0	1	4	7	N	0	0	N	N						
Ky.	-	0	3	10	16	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	3	3	-	0	1	1	2	-	0	0	-	1						
Tenn.	1	0	6	51	57	-	0	2	10	10	-	0	3	11	6						
W.S. CENTRAL	-	0	87	99	22	1	0	9	6	3	-	0	0	-	1						
Ark.	-	0	12	42	4	1	0	2	5	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	56	14	-	0	7	1	2	-	0	0	-	-						
Tex.	-	0	1	1	3	-	0	1	-	1	-	0	0	-	1						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	4	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	3	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	1	3	-	-	0	1	2	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	2	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	3	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


