
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending November 1, 2003 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	34,748	37,092	18,616	17,611	4,486	3,967	1,772	2,085	367	299											
NEW ENGLAND	1,801	1,966	272	294	346	287	40	97	8	3											
Maine	114	130	6	8	25	20	-	-	-	-											
N.H.	100	122	5	11	21	35	-	-	N	N											
Vt.	63	69	7	1	19	9	6	5	4	2											
Mass.	1,064	1,111	179	184	165	96	N	N	N	N											
R.I.	112	149	14	16	14	15	10	12	4	1											
Conn.	348	385	61	74	102	112	24	80	U	U											
MID. ATLANTIC	3,877	4,992	1,919	1,516	803	623	110	95	85	70											
Upstate N.Y.	997	1,304	425	250	319	248	61	79	67	57											
N.Y. City	1,110	1,225	334	426	113	139	U	U	U	U											
N.J.	426	932	228	536	131	136	N	N	N	N											
Pa.	1,344	1,531	932	304	240	100	49	16	18	13											
E.N. CENTRAL	4,570	4,877	1,470	1,860	930	851	369	195	146	117											
Ohio	1,205	1,186	267	542	266	183	239	53	84	16											
Ind.	486	485	132	97	95	46	130	140	39	52											
Ill.	1,470	1,620	748	896	182	246	-	2	-	-											
Mich.	678	782	218	158	320	270	N	N	N	N											
Wis.	731	804	105	167	67	106	N	N	23	49											
W.N. CENTRAL	2,208	2,262	707	921	292	216	138	414	49	53											
Minn.	473	482	89	191	143	108	-	292	41	49											
Iowa	337	438	70	112	N	N	N	N	N	N											
Mo.	887	733	339	164	66	42	11	5	2	1											
N. Dak.	34	40	3	18	13	-	3	1	6	3											
S. Dak.	102	105	16	151	21	13	1	1	-	-											
Nebr.	131	151	100	203	23	21	-	25	N	N											
Kans.	244	313	90	82	26	32	123	90	N	N											
S. ATLANTIC	9,252	9,545	6,280	5,753	789	652	916	954	18	30											
Del.	86	85	154	252	6	2	1	3	N	N											
Md.	750	820	536	997	237	104	-	-	-	21											
D.C.	42	70	67	51	13	8	2	-	7	3											
Va.	932	1,044	388	841	92	69	N	N	N	N											
W. Va.	113	124	-	9	31	19	59	37	11	6											
N.C.	1,157	1,305	837	381	93	112	N	N	U	U											
S.C.	653	716	415	105	36	35	124	169	N	N											
Ga.	1,832	1,716	1,472	1,406	104	119	220	237	N	N											
Fla.	3,687	3,665	2,411	1,711	177	184	510	508	N	N											
E.S. CENTRAL	2,278	2,834	770	1,242	176	100	121	118	-	-											
Ky.	348	329	115	147	40	19	16	16	N	N											
Tenn.	647	699	281	97	136	81	105	102	N	N											
Ala.	454	746	222	677	-	-	-	-	N	N											
Miss.	829	1,060	152	321	-	-	-	-	-	-											
W.S. CENTRAL	4,473	4,109	3,994	2,707	248	260	53	166	56	22											
Ark.	698	942	91	175	5	7	8	6	-	-											
La.	420	700	226	419	1	1	45	160	8	7											
Okla.	423	445	736	509	78	39	N	N	31	3											
Tex.	2,932	2,022	2,941	1,604	164	213	N	N	17	12											
MOUNTAIN	1,877	1,908	1,018	798	380	472	22	46	5	4											
Mont.	93	78	2	3	2	-	-	-	-	-											
Idaho	156	129	29	13	18	9	N	N	N	N											
Wyo.	73	63	6	8	2	7	5	13	-	-											
Colo.	420	521	257	179	117	105	-	-	-	-											
N. Mex.	217	268	205	188	94	95	17	32	-	-											
Ariz.	560	499	416	336	136	226	-	-	N	N											
Utah	202	160	45	25	9	30	-	-	5	4											
Nev.	156	190	58	46	2	-	-	1	-	-											
PACIFIC	4,412	4,599	2,186	2,520	522	506	3	-	-	-											
Wash.	467	456	135	141	53	56	-	-	N	N											
Oreg.	363	307	203	92	N	N	N	N	N	N											
Calif.	3,335	3,529	1,801	2,216	369	366	N	N	N	N											
Alaska	62	74	9	5	-	-	-	-	N	N											
Hawaii	185	233	38	66	100	84	3	-	-	-											
Guam	-	38	-	30	-	-	-	4	-	-											
P.R.	313	475	8	30	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


