
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending December 13, 2003 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	39,344	41,955	21,058	21,264	4,989	4,374	1,976	2,357	445	369											
NEW ENGLAND	2,003	2,144	320	341	360	315	41	113	9	3											
Maine	136	140	7	10	28	20	-	-	-	-											
N.H.	100	137	5	13	21	35	-	-	N	N											
Vt.	72	74	8	1	19	10	7	5	5	2											
Mass.	1,194	1,193	215	201	174	106	N	N	N	N											
R.I.	125	163	20	17	16	15	10	13	4	1											
Conn.	376	437	65	99	102	129	24	95	U	U											
MID. ATLANTIC	4,426	5,647	2,224	1,781	875	684	126	121	97	84											
Upstate N.Y.	1,127	1,486	573	336	345	275	70	90	74	70											
N.Y. City	1,235	1,362	394	487	124	152	U	U	U	U											
N.J.	573	1,029	280	607	148	142	N	N	N	N											
Pa.	1,491	1,770	977	351	258	115	56	31	23	14											
E.N. CENTRAL	5,108	5,385	1,663	2,187	1,001	938	423	243	179	152											
Ohio	1,300	1,356	294	643	282	197	276	82	99	28											
Ind.	565	544	179	112	105	51	147	159	49	64											
Ill.	1,624	1,754	838	1,057	182	275	-	2	-	-											
Mich.	763	847	232	186	347	294	N	N	N	N											
Wis.	856	884	120	189	85	121	N	N	31	60											
W.N. CENTRAL	2,481	2,559	800	1,056	315	247	161	432	62	61											
Minn.	557	565	102	212	155	125	-	292	52	57											
Iowa	380	497	87	122	N	N	N	N	N	N											
Mo.	953	814	369	198	69	43	14	5	3	1											
N. Dak.	38	41	6	18	15	3	3	1	7	3											
S. Dak.	118	111	17	157	21	14	1	1	-	-											
Nebr.	152	182	106	258	25	25	-	26	N	N											
Kans.	283	349	113	91	30	37	143	107	N	N											
S. ATLANTIC	10,812	11,107	6,995	7,329	870	695	995	1,081	18	35											
Del.	98	101	156	385	6	2	1	3	N	N											
Md.	835	907	564	1,182	265	118	-	-	-	25											
D.C.	49	76	74	63	14	9	3	-	7	3											
Va.	1,068	1,200	426	981	97	73	N	N	N	N											
W. Va.	123	149	-	12	35	19	71	46	11	7											
N.C.	1,351	1,509	971	550	102	113	N	N	U	U											
S.C.	810	827	509	128	37	38	141	192	N	N											
Ga.	2,150	1,905	1,579	1,728	114	127	233	269	N	N											
Fla.	4,328	4,433	2,716	2,300	200	196	546	571	N	N											
E.S. CENTRAL	2,622	3,205	910	1,502	199	110	140	131	-	-											
Ky.	384	386	125	197	44	19	19	17	N	N											
Tenn.	732	819	369	158	155	91	121	114	N	N											
Ala.	531	847	249	808	-	-	-	-	N	N											
Miss.	975	1,153	167	339	-	-	-	-	-	-											
W.S. CENTRAL	4,617	4,564	4,458	3,206	337	288	60	187	75	30											
Ark.	773	1,040	97	194	5	8	8	11	-	-											
La.	523	783	298	490	1	1	52	176	9	10											
Okla.	450	498	833	573	88	46	N	N	43	8											
Tex.	2,871	2,243	3,230	1,949	243	233	N	N	23	12											
MOUNTAIN	2,203	2,167	1,216	906	438	553	27	49	5	4											
Mont.	110	89	2	4	2	-	-	-	-	-											
Idaho	170	159	33	15	19	11	N	N	N	N											
Wyo.	76	106	8	8	2	7	8	13	-	-											
Colo.	443	583	277	206	126	120	-	-	-	-											
N. Mex.	269	319	247	233	113	109	19	35	-	-											
Ariz.	741	521	533	354	163	275	-	-	N	N											
Utah	221	176	50	33	11	31	-	-	5	4											
Nev.	173	214	66	53	2	-	-	1	-	-											
PACIFIC	5,072	5,177	2,472	2,956	594	544	3	-	-	-											
Wash.	556	502	154	174	70	60	-	-	N	N											
Oreg.	411	330	210	108	N	N	N	N	N	N											
Calif.	3,793	4,004	2,055	2,600	399	380	N	N	N	N											
Alaska	96	81	10	5	-	-	-	-	N	N											
Hawaii	216	260	43	69	125	104	3	-	-	-											
Guam	-	42	-	36	-	-	-	4	-	-											
P.R.	350	540	8	31	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


