
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 13, 2013 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2013
Hepatitis (Viral Acute), Type A cummulative for 2012
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2013
Hepatitis (Viral Acute), Type B cummulative for 2012
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2013
Hepatitis (Viral Acute), Type C cummulative for 2012

tab delimited data:
test
UNITED STATES	14	27	49	318	417	20	57	88	577	963	7	32	58	329	463						
NEW ENGLAND	2	1	7	17	22	-	1	7	12	30	-	1	4	4	33						
Conn.	-	0	2	3	5	-	0	2	-	4	-	0	4	-	13						
Maine	-	0	2	3	5	-	0	1	6	5	-	0	2	1	1						
Mass.	-	1	4	7	9	-	1	5	6	18	-	0	3	1	17						
N.H.	1	0	1	2	3	-	0	2	-	2	N	0	0	N	N						
R.I.	1	0	1	1	-	U	0	0	U	U	U	0	0	U	U						
Vt.	-	0	1	1	-	-	0	1	-	1	-	0	1	2	2						
MID. ATLANTIC	2	3	10	49	65	1	3	9	38	82	2	3	11	43	60						
N.J.	-	0	4	4	17	-	0	4	-	25	-	0	3	8	19						
N.Y. (Upstate)	-	1	4	15	20	1	1	7	9	16	1	2	10	23	18						
N.Y. City	1	0	4	13	15	-	1	5	16	23	-	0	1	1	4						
Pa.	1	1	4	17	13	-	1	4	13	18	1	1	4	11	19						
E.N. CENTRAL	-	4	14	69	64	6	8	16	97	134	-	4	10	40	69						
Ill.	-	1	4	12	25	-	1	4	13	27	-	0	3	6	7						
Ind.	-	0	2	2	7	-	1	6	12	32	-	2	7	9	35						
Mich.	-	2	7	31	23	-	1	7	18	24	-	1	5	22	19						
Ohio	-	1	5	19	3	6	3	9	52	42	-	0	2	2	3						
Wis.	-	0	2	5	6	-	0	3	2	9	-	0	2	1	5						
W.N. CENTRAL	-	1	4	11	19	3	1	4	23	32	-	0	2	5	6						
Iowa	-	0	2	1	-	-	0	2	3	2	-	0	0	-	-						
Kans.	-	0	2	1	2	-	0	2	4	1	-	0	2	1	4						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	0	1	2	11	3	1	3	16	27	-	0	1	4	2						
Nebr.	-	0	3	5	6	-	0	1	-	2	-	0	1	-	-						
N. Dak.	-	0	1	2	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	2	-	-						
S. ATLANTIC	6	5	16	75	63	5	14	25	181	200	2	7	15	82	95						
Del.	-	0	2	1	2	-	0	2	2	5	U	0	0	U	U						
D.C.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Fla.	3	1	9	17	22	4	5	11	77	63	2	2	5	33	31						
Ga.	1	1	4	17	11	1	2	5	28	35	-	1	5	5	22						
Md.	1	0	3	4	7	-	1	4	14	23	-	1	3	14	9						
N.C.	1	1	4	18	5	-	1	5	14	20	-	1	6	12	13						
S.C.	-	0	1	3	3	-	1	4	9	10	-	0	1	-	-						
Va.	-	1	9	15	12	-	1	6	20	18	-	1	6	9	8						
W. Va.	-	0	2	-	1	-	2	10	17	26	-	1	5	9	12						
E.S. CENTRAL	-	2	5	17	12	1	10	21	131	169	-	6	12	87	94						
Ala.	-	0	2	-	3	-	1	5	21	24	-	0	2	4	7						
Ky.	-	0	3	11	1	-	3	8	33	55	-	4	9	59	52						
Miss.	-	0	2	1	1	-	1	4	12	19	U	0	0	U	U						
Tenn.	-	0	2	5	7	1	4	10	65	71	-	2	7	24	35						
W.S. CENTRAL	-	2	8	20	48	3	5	39	59	87	2	2	16	26	14						
Ark.	-	0	2	-	2	-	1	4	16	19	-	0	2	3	-						
La.	-	0	1	3	1	-	0	4	7	19	-	0	3	3	3						
Okla.	-	0	4	-	-	-	0	16	7	16	2	1	9	14	3						
Tex.	-	2	8	17	45	3	3	19	29	33	-	1	5	6	8						
MOUNTAIN	2	2	7	23	44	-	1	4	11	29	-	1	5	11	47						
Ariz.	1	1	5	15	21	-	0	1	1	6	U	0	0	U	U						
Colo.	1	0	3	1	12	-	0	2	-	7	-	0	3	-	16						
Idaho	-	0	2	2	4	-	0	1	2	-	-	0	2	5	6						
Mont.	-	0	2	1	2	-	0	1	-	-	-	0	3	3	-						
Nev.	-	0	1	1	3	-	0	2	7	12	-	0	1	2	6						
N. Mex.	-	0	2	2	1	-	0	1	1	-	-	0	3	-	8						
Utah	-	0	1	1	1	-	0	2	-	4	-	0	1	1	11						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	2	4	9	37	80	1	8	19	25	200	1	3	17	31	45						
Alaska	-	0	1	1	1	-	0	2	2	3	-	0	0	-	-						
Calif.	-	3	8	19	66	-	2	7	12	48	-	1	6	13	25						
Hawaii	-	0	1	2	3	-	4	15	2	136	-	0	0	-	-						
Oreg.	-	0	2	5	2	-	0	3	7	8	-	0	2	5	16						
Wash.	2	0	2	10	8	1	0	5	2	5	1	1	17	13	4						
Amer. Samoa	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	0	-	-	-	0	1	-	3	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


