
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 27, 1999 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1999
Legionellosis cummulative for 1998
Lyme Disease cummulative for 1999
Lyme Disease cummulative for 1998
Malaria cummulative for 1999
Malaria cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998
Rabies, Animal cummulative for 1999
Rabies, Animal cummulative for 1998

tab delimited data:
test
UNITED STATES	102	182	331	459	136	168	806	1,105	491	932	576										
NEW ENGLAND	10	15	52	70	2	6	13	13	36	48	91										
Maine	1	-	-	1	-	-	-	-	1	-	16										
N.H.	1	2	-	1	-	-	-	1	-	-	4										
Vt.	3	-	-	-	-	-	1	-	-	1	15										
Mass.	2	5	48	17	2	6	8	11	11	22	26										
R.I.	1	3	-	2	-	-	1	-	13	8	8										
Conn.	2	5	4	49	-	-	3	1	11	17	22										
MID. ATLANTIC	13	36	156	282	33	64	37	64	163	190	133										
Upstate N.Y.	5	9	62	87	12	13	2	4	3	20	90										
N.Y. City	-	9	1	9	6	38	14	7	95	124	U										
N.J.	3	1	85	37	13	7	1	15	65	46	32										
Pa.	5	17	8	149	2	6	20	38	U	U	11										
E.N. CENTRAL	30	66	16	15	12	16	159	147	28	17	1										
Ohio	14	20	10	10	2	1	14	35	U	U	-										
Ind.	5	9	5	4	4	1	32	28	U	U	-										
Ill.	-	13	-	-	-	7	106	56	U	U	-										
Mich.	11	11	1	1	5	6	7	15	24	-	1										
Wis.	-	13	U	U	1	1	-	13	4	17	-										
W.N. CENTRAL	1	11	4	5	5	6	3	26	41	45	56										
Minn.	-	-	-	-	-	-	-	1	23	18	15										
Iowa	1	-	1	5	2	1	1	-	-	-	14										
Mo.	-	6	-	-	3	4	-	18	13	25	-										
N. Dak.	-	-	1	-	-	-	-	-	-	-	15										
S. Dak.	-	-	-	-	-	-	-	-	2	-	-										
Nebr.	-	5	-	-	-	-	1	4	1	-	1										
Kans.	-	-	2	-	-	1	1	3	2	2	11										
S. ATLANTIC	25	23	60	60	41	35	322	409	90	208	244										
Del.	2	1	-	-	-	1	1	2	-	3	-										
Md.	1	6	47	56	14	17	66	115	U	U	55										
D.C.	-	2	1	2	5	2	10	13	7	17	-										
Va.	2	3	-	-	7	2	27	38	9	30	56										
W. Va.	N	N	-	-	1	-	1	-	5	10	13										
N.C.	3	3	10	-	1	4	90	114	37	101	56										
S.C.	4	3	-	-	-	-	43	47	32	47	11										
Ga.	-	-	-	2	4	6	37	29	U	U	28										
Fla.	13	5	2	-	9	3	47	51	U	U	25										
E.S. CENTRAL	3	8	6	9	3	5	156	205	41	72	19										
Ky.	-	4	-	-	-	-	-	23	U	U	-										
Tenn.	3	2	2	5	2	3	85	100	U	U	13										
Ala.	-	1	4	4	1	1	53	44	39	46	6										
Miss.	-	1	-	-	-	1	18	38	2	26	-										
W.S. CENTRAL	1	1	-	-	5	2	83	135	16	273	1										
Ark.	-	-	-	-	-	-	13	17	8	5	-										
La.	1	-	-	-	3	2	34	60	U	U	-										
Okla.	-	-	-	-	1	-	36	8	8	20	1										
Tex.	-	1	-	-	1	-	-	50	-	248	-										
MOUNTAIN	6	9	1	1	6	8	13	46	12	34	17										
Mont.	-	1	-	-	1	-	-	-	-	-	7										
Idaho	-	-	-	-	1	1	-	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	1	5										
Colo.	1	2	-	-	1	3	-	3	U	U	1										
N. Mex.	1	1	1	-	1	3	-	4	3	8	-										
Ariz.	-	-	-	-	2	-	13	34	U	U	4										
Utah	4	4	-	-	-	1	-	2	9	6	-										
Nev.	U	1	U	1	U	-	U	3	U	19	U										
PACIFIC	13	13	36	17	29	26	20	60	64	45	14										
Wash.	1	-	-	-	2	-	1	4	33	28	-										
Oreg.	-	-	-	-	3	5	-	1	U	U	-										
Calif.	12	13	36	17	23	21	18	55	U	U	14										
Alaska	-	-	-	-	-	-	-	-	6	4	-										
Hawaii	-	-	-	-	1	-	1	-	25	13	-										
Guam	-	1	-	-	-	-	-	-	-	13	-										
P.R.	-	-	-	-	-	-	41	36	-	6	6										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	-	-	-	-	-	3	-	11	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


