
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 18, 2009 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	31	99	239	3,196	3,561	8	33	122	972	1,085											
NEW ENGLAND	-	5	28	173	261	-	1	12	24	53											
Conn.	-	0	21	49	72	-	0	11	-	-											
Maine	-	0	3	12	17	-	0	1	2	1											
Mass.	-	2	10	60	125	-	1	2	15	41											
N.H.	-	1	4	30	16	-	0	1	5	7											
R.I.	-	0	2	9	20	-	0	2	-	4											
Vt.	-	0	3	13	11	-	0	1	2	-											
MID. ATLANTIC	2	18	38	611	742	-	4	33	143	142											
N.J.	-	1	5	5	136	-	0	4	14	41											
N.Y. (Upstate)	-	7	25	231	232	-	2	17	72	64											
N.Y. City	-	4	12	132	137	-	0	31	57	37											
Pa.	2	6	18	243	237	N	0	2	N	N											
E.N. CENTRAL	1	16	42	632	713	2	5	18	148	200											
Ill.	-	4	12	163	192	-	1	5	19	58											
Ind.	-	3	23	107	91	-	0	13	20	20											
Mich.	-	3	11	106	120	-	1	5	44	54											
Ohio	1	4	13	162	199	2	1	6	46	36											
Wis.	-	2	10	94	111	-	1	4	19	32											
W.N. CENTRAL	2	6	37	276	266	-	2	11	80	52											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	29	N	0	1	N	N											
Minn.	-	0	34	118	127	-	0	10	41	12											
Mo.	-	2	8	61	62	-	0	4	26	24											
Nebr.	2	1	3	32	25	-	0	1	5	6											
N. Dak.	-	0	4	11	8	-	0	3	4	5											
S. Dak.	-	0	3	17	15	-	0	2	4	5											
S. ATLANTIC	12	22	47	729	701	5	6	16	202	209											
Del.	-	0	1	9	6	-	0	0	-	-											
D.C.	-	0	2	-	8	N	0	0	N	N											
Fla.	3	6	12	170	155	1	1	6	47	39											
Ga.	2	5	13	169	158	-	2	6	49	55											
Md.	3	3	10	116	130	4	1	3	44	41											
N.C.	-	2	12	76	89	N	0	0	N	N											
S.C.	2	1	5	47	41	-	1	6	33	34											
Va.	2	3	9	113	87	-	0	4	18	35											
W. Va.	-	1	4	29	27	-	0	3	11	5											
E.S. CENTRAL	3	4	10	129	120	-	1	6	37	57											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	23	27	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	8											
Tenn.	3	3	9	106	93	-	1	6	37	49											
W.S. CENTRAL	9	9	79	282	298	1	6	46	175	164											
Ark.	-	0	2	12	7	1	0	4	18	10											
La.	-	0	3	9	12	-	0	3	13	9											
Okla.	3	3	20	98	70	-	1	7	33	47											
Tex.	6	6	59	163	209	-	4	34	111	98											
MOUNTAIN	1	9	22	282	379	-	4	16	145	176											
Ariz.	1	3	7	96	132	-	2	10	80	82											
Colo.	-	3	9	97	96	-	1	4	30	40											
Idaho	-	0	2	4	12	-	0	2	6	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	6	-	0	1	-	2											
N. Mex.	-	2	7	52	93	-	0	4	15	25											
Utah	-	1	6	27	34	-	0	4	14	23											
Wyo.	-	0	1	1	6	-	0	1	-	1											
PACIFIC	1	3	9	82	81	-	0	3	18	32											
Alaska	-	0	4	10	17	-	0	2	13	21											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	3	8	72	64	-	0	2	5	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


