
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 12, 2000 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	97	123	1,097	1,724	403	541	-	1	-	-	1	13									
NEW ENGLAND	6	9	18	27	6	16	-	-	-	-	-	-									
Maine	-	-	1	2	1	-	-	-	-	-	-	-									
N.H.	1	1	4	2	3	2	-	-	-	-	-	-									
Vt.	1	2	1	-	2	-	-	-	-	-	-	-									
Mass.	4	6	3	10	-	6	-	-	-	-	-	-									
R.I.	-	-	-	-	-	2	-	-	-	-	-	-									
Conn.	-	-	9	13	-	6	-	-	-	-	-	-									
MID. ATLANTIC	12	19	38	115	23	82	-	-	-	-	-	-									
Upstate N.Y.	10	9	26	12	6	12	-	-	-	-	-	-									
N.Y. City	-	6	12	47	17	23	-	-	-	-	-	-									
N.J.	1	4	-	24	-	14	U	-	U	-	-	-									
Pa.	1	-	-	32	-	33	-	-	-	-	-	-									
E.N. CENTRAL	13	24	126	465	58	63	-	1	-	-	1	-									
Ohio	8	11	52	77	13	14	-	-	-	-	-	-									
Ind.	2	1	2	9	1	4	-	-	-	-	-	-									
Ill.	2	12	10	93	-	-	-	-	-	-	-	-									
Mich.	1	-	61	278	44	41	-	1	-	-	1	-									
Wis.	-	-	1	8	-	4	-	-	-	-	-	-									
W.N. CENTRAL	2	5	109	95	17	28	-	-	-	-	-	-									
Minn.	-	-	12	-	-	-	-	-	-	-	-	-									
Iowa	-	1	11	7	2	2	-	-	-	-	-	-									
Mo.	1	2	80	73	14	18	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	U	-	U	-	-	-									
S. Dak.	-	1	-	-	-	-	U	-	U	-	-	-									
Nebr.	1	-	6	9	1	6	-	-	-	-	-	-									
Kans.	-	1	-	6	-	2	U	-	U	-	-	-									
S. ATLANTIC	35	23	98	131	65	75	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	17	17	18	49	17	32	-	-	-	-	-	-									
D.C.	-	-	-	7	-	-	-	-	-	-	-	-									
Va.	8	-	16	9	15	6	-	-	-	-	-	-									
W. Va.	1	1	7	-	-	-	-	-	-	-	-	-									
N.C.	3	2	20	19	11	26	-	-	-	-	-	-									
S.C.	1	2	2	1	1	8	-	-	-	-	-	-									
Ga.	4	1	4	46	-	3	-	-	-	-	-	-									
Fla.	1	-	31	-	21	-	-	-	-	-	-	-									
E.S. CENTRAL	3	10	51	54	31	44	-	-	-	-	-	-									
Ky.	-	2	2	9	1	2	-	-	-	-	-	-									
Tenn.	2	4	15	18	23	23	-	-	-	-	-	-									
Ala.	1	3	8	18	2	11	-	-	-	-	-	-									
Miss.	-	1	26	9	5	8	-	-	-	-	-	-									
W.S. CENTRAL	-	6	133	172	6	44	-	-	-	-	-	2									
Ark.	-	-	11	3	6	7	-	-	-	-	-	-									
La.	-	-	-	1	-	1	U	-	U	-	-	-									
Okla.	-	5	-	61	-	10	-	-	-	-	-	-									
Tex.	-	1	122	107	-	26	-	-	-	-	-	2									
MOUNTAIN	18	16	85	181	42	57	-	-	-	-	-	-									
Mont.	-	1	1	1	1	-	-	-	-	-	-	-									
Idaho	1	1	3	4	3	4	-	-	-	-	-	-									
Wyo.	-	1	-	1	-	-	-	-	-	-	-	-									
Colo.	5	1	26	40	11	13	-	-	-	-	-	-									
N. Mex.	5	3	9	5	12	20	-	-	-	-	-	-									
Ariz.	6	6	31	99	14	9	-	-	-	-	-	-									
Utah	1	3	8	12	-	5	-	-	-	-	-	-									
Nev.	-	-	7	19	1	6	-	-	-	-	-	-									
PACIFIC	8	11	439	484	155	132	-	-	-	-	-	11									
Wash.	2	-	3	8	1	1	-	-	-	-	-	2									
Oreg.	2	3	27	22	13	7	-	-	-	-	-	8									
Calif.	-	7	406	451	138	121	-	-	-	-	-	1									
Alaska	1	1	3	2	2	2	-	-	-	-	-	-									
Hawaii	3	-	-	1	1	1	-	-	-	-	-	-									
Guam	-	-	-	2	-	1	U	-	U	-	-	-									
P.R.	-	-	-	7	-	14	U	-	U	-	-	-									
V.I.	-	U	-	U	-	U	U	-	U	-	-	U									
Amer. Samoa	-	U	-	U	-	U	U	-	U	-	-	U									
C.N.M.I.	-	U	-	U	-	U	U	-	U	-	-	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


