
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 17, 2004 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	15,888	18,063	5,406	12,104	2,887	3,804	1,315	1,298	352	450											
NEW ENGLAND	831	933	127	156	135	348	15	70	7	5											
Maine	37	55	2	6	6	20	2	-	1	-											
N.H.	51	65	5	4	15	23	-	-	N	N											
Vt.	26	34	2	5	8	16	7	6	1	2											
Mass.	482	559	79	104	89	151	N	N	N	N											
R.I.	48	40	8	4	17	5	6	10	5	3											
Conn.	187	180	31	33	-	133	-	54	U	U											
MID. ATLANTIC	2,215	2,147	622	1,265	477	674	98	84	70	66											
Upstate N.Y.	512	439	301	166	162	254	46	43	49	48											
N.Y. City	552	585	178	200	71	93	U	U	U	U											
N.J.	303	379	87	211	90	136	-	-	2	2											
Pa.	848	744	56	688	154	191	52	41	19	16											
E.N. CENTRAL	1,898	2,657	377	1,045	589	944	319	301	95	196											
Ohio	595	668	84	190	162	223	229	200	56	69											
Ind.	188	248	87	74	69	86	90	101	22	17											
Ill.	321	1,026	87	563	131	239	-	-	-	76											
Mich.	416	357	60	146	200	274	N	N	N	N											
Wis.	378	358	59	72	27	122	N	N	17	34											
W.N. CENTRAL	1,179	1,031	191	386	201	229	11	9	50	52											
Minn.	275	254	24	47	103	110	-	-	37	36											
Iowa	238	176	40	25	N	N	N	N	N	N											
Mo.	333	330	81	201	41	49	8	6	5	2											
N. Dak.	19	23	2	6	9	11	-	3	2	4											
S. Dak.	52	39	7	9	9	18	3	-	-	-											
Nebr.	77	74	9	63	10	21	-	-	4	5											
Kans.	185	135	28	35	29	20	N	N	2	5											
S. ATLANTIC	3,768	4,057	1,446	3,770	560	615	670	679	26	12											
Del.	19	46	3	144	3	6	4	1	N	N											
Md.	362	390	62	297	118	156	-	4	15	-											
D.C.	24	15	22	32	4	5	4	-	3	4											
Va.	438	413	69	208	45	79	N	N	N	N											
W. Va.	88	55	-	-	17	27	80	43	8	8											
N.C.	465	532	153	470	84	66	N	N	U	U											
S.C.	241	208	204	239	35	30	54	101	N	N											
Ga.	603	712	327	792	116	122	150	154	N	N											
Fla.	1,528	1,686	606	1,588	138	124	378	376	N	N											
E.S. CENTRAL	947	1,135	308	531	135	131	77	96	-	-											
Ky.	161	191	42	59	46	34	20	11	N	N											
Tenn.	217	342	109	180	89	97	57	85	N	N											
Ala.	278	268	127	178	-	-	-	-	N	N											
Miss.	291	334	30	114	-	-	-	-	-	-											
W.S. CENTRAL	1,395	2,629	1,245	3,332	164	175	36	51	71	69											
Ark.	235	271	35	53	10	5	6	17	7	4											
La.	241	367	158	265	1	1	30	34	12	14											
Okla.	170	180	264	481	43	56	N	N	30	32											
Tex.	749	1,811	788	2,533	110	113	N	N	22	19											
MOUNTAIN	1,129	1,044	388	491	336	327	20	4	33	50											
Mont.	73	49	4	2	-	1	-	-	-	-											
Idaho	88	96	6	11	5	13	N	N	N	N											
Wyo.	25	49	1	1	6	1	6	3	-	-											
Colo.	268	259	67	79	86	86	-	-	29	38											
N. Mex.	109	99	59	101	59	83	5	-	-	8											
Ariz.	363	312	209	243	151	121	N	N	N	N											
Utah	117	99	21	26	28	21	7	1	4	4											
Nev.	86	81	21	28	1	1	2	-	-	-											
PACIFIC	2,526	2,430	702	1,128	290	361	69	4	-	-											
Wash.	248	289	57	94	34	29	-	-	N	N											
Oreg.	201	216	35	54	N	N	N	N	N	N											
Calif.	1,851	1,774	583	958	206	267	N	N	N	N											
Alaska	37	49	4	4	-	-	-	-	N	N											
Hawaii	189	102	23	18	50	65	69	4	-	-											
Guam	-	24	-	23	-	-	-	-	-	-											
P.R.	84	317	1	6	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


