
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2002 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2002
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2002
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2002
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2001

tab delimited data:
test
UNITED STATES	-	4	-	1	-	228	-	63	-	127											
NEW ENGLAND	-	-	-	-	-	9	-	-	-	2											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	-	-											
Mass.	-	-	-	-	-	6	-	-	-	2											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	-	-	3	-	-	-	-											
MID. ATLANTIC	-	1	-	-	-	21	-	23	-	57											
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-											
N.Y. City	-	1	-	-	-	10	-	9	-	-											
N.J.	-	-	-	-	-	10	-	12	-	57											
Pa.	-	-	-	-	-	1	-	2	-	-											
E.N. CENTRAL	-	-	-	-	-	114	-	6	-	10											
Ohio	-	-	-	-	-	1	-	2	-	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	-	-	-	-	96	-	-	-	8											
Mich.	-	-	-	-	-	16	-	4	-	2											
Wis.	-	-	-	-	-	1	-	-	-	-											
W.N. CENTRAL	-	-	-	-	-	6	-	7	-	38											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	-	-											
Mo.	-	-	-	-	-	3	-	6	-	38											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	1	-	-											
Nebr.	-	-	-	-	-	1	-	-	-	-											
Kans.	-	-	-	-	-	2	-	-	-	-											
S. ATLANTIC	-	2	-	-	-	3	-	5	-	-											
Del.	-	-	-	-	-	-	-	-	-	-											
Md.	-	-	-	-	-	2	-	2	-	-											
D.C.	-	-	-	-	-	1	-	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	-	-	-	3	-	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	-	2	-	-	-	-	-	-	-	-											
Fla.	-	-	-	-	-	-	-	-	-	-											
E.S. CENTRAL	-	-	-	-	-	2	-	1	-	2											
Ky.	-	-	-	-	-	1	-	-	-	-											
Tenn.	-	-	-	-	-	1	-	-	-	-											
Ala.	-	-	-	-	-	-	-	-	-	-											
Miss.	-	-	-	-	-	-	-	1	-	2											
W.S. CENTRAL	-	-	-	-	-	41	-	3	-	18											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	-	-	-	-	1	-	3	-	5											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	-	-	40	-	-	-	13											
MOUNTAIN	-	1	-	1	-	7	-	2	-	-											
Mont.	-	-	-	-	-	2	-	-	-	-											
Idaho	-	-	-	-	-	1	-	1	-	-											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	-	-	-	-	-	3	-	1	-	-											
N. Mex.	-	1	-	1	-	1	-	-	-	-											
Ariz.	-	-	-	-	-	-	-	-	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	-	-	-	-	-	25	-	16	-	-											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	-	-	-	-	-	-	-	-	-	-											
Calif.	-	-	-	-	-	24	-	15	-	-											
Alaska	-	-	-	-	-	1	-	1	-	-											
Hawaii	-	-	-	-	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


