
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 18, 1999 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	30,285	32,804	409,305	415,063	1,396	2,788	2,039	2,051	1,325	1,662											
NEW ENGLAND	1,532	1,274	14,082	14,438	89	118	223	258	225	223											
Maine	51	22	739	680	19	25	25	29	-	-											
N.H.	36	25	672	689	10	12	24	34	26	40											
Vt.	11	17	340	298	26	21	23	12	12	10											
Mass.	1,005	684	6,509	5,890	33	55	128	126	115	130											
R.I.	73	93	1,630	1,633	1	5	23	11	6	1											
Conn.	356	433	4,192	5,248	-	-	U	46	66	42											
MID. ATLANTIC	7,780	9,314	47,543	42,952	230	417	142	218	47	76											
Upstate N.Y.	890	1,100	N	N	100	246	112	151	-	-											
N.Y. City	4,062	5,216	21,963	18,720	107	155	6	11	14	12											
N.J.	1,476	1,685	7,025	8,260	13	16	24	56	32	44											
Pa.	1,352	1,313	18,555	15,972	10	N	N	N	1	20											
E.N. CENTRAL	1,980	2,377	59,167	70,053	263	543	411	334	311	287											
Ohio	291	509	17,240	18,620	33	53	139	87	112	55											
Ind.	247	376	7,041	7,563	26	41	60	74	32	40											
Ill.	933	881	20,358	18,912	17	61	135	94	81	66											
Mich.	405	466	14,528	15,203	37	31	77	79	48	54											
Wis.	104	145	U	9,755	150	357	N	N	38	72											
W.N. CENTRAL	678	604	24,144	24,576	158	219	446	314	223	310											
Minn.	114	118	4,847	4,932	60	77	183	120	124	165											
Iowa	62	51	2,934	3,168	46	56	88	74	37	47											
Mo.	340	281	8,595	8,851	21	18	34	37	41	48											
N. Dak.	4	4	325	709	14	25	10	10	1	13											
S. Dak.	13	13	1,135	1,098	6	19	38	22	13	28											
Nebr.	45	56	2,082	1,911	10	20	72	29	-	-											
Kans.	100	81	4,226	3,907	1	4	21	22	7	9											
S. ATLANTIC	8,314	8,433	87,529	79,977	256	210	227	169	129	132											
Del.	112	104	1,902	1,799	-	3	6	-	3	2											
Md.	889	1,035	7,447	5,344	11	14	13	30	-	14											
D.C.	321	635	N	N	8	6	-	1	U	U											
Va.	508	685	10,135	9,712	18	12	56	N	42	46											
W. Va.	46	65	1,204	1,716	2	1	8	8	4	7											
N.C.	552	636	15,777	15,537	6	N	49	43	46	37											
S.C.	764	504	8,449	12,980	-	-	17	8	14	7											
Ga.	1,235	858	21,374	16,298	110	73	23	56	-	-											
Fla.	3,887	3,911	21,241	16,591	101	101	55	23	20	19											
E.S. CENTRAL	1,363	1,381	32,681	28,903	21	19	91	91	50	52											
Ky.	201	193	5,033	4,477	5	8	25	28	-	-											
Tenn.	540	489	10,028	9,481	6	6	43	38	30	33											
Ala.	337	394	9,204	7,173	8	N	19	20	16	17											
Miss.	285	305	8,416	7,772	2	5	4	5	4	2											
W.S. CENTRAL	3,201	3,860	60,408	63,057	51	838	67	75	74	78											
Ark.	123	159	4,195	2,758	1	6	9	8	7	8											
La.	596	686	10,879	10,440	22	14	9	4	11	4											
Okla.	94	238	5,637	7,018	6	N	16	12	12	6											
Tex.	2,388	2,777	39,697	42,841	22	818	33	51	44	60											
MOUNTAIN	1,174	1,102	22,918	23,045	75	106	195	272	86	200											
Mont.	7	23	1,099	924	10	9	13	14	-	5											
Idaho	16	19	1,200	1,370	7	16	26	31	8	19											
Wyo.	6	1	504	485	1	-	10	51	5	54											
Colo.	208	230	4,617	5,674	10	15	71	57	40	46											
N. Mex.	67	178	2,814	2,508	32	42	8	17	4	15											
Ariz.	607	384	8,935	8,094	9	16	24	33	15	25											
Utah	102	91	1,521	1,564	N	N	30	56	12	21											
Nev.	161	176	2,228	2,426	6	8	13	13	2	15											
PACIFIC	4,263	4,459	60,833	68,062	253	318	237	320	180	304											
Wash.	250	300	8,325	7,809	N	N	80	66	64	86											
Oreg.	136	129	3,988	3,830	80	49	54	N	55	85											
Calif.	3,803	3,882	45,184	53,331	173	266	97	159	52	120											
Alaska	13	17	1,350	1,327	-	-	1	4	-	-											
Hawaii	61	131	1,986	1,765	-	3	5	-	9	13											
Guam	5	-	226	287	-	-	N	N	U	U											
P.R.	936	1,243	U	U	-	N	5	5	U	U											
V.I.	25	24	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


