
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 2, 2010 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	53	265	1,697	13,506	11,581	38	65	140	3,581	4,135	9	22	179	1,393	2,384						
NEW ENGLAND	-	12	24	592	1,034	-	6	24	353	426	-	0	2	11	7						
Conn.	-	1	4	48	53	-	2	22	150	200	-	0	0	-	-						
Maine	-	1	10	78	49	-	1	4	55	63	-	0	2	5	1						
Mass.	-	7	18	348	788	-	0	0	-	-	-	0	1	5	2						
N.H.	-	1	7	76	46	-	0	3	33	56	-	0	0	-	1						
R.I.	-	0	7	31	86	-	1	7	51	34	-	0	0	-	3						
Vt.	-	0	1	11	12	-	1	5	64	73	-	0	1	1	-						
MID. ATLANTIC	4	21	44	1,101	1,267	4	11	23	576	933	-	1	6	67	153						
N.J.	-	3	11	158	237	-	0	0	-	-	-	0	1	-	84						
N.Y. (Upstate)	2	4	15	252	456	4	7	22	436	494	-	0	3	11	43						
N.Y. City	-	1	21	92	93	-	0	3	22	19	-	0	4	33	11						
Pa.	2	12	29	599	481	-	0	16	118	420	-	0	2	23	15						
E.N. CENTRAL	34	55	238	2,990	2,014	-	2	19	223	255	-	1	7	88	150						
Ill.	-	12	33	570	610	-	1	9	87	103	-	0	6	50	110						
Ind.	-	6	158	338	112	-	0	6	23	10	-	0	3	13	6						
Mich.	3	14	40	854	312	-	1	6	66	78	-	0	2	5	3						
Ohio	31	18	57	1,096	788	-	0	5	47	64	-	0	4	18	31						
Wis.	-	3	12	132	192	N	0	0	N	N	-	0	1	2	-						
W.N. CENTRAL	2	30	872	1,678	1,455	-	7	18	325	306	-	3	27	341	437						
Iowa	-	3	10	192	250	-	0	3	24	29	-	0	1	4	8						
Kans.	-	3	9	146	99	-	1	6	60	66	-	0	1	2	-						
Minn.	-	0	808	165	226	-	0	11	61	64	-	0	2	4	-						
Mo.	1	19	47	975	539	-	1	5	65	64	-	3	26	319	406						
Nebr.	1	2	11	141	273	-	1	6	77	34	-	0	2	12	20						
N. Dak.	-	0	24	29	1	-	0	9	11	25	-	0	1	-	-						
S. Dak.	-	0	6	30	67	-	0	4	27	24	-	0	0	-	3						
