
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending August 5, 2006 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Neuroinvasive cummulative for 2005
West Nile virus disease † Non-neuroinvasive current week
West Nile virus disease † Non-neuroinvasive previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive cummulative for 2005

tab delimited data:
test
UNITED STATES	3	1	155	84	330	9	0	203	102	525											
NEW ENGLAND	-	0	3	-	-	-	0	2	-	-											
Conn.	-	0	2	-	-	-	0	1	-	-											
Maine	-	0	0	-	-	-	0	0	-	-											
Mass.	-	0	3	-	-	-	0	1	-	-											
N.H.	-	0	0	-	-	-	0	0	-	-											
R.I.	-	0	1	-	-	-	0	0	-	-											
Vt.	-	0	0	-	-	-	0	0	-	-											
MID. ATLANTIC	-	0	10	4	2	-	0	4	-	4											
N.J.	-	0	1	-	-	-	0	2	-	-											
N.Y. (Upstate)	-	0	7	-	-	-	0	2	-	-											
N.Y. City	-	0	2	1	-	-	0	2	-	-											
Pa.	-	0	3	3	2	-	0	2	-	4											
E.N. CENTRAL	-	0	39	2	32	-	0	18	-	23											
Ill.	-	0	25	-	20	-	0	16	-	22											
Ind.	-	0	2	1	1	-	0	1	-	-											
Mich.	-	0	14	1	1	-	0	3	-	-											
Ohio	-	0	9	-	8	-	0	4	-	-											
Wis.	-	0	3	-	2	-	0	2	-	1											
W.N. CENTRAL	1	0	26	20	40	1	0	80	26	130											
Iowa	-	0	3	1	-	-	0	5	3	3											
Kans.	-	0	3	-	1	-	0	1	1	N											
Minn.	1	0	5	6	4	-	0	5	3	7											
Mo.	-	0	4	1	5	-	0	3	-	1											
Nebr.	-	0	9	4	10	-	0	24	4	22											
N. Dak.	-	0	4	-	5	-	0	15	5	21											
S. Dak.	-	0	7	8	15	1	0	33	10	76											
S. ATLANTIC	-	0	6	-	8	-	0	3	-	11											
Del.	-	0	1	-	-	-	0	0	-	-											
D.C.	-	0	1	-	-	-	0	1	-	-											
Fla.	-	0	2	-	6	-	0	2	-	9											
Ga.	-	0	3	-	-	-	0	3	-	1											
Md.	-	0	2	-	-	-	0	1	-	-											
N.C.	-	0	1	-	1	-	0	1	-	1											
S.C.	-	0	1	-	1	-	0	0	-	-											
Va.	-	0	0	-	-	-	0	1	-	-											
W. Va.	-	0	0	-	-	N	0	0	N	N											
E.S. CENTRAL	-	0	10	11	9	-	0	5	5	5											
Ala.	-	0	1	-	2	-	0	2	-	1											
Ky.	-	0	1	-	-	-	0	0	-	-											
Miss.	-	0	9	11	7	-	0	5	5	4											
Tenn.	-	0	3	-	-	-	0	1	-	-											
W.S. CENTRAL	-	0	32	20	86	-	0	22	-	47											
Ark.	-	0	3	-	2	-	0	2	-	5											
La.	-	0	20	-	46	-	0	9	-	24											
Okla.	-	0	6	3	2	-	0	3	-	-											
Tex.	-	0	16	17	36	-	0	13	-	18											
MOUNTAIN	2	0	16	20	25	8	0	39	60	53											
Ariz.	-	0	8	2	8	-	0	8	2	13											
Colo.	-	0	5	3	3	-	0	13	8	28											
Idaho	-	0	2	6	-	8	0	12	38	1											
Mont.	-	0	3	-	1	-	0	9	-	1											
Nev.	2	0	3	6	4	-	0	8	10	3											
N. Mex.	-	0	3	-	5	-	0	4	-	3											
Utah	-	0	6	3	4	-	0	8	2	3											
Wyo.	-	0	2	-	-	-	0	1	-	1											
PACIFIC	-	0	50	7	128	-	0	90	11	252											
Alaska	-	0	0	-	-	-	0	0	-	-											
Calif.	-	0	50	7	128	-	0	89	11	248											
Hawaii	-	0	0	-	-	-	0	0	-	-											
Oreg.	-	0	1	-	-	-	0	2	-	4											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	-	0	0	-	-	-	0	0	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious 
Diseases (ArboNet Surveillance).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


