
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2002 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Congenital) cummulative for 2002
Syphilis (Congenital) cummulative for 2001
Tuberculosis cummulative for 2002
Tuberculosis cummulative for 2001
Typhoid Fever cummulative for 2002
Typhoid Fever cummulative for 2001

tab delimited data:
test
UNITED STATES	261	299	-	29	172	353	5	7													
NEW ENGLAND	1	2	-	-	9	6	2	1													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	1	-	-													
Mass.	1	-	-	-	-	2	1	1													
R.I.	-	-	-	-	3	-	-	-													
Conn.	-	2	-	-	6	3	1	-													
MID. ATLANTIC	5	27	-	4	36	27	2	-													
Upstate N.Y.	-	1	-	2	-	4	-	-													
N.Y. City	4	14	-	-	17	8	2	-													
N.J.	-	2	-	2	-	10	-	-													
Pa.	1	10	-	-	19	5	-	-													
E.N. CENTRAL	33	28	-	2	24	29	-	2													
Ohio	5	3	-	-	10	6	-	-													
Ind.	3	6	-	-	7	9	-	-													
Ill.	7	18	-	2	6	12	-	1													
Mich.	18	-	-	-	-	-	-	1													
Wis.	-	1	-	-	1	2	-	-													
W.N. CENTRAL	1	6	-	1	23	9	-	1													
Minn.	-	5	-	-	5	6	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	1	1	-	-	18	2	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	1	-	-													
Kans.	-	-	-	1	-	-	-	-													
S. ATLANTIC	87	115	-	9	9	31	1	1													
Del.	1	-	-	-	-	-	-	-													
Md.	7	18	-	1	-	-	-	1													
D.C.	3	-	-	-	-	3	-	-													
Va.	3	7	-	-	-	1	-	-													
W. Va.	-	-	-	-	3	4	-	-													
N.C.	30	33	-	-	2	2	-	-													
S.C.	7	18	-	2	2	5	-	-													
Ga.	11	15	-	3	2	15	1	-													
Fla.	25	24	-	3	-	1	-	-													
E.S. CENTRAL	43	33	-	-	12	16	-	-													
Ky.	1	3	-	-	4	-	-	-													
Tenn.	20	14	-	-	-	-	-	-													
Ala.	20	8	-	-	8	14	-	-													
Miss.	2	8	-	-	-	2	-	-													
W.S. CENTRAL	53	46	-	5	3	105	-	1													
Ark.	-	5	-	2	2	9	-	-													
La.	14	10	-	-	-	-	-	-													
Okla.	7	3	-	1	1	-	-	-													
Tex.	32	28	-	2	-	96	-	1													
MOUNTAIN	21	9	-	1	7	19	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	-	-	-	-	2	-	-													
N. Mex.	3	-	-	-	2	3	-	-													
Ariz.	16	5	-	1	4	6	-	-													
Utah	1	4	-	-	1	-	-	-													
Nev.	-	-	-	-	-	8	-	-													
PACIFIC	17	33	-	7	49	111	-	1													
Wash.	1	8	-	-	9	12	-	-													
Oreg.	-	2	-	-	-	5	-	-													
Calif.	16	21	-	7	31	79	-	1													
Alaska	-	-	-	-	1	5	-	-													
Hawaii	-	2	-	-	8	10	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	21	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	1	U	-	U	2	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


