
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 4, 1997 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1997
Legionellosis cummulative for 1996
Lyme Disease cummulative for 1997
Lyme Disease cummulative for 1996
Malaria cummulative for 1997
Malaria cummulative for 1996
Syphilis (Primary and Secondary) cummulative for 1997
Syphilis (Primary and Secondary) cummulative for 1996
Tuberculosis cummulative for 1997
Tuberculosis cummulative for 1996
Rabies, Animal cummulative for 1997
Rabies, Animal cummulative for 1996

tab delimited data:
test
UNITED STATES	7	18	4	31	2	15	52	157	43	95	67										
NEW ENGLAND	-	1	-	-	-	-	1	4	-	2	2										
Maine	-	-	-	-	-	-	-	-	-	-	-										
N.H.	-	-	-	-	-	-	-	-	-	-	-										
Vt.	-	-	-	-	-	-	-	-	-	-	-										
Mass.	-	-	-	-	-	-	1	1	-	-	2										
R.I.	-	1	-	-	-	-	-	-	-	2	-										
Conn.	N	N	-	-	-	-	-	3	-	-	-										
MID. ATLANTIC	-	2	-	24	-	11	-	-	-	1	24										
Upstate N.Y.	-	-	-	-	-	-	-	-	-	1	24										
N.Y. City	-	-	-	5	-	5	-	-	-	-	-										
N.J.	-	1	-	11	-	6	-	-	-	-	-										
Pa.	-	1	-	8	-	-	-	-	-	-	-										
E.N. CENTRAL	7	7	4	-	-	1	3	42	32	12	-										
Ohio	2	1	1	-	-	-	1	21	21	-	-										
Ind.	3	2	3	-	-	-	1	2	-	-	-										
Ill.	-	1	-	-	-	1	1	15	11	12	-										
Mich.	2	3	-	-	-	-	-	-	-	-	-										
Wis.	-	-	U	U	-	-	-	4	-	-	-										
W.N. CENTRAL	-	1	-	-	-	1	-	14	-	-	5										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	-	-	-	-	-	-	5										
Mo.	-	1	-	-	-	1	-	9	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	5	-	-	-										
S. ATLANTIC	-	1	-	7	-	-	26	36	1	2	35										
Del.	-	-	-	1	-	-	-	-	-	2	-										
Md.	-	1	-	6	-	-	-	-	-	-	-										
D.C.	-	-	-	-	-	-	-	2	1	-	-										
Va.	-	-	-	-	-	-	7	14	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	-	-	10	-	-	-	32										
S.C.	-	-	-	-	-	-	-	-	-	-	-										
Ga.	-	-	-	-	-	-	7	16	-	-	1										
Fla.	-	-	-	-	-	-	2	4	-	-	2										
E.S. CENTRAL	-	3	-	-	-	-	9	46	5	7	1										
Ky.	-	3	-	-	-	-	2	7	-	1	1										
Tenn.	-	-	-	-	-	-	-	5	-	-	-										
Ala.	-	-	-	-	-	-	7	18	5	6	-										
Miss.	-	-	-	-	-	-	-	16	-	-	-										
W.S. CENTRAL	-	-	-	-	-	-	13	5	-	9	-										
Ark.	-	-	-	-	-	-	-	5	-	-	-										
La.	-	-	-	-	-	-	11	-	-	-	-										
Okla.	-	-	-	-	-	-	2	-	-	9	-										
Tex.	-	-	-	-	-	-	-	-	-	-	-										
MOUNTAIN	-	-	-	-	-	-	-	7	-	1	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	-	-	-	-	-	-	-	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	-	-	-	-	-	-	-	-	-	-										
N. Mex.	-	-	-	-	-	-	-	-	-	-	-										
Ariz.	-	-	-	-	-	-	-	5	-	1	-										
Utah	-	-	-	-	-	-	-	-	-	-	-										
Nev.	-	-	-	-	-	-	-	2	-	-	-										
PACIFIC	-	3	-	-	2	2	-	3	5	61	-										
Wash.	-	-	-	-	-	-	-	-	-	5	-										
Oreg.	-	-	-	-	1	1	-	-	-	-	-										
Calif.	-	3	-	-	1	1	-	3	2	53	-										
Alaska	-	-	-	-	-	-	-	-	-	3	-										
Hawaii	-	-	-	-	-	-	-	-	3	-	-										
Guam	-	-	-	-	-	-	-	1	-	-	-										
P.R.	-	-	-	-	-	-	3	-	-	-	-										
V.I.	-	-	-	-	-	-	-	-	-	-	-										
Amer. Samoa	-	-	-	-	-	-	-	-	-	-	-										
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


