
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 23, 2005 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	719	704	2	3	37	36	70	70													
NEW ENGLAND	50	64	-	1	4	5	2	-													
Maine	2	5	-	-	-	-	-	-													
N.H.	-	11	-	-	-	2	-	-													
Vt.	6	4	-	-	-	-	2	-													
Mass.	19	32	-	1	-	2	-	-													
R.I.	6	1	-	-	2	-	-	-													
Conn.	17	11	-	-	2	1	-	-													
MID. ATLANTIC	140	147	-	-	-	2	19	19													
Upstate N.Y.	43	48	-	-	-	2	4	2													
N.Y. City	23	29	-	-	-	-	6	6													
N.J.	29	29	-	-	-	-	5	2													
Pa.	45	41	-	-	-	-	4	9													
E.N. CENTRAL	92	130	-	-	-	6	3	21													
Ohio	49	46	-	-	-	2	2	7													
Ind.	25	18	-	-	-	3	1	1													
Ill.	4	35	-	-	-	-	-	9													
Mich.	9	9	-	-	-	1	-	3													
Wis.	5	22	-	-	-	-	-	1													
W.N. CENTRAL	35	31	-	-	2	2	6	4													
Minn.	16	12	-	-	2	2	-	-													
Iowa	-	1	-	-	-	-	-	1													
Mo.	15	12	-	-	-	-	4	3													
N. Dak.	1	1	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	2	4	-	-	-	-	1	-													
Kans.	1	1	-	-	-	-	-	-													
S. ATLANTIC	201	162	1	-	8	7	13	9													
Del.	-	-	-	-	-	-	-	-													
Md.	31	32	-	-	3	1	1	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	17	12	-	-	-	-	-	-													
W. Va.	13	8	-	-	1	3	2	-													
N.C.	25	17	-	-	2	1	-	-													
S.C.	8	2	-	-	-	-	1	-													
Ga.	55	47	-	-	-	-	6	9													
Fla.	52	44	1	-	2	2	3	-													
E.S. CENTRAL	34	23	-	-	1	-	6	5													
Ky.	2	-	-	-	1	-	-	-													
Tenn.	25	15	-	-	-	-	4	4													
Ala.	7	8	-	-	-	-	2	1													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	40	30	1	-	2	4	5	-													
Ark.	-	-	-	-	-	-	-	-													
La.	15	8	1	-	-	-	5	-													
Okla.	25	22	-	-	2	4	-	-													
Tex.	-	-	-	-	-	-	-	-													
MOUNTAIN	98	84	-	2	14	8	13	10													
Mont.	-	-	-	-	-	-	-	-													
Idaho	2	2	-	-	-	-	1	1													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	24	20	-	-	-	-	3	2													
N. Mex.	10	20	-	-	4	3	-	4													
Ariz.	42	35	-	-	8	5	2	1													
Utah	9	5	-	2	-	-	5	1													
Nev.	10	2	-	-	2	-	2	1													
PACIFIC	29	33	-	-	6	2	3	2													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	16	18	-	-	-	-	3	-													
Calif.	9	9	-	-	6	2	-	1													
Alaska	1	1	-	-	-	-	-	-													
Hawaii	3	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


