
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 25, 2003 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	74	116	2	-	10	13	-	-	272	689											
NEW ENGLAND	7	11	-	-	-	1	-	-	5	29											
Maine	-	-	-	-	-	-	-	-	-	1											
N.H.	1	-	-	-	-	-	-	-	-	1											
Vt.	3	-	-	-	-	-	-	-	1	-											
Mass.	1	8	-	-	-	1	-	-	4	15											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	2	3	-	-	-	-	-	-	-	12											
MID. ATLANTIC	8	26	-	-	2	1	-	-	42	72											
Upstate N.Y.	3	9	-	-	-	1	-	-	3	4											
N.Y. City	4	9	-	-	2	-	-	-	39	24											
N.J.	1	6	-	-	-	-	-	-	-	19											
Pa.	-	2	-	-	-	-	-	-	-	25											
E.N. CENTRAL	5	22	1	-	1	2	-	-	28	72											
Ohio	2	10	-	-	1	-	-	-	12	15											
Ind.	1	-	-	-	-	-	-	-	-	1											
Ill.	-	10	-	-	-	1	-	-	1	35											
Mich.	2	-	1	-	-	-	-	-	15	12											
Wis.	-	2	-	-	-	1	-	-	-	9											
W.N. CENTRAL	3	1	-	-	1	-	-	-	11	31											
Minn.	1	-	-	-	-	-	-	-	-	-											
Iowa	-	1	-	-	-	-	-	-	6	8											
Mo.	1	-	-	-	-	-	-	-	1	5											
N. Dak.	-	-	-	-	-	-	-	-	1	-											
S. Dak.	-	-	-	-	-	-	-	-	-	1											
Nebr.	-	-	-	-	-	-	-	-	-	1											
Kans.	1	-	-	-	1	-	-	-	3	16											
S. ATLANTIC	22	29	-	-	1	3	-	-	116	185											
Del.	-	-	-	-	-	-	-	-	-	-											
Md.	6	11	-	-	-	-	-	-	17	39											
D.C.	-	-	-	-	-	-	-	-	-	8											
Va.	-	1	-	-	-	-	-	-	-	1											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	3	-	-	-	-	-	-	2	23											
S.C.	1	-	-	-	-	-	-	-	2	2											
Ga.	4	7	-	-	-	1	-	-	57	32											
Fla.	11	7	-	-	1	2	-	-	38	80											
E.S. CENTRAL	7	1	-	-	1	1	-	-	7	35											
Ky.	-	-	-	-	-	-	-	-	-	5											
Tenn.	1	-	-	-	-	-	-	-	4	10											
Ala.	6	1	-	-	1	1	-	-	3	5											
Miss.	-	-	-	-	-	-	-	-	-	15											
W.S. CENTRAL	6	2	-	-	1	1	-	-	2	76											
Ark.	1	-	-	-	-	-	-	-	-	4											
La.	2	-	-	-	-	-	-	-	1	1											
Okla.	3	2	-	-	1	1	-	-	1	2											
Tex.	-	-	-	-	-	-	-	-	-	69											
MOUNTAIN	14	11	1	-	2	2	-	-	18	37											
Mont.	-	-	-	-	-	-	-	-	-	2											
Idaho	-	-	-	-	-	-	-	-	-	5											
Wyo.	-	-	-	-	-	-	-	-	-	2											
Colo.	1	3	-	-	-	-	-	-	3	6											
N. Mex.	2	2	-	-	-	1	-	-	-	3											
Ariz.	7	6	1	-	1	1	-	-	11	8											
Utah	3	-	-	-	1	-	-	-	1	3											
Nev.	1	-	-	-	-	-	-	-	3	8											
PACIFIC	2	13	-	-	1	2	-	-	43	152											
Wash.	-	-	-	-	-	-	-	-	1	1											
Oreg.	1	8	-	-	1	1	-	-	2	13											
Calif.	-	1	-	-	-	1	-	-	39	138											
Alaska	-	-	-	-	-	-	-	-	1	-											
Hawaii	1	4	-	-	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	5											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


