
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 9, 2002 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	52	14	-	1	-	-	4,157	4,565													
NEW ENGLAND	-	-	-	-	-	-	235	283													
Maine	-	-	-	-	-	-	39	11													
N.H.	-	-	-	-	-	-	7	17													
Vt.	-	-	-	-	-	-	9	15													
Mass.	-	-	-	-	-	-	120	194													
R.I.	-	-	-	-	-	-	5	11													
Conn.	-	-	-	-	-	-	55	35													
MID. ATLANTIC	4	1	-	1	-	-	424	726													
Upstate N.Y.	-	-	-	1	-	-	110	105													
N.Y. City	-	-	-	-	-	-	176	168													
N.J.	-	-	-	-	-	-	48	275													
Pa.	4	1	-	-	-	-	90	178													
E.N. CENTRAL	3	2	-	-	-	-	714	607													
Ohio	3	-	-	-	-	-	256	173													
Ind.	-	1	-	-	-	-	44	39													
Ill.	-	1	-	-	-	-	237	189													
Mich.	-	-	-	-	-	-	115	111													
Wis.	-	-	-	-	-	-	62	95													
W.N. CENTRAL	4	3	-	-	-	-	318	249													
Minn.	-	-	-	-	-	-	48	85													
Iowa	-	-	-	-	-	-	53	29													
Mo.	4	3	-	-	-	-	162	62													
N. Dak.	-	-	-	-	-	-	-	1													
S. Dak.	-	-	-	-	-	-	17	18													
Nebr.	-	-	-	-	-	-	-	17													
Kans.	-	-	-	-	-	-	38	37													
S. ATLANTIC	39	5	-	-	-	-	1,170	1,035													
Del.	-	-	-	-	-	-	9	13													
Md.	8	1	-	-	-	-	99	115													
D.C.	-	-	-	-	-	-	14	15													
Va.	1	-	-	-	-	-	81	99													
W. Va.	-	-	-	-	-	-	5	3													
N.C.	26	4	-	-	-	-	182	186													
S.C.	3	-	-	-	-	-	63	83													
Ga.	-	-	-	-	-	-	338	312													
Fla.	1	-	-	-	-	-	379	209													
E.S. CENTRAL	2	2	-	-	-	-	234	256													
Ky.	-	-	-	-	-	-	30	43													
Tenn.	2	1	-	-	-	-	79	62													
Ala.	-	1	-	-	-	-	85	101													
Miss.	-	-	-	-	-	-	40	50													
W.S. CENTRAL	-	-	-	-	-	-	94	489													
Ark.	-	-	-	-	-	-	45	34													
La.	-	-	-	-	-	-	1	88													
Okla.	-	-	-	-	-	-	46	20													
Tex.	-	-	-	-	-	-	2	347													
MOUNTAIN	-	1	-	-	-	-	310	262													
Mont.	-	-	-	-	-	-	4	8													
Idaho	-	1	-	-	-	-	17	10													
Wyo.	-	-	-	-	-	-	8	11													
Colo.	-	-	-	-	-	-	88	70													
N. Mex.	-	-	-	-	-	-	45	30													
Ariz.	-	-	-	-	-	-	83	90													
Utah	-	-	-	-	-	-	27	28													
Nev.	-	-	-	-	-	-	38	15													
PACIFIC	-	-	-	-	-	-	658	658													
Wash.	-	-	-	-	-	-	26	44													
Oreg.	-	-	-	-	-	-	53	10													
Calif.	-	-	-	-	-	-	529	528													
Alaska	-	-	-	-	-	-	12	8													
Hawaii	-	-	-	-	-	-	38	68													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	9	146													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	1	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


