
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2002 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Congenital) cummulative for 2002
Syphilis (Congenital) cummulative for 2001
Tuberculosis cummulative for 2002
Tuberculosis cummulative for 2001
Typhoid Fever cummulative for 2002
Typhoid Fever cummulative for 2001

tab delimited data:
test
UNITED STATES	338	396	-	42	249	587	8	20													
NEW ENGLAND	2	2	-	-	12	10	3	3													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	1	-	-													
Mass.	2	-	-	-	2	4	2	3													
R.I.	-	-	-	-	4	-	-	-													
Conn.	-	2	-	-	6	5	1	-													
MID. ATLANTIC	22	32	-	7	40	55	2	11													
Upstate N.Y.	1	1	-	3	2	8	-	2													
N.Y. City	13	17	-	-	17	20	2	-													
N.J.	7	2	-	4	-	20	-	9													
Pa.	1	12	-	-	21	7	-	-													
E.N. CENTRAL	60	37	-	4	61	73	1	2													
Ohio	5	5	-	-	10	12	-	-													
Ind.	6	7	-	-	8	11	-	-													
Ill.	12	24	-	4	41	37	-	1													
Mich.	34	-	-	-	-	7	-	1													
Wis.	3	1	-	-	2	6	1	-													
W.N. CENTRAL	1	9	-	1	28	11	-	1													
Minn.	-	8	-	-	10	7	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	1	1	-	-	18	2	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	1	-	-													
Nebr.	-	-	-	-	-	1	-	-													
Kans.	-	-	-	1	-	-	-	-													
S. ATLANTIC	105	146	-	12	14	100	2	1													
Del.	1	-	-	-	-	-	-	-													
Md.	8	24	-	1	-	3	-	1													
D.C.	5	-	-	-	-	4	-	-													
Va.	3	7	-	-	1	2	-	-													
W. Va.	-	-	-	-	3	4	-	-													
N.C.	39	43	-	1	6	2	-	-													
S.C.	9	21	-	2	2	5	-	-													
Ga.	11	17	-	4	2	19	1	-													
Fla.	29	34	-	4	-	61	1	-													
E.S. CENTRAL	53	46	-	2	16	31	-	-													
Ky.	1	4	-	-	6	-	-	-													
Tenn.	22	21	-	1	-	6	-	-													
Ala.	26	11	-	1	10	20	-	-													
Miss.	4	10	-	-	-	5	-	-													
W.S. CENTRAL	56	66	-	7	3	139	-	1													
Ark.	-	8	-	2	2	10	-	-													
La.	16	11	-	-	-	-	-	-													
Okla.	8	7	-	1	1	-	-	-													
Tex.	32	40	-	4	-	129	-	1													
MOUNTAIN	21	13	-	2	10	24	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	1	-	-	-													
Colo.	-	-	-	-	2	7	-	-													
N. Mex.	3	-	-	-	2	2	-	-													
Ariz.	16	9	-	2	4	7	-	-													
Utah	1	4	-	-	1	-	-	-													
Nev.	-	-	-	-	-	8	-	-													
PACIFIC	18	45	-	7	65	144	-	1													
Wash.	1	13	-	-	14	16	-	-													
Oreg.	-	2	-	-	-	8	-	-													
Calif.	16	28	-	7	31	101	-	1													
Alaska	-	-	-	-	7	5	-	-													
Hawaii	1	2	-	-	13	14	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	43	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	1	U	-	U	3	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


