
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 17, 1998 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	94	109	5	7	5	45	105	150	1	1	-										
NEW ENGLAND	7	4	-	-	-	3	19	43	-	-	-										
Maine	-	-	U	-	-	U	-	3	U	-	-										
N.H.	1	-	-	-	-	-	-	3	-	-	-										
Vt.	-	-	-	-	-	2	3	14	-	-	-										
Mass.	4	4	-	-	-	1	16	23	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	2	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	10	7	-	-	1	-	-	1	-	-	-										
Upstate N.Y.	1	-	-	-	-	-	-	-	-	-	-										
N.Y. City	1	-	-	-	-	-	-	-	-	-	-										
N.J.	8	3	-	-	1	-	-	1	-	-	-										
Pa.	-	4	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	10	19	-	-	-	5	11	10	-	-	-										
Ohio	9	4	-	-	-	5	10	5	-	-	-										
Ind.	1	3	-	-	-	-	-	-	-	-	-										
Ill.	-	8	U	-	-	U	-	-	U	-	-										
Mich.	-	2	-	-	-	-	1	3	-	-	-										
Wis.	-	2	-	-	-	-	-	2	-	-	-										
W.N. CENTRAL	1	11	-	-	-	-	-	1	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	3	-	-	-	-	-	-	-	-	-										
Mo.	-	8	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	-	-	-	-	-	-	1	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	1	-	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	24	18	5	6	-	21	23	2	1	1	-										
Del.	-	1	-	-	-	-	-	-	-	-	-										
Md.	7	1	-	1	-	-	2	2	-	-	-										
D.C.	-	1	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	1	1	-	-	-	-	-	-	-	-	-										
N.C.	2	4	3	3	-	21	21	-	1	1	-										
S.C.	5	7	2	2	-	-	-	-	-	-	-										
Ga.	3	2	U	-	-	U	-	-	U	-	-										
Fla.	6	1	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	2	11	-	-	2	-	-	1	-	-	-										
Ky.	-	2	-	-	-	-	-	-	-	-	-										
Tenn.	2	2	-	-	1	-	-	-	-	-	-										
Ala.	-	5	-	-	-	-	-	1	-	-	-										
Miss.	-	2	U	-	1	U	-	-	U	-	-										
W.S. CENTRAL	6	3	-	-	-	4	4	-	-	-	-										
Ark.	1	2	-	-	-	4	4	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	5	1	-	-	-	-	-	-	-	-	-										
Tex.	-	-	U	-	-	U	-	-	U	-	-										
MOUNTAIN	10	5	-	1	-	10	39	76	-	-	-										
Mont.	1	1	-	-	-	-	-	-	-	-	-										
Idaho	-	-	-	-	-	-	17	66	-	-	-										
Wyo.	1	-	-	-	-	-	-	1	-	-	-										
Colo.	4	-	-	-	-	3	7	5	-	-	-										
N. Mex.	2	2	N	N	N	4	12	-	-	-	-										
Ariz.	1	1	-	1	-	-	-	3	-	-	-										
Utah	1	1	-	-	-	3	3	-	-	-	-										
Nev.	-	-	U	-	-	U	-	1	U	-	-										
PACIFIC	24	31	-	-	2	2	9	16	-	-	-										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	13	12	N	N	N	2	2	1	-	-	-										
Calif.	11	19	-	-	-	-	7	15	-	-	-										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	U	-	2	U	-	-	U	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


