
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 17, 2003 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	599	766	5	11	90	137	14	9	2,053	3,767											
NEW ENGLAND	46	51	-	-	2	6	3	1	78	147											
Maine	2	1	-	-	-	-	1	-	2	6											
N.H.	6	4	-	-	-	-	-	-	5	8											
Vt.	6	3	-	-	-	-	-	-	3	-											
Mass.	20	24	-	-	2	3	1	1	43	69											
R.I.	2	8	-	-	-	-	1	-	10	18											
Conn.	10	11	-	-	-	3	-	-	15	46											
MID. ATLANTIC	95	147	-	1	12	23	4	-	305	490											
Upstate N.Y.	39	56	-	1	6	7	-	-	39	74											
N.Y. City	17	32	-	-	4	7	-	-	133	175											
N.J.	16	36	-	-	2	5	-	-	36	73											
Pa.	23	23	-	-	-	4	4	-	97	168											
E.N. CENTRAL	81	161	1	1	15	29	-	-	209	468											
Ohio	34	44	-	-	7	5	-	-	37	124											
Ind.	21	19	-	-	2	5	-	-	13	22											
Ill.	19	63	-	-	5	12	-	-	68	153											
Mich.	7	7	1	1	1	-	-	-	73	100											
Wis.	-	28	-	-	-	7	-	-	18	69											
W.N. CENTRAL	42	23	-	-	5	2	4	3	62	138											
Minn.	18	15	-	-	5	2	-	1	14	22											
Iowa	-	1	-	-	-	-	-	-	15	28											
Mo.	15	5	-	-	-	-	4	2	17	32											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	1	1	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	3	5											
Kans.	8	1	-	-	-	-	-	-	13	47											
S. ATLANTIC	137	161	-	2	13	21	-	-	520	1,087											
Del.	-	-	-	-	-	-	-	-	4	7											
Md.	33	42	-	-	4	1	-	-	56	123											
D.C.	-	-	-	-	-	-	-	-	14	37											
Va.	15	11	-	-	3	2	-	-	34	34											
W. Va.	3	2	-	-	-	-	-	-	6	10											
N.C.	10	16	-	-	-	3	-	-	26	111											
S.C.	3	4	-	-	-	1	-	-	18	32											
Ga.	25	38	-	-	3	8	-	-	191	225											
Fla.	48	48	-	2	3	6	-	-	171	508											
E.S. CENTRAL	45	27	1	1	6	8	-	-	55	121											
Ky.	2	3	-	-	-	-	-	-	11	26											
Tenn.	25	14	-	-	4	5	-	-	30	47											
Ala.	16	5	1	1	1	2	-	-	9	20											
Miss.	2	5	-	-	1	1	-	-	5	28											
W.S. CENTRAL	30	28	-	2	5	6	-	-	191	263											
Ark.	4	1	-	-	1	-	-	-	2	18											
La.	6	3	-	-	1	1	-	-	20	34											
Okla.	20	22	-	-	3	5	-	-	6	14											
Tex.	-	2	-	2	-	-	-	-	163	197											
MOUNTAIN	90	94	3	3	25	21	2	3	155	230											
Mont.	-	-	-	-	-	-	-	-	2	7											
Idaho	1	1	-	-	1	-	-	-	-	18											
Wyo.	-	1	-	-	-	-	-	-	1	2											
Colo.	15	16	-	-	4	2	-	-	22	33											
N. Mex.	13	15	-	-	4	4	1	-	7	7											
Ariz.	50	44	3	1	11	11	-	2	91	120											
Utah	7	11	-	1	4	3	-	-	15	17											
Nev.	4	6	-	1	1	1	1	1	17	26											
PACIFIC	33	74	-	1	7	21	1	2	478	823											
Wash.	3	2	-	1	2	1	1	-	23	64											
Oreg.	25	26	-	-	3	3	-	-	27	34											
Calif.	2	27	-	-	2	14	-	2	423	704											
Alaska	-	1	-	-	-	1	-	-	5	7											
Hawaii	3	18	-	-	-	2	-	-	-	14											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	9	76											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


